subject species_id maxRelAbundance speciesSharedHhAnyTimepointPresence speciesSharedHhPreAbxPresence speciesSharedHhPostAbxPresence speciesSharedHhMainStudyPresence speciesSharedHhFollowupPresence speciesSharedHhAnyTimepointLOD speciesSharedHhPreAbxLOD speciesSharedHhPostAbxLOD speciesSharedHhMainStudyLOD speciesSharedHhFollowupLOD
XAA Adlercreutzia_equolifaciens_60310 0.00532705158354 TRUE TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
XAA Alistipes_onderdonkii_55464 0.151009369371 TRUE TRUE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
XAA Alistipes_putredinis_61533 0.112773028302 TRUE TRUE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Alistipes_shahii_62199 0.00864592592128 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Anaeroglobus_geminatus_62348 0.00331055593796 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Anaerostipes_hadrus_55206 0.00508484629092 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_acidifaciens_59693 0.00612715508167 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_caccae_53434 0.0700732750431 TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Bacteroides_cellulosilyticus_58046 0.00428759123483 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_faecis_58503 0.0933094606853 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_finegoldii_57739 0.323743502526 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_fragilis_54507 0.392192228376 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_intestinalis_61596 0.0143687298216 TRUE TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
XAA Bacteroides_nordii_55557 0.0305878042066 TRUE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Bacteroides_ovatus_58035 0.771263186117 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_rodentium_59708 0.0625426908449 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_salyersiae_54873 0.0375666902461 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_sartorii_54642 0.00236755402193 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_thetaiotaomicron_56941 0.00133369065317 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_uniformis_57318 0.146662576116 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_vulgatus_57955 0.59637223389 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_xylanisolvens_57185 0.207533077808 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bifidobacterium_adolescentis_56815 0.012660429778 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Bifidobacterium_animalis_58116 0.00200631324612 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Bifidobacterium_longum_57796 0.0756376269234 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Bilophila_wadsworthia_57364 0.0125051700074 TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Blautia_hansenii_56031 0.00165518756013 TRUE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Blautia_producta_61268 0.0068881348673 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Blautia_wexlerae_56130 0.0807501449418 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Butyricicoccus_pullicaecorum_59455 0.00441222924242 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Campylobacter_concisus_59748 0.00129073342938 TRUE FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Campylobacter_concisus_59749 0.00132028052676 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Campylobacter_concisus_59753 0.00173172889605 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Campylobacter_concisus_62542 0.00147555824072 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Campylobacter_gracilis_61787 0.00421561577017 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Campylobacter_sp_62066 0.00146828184369 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Citrobacter_koseri_61132 0.0274823930992 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE FALSE
XAA Clostridiaceae_bacterium_58376 0.00292113298656 TRUE TRUE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridiales_bacterium_43336 0.00417842619984 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE FALSE
XAA Clostridiales_bacterium_52743 0.0172398133509 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Clostridiales_bacterium_52957 0.0107047503401 TRUE TRUE TRUE TRUE TRUE TRUE TRUE FALSE TRUE FALSE
XAA Clostridiales_bacterium_55184 0.00218389386303 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridiales_bacterium_55367 0.0114422430295 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Clostridiales_bacterium_55505 0.00500926715792 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridiales_bacterium_56470 0.0330320347551 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Clostridiales_bacterium_59661 0.001656418185 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridiales_bacterium_59664 0.00598042493288 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridiales_bacterium_61057 0.0152517187641 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Clostridium_bartlettii_61535 0.00534778377185 TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridium_bolteae_57158 0.0146955237912 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Clostridium_cf_54592 0.0110591287544 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridium_citroniae_62210 0.00161726533948 TRUE TRUE TRUE TRUE TRUE TRUE FALSE TRUE TRUE TRUE
XAA Clostridium_clostridioforme_51842 0.00178864692703 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Clostridium_clostridioforme_59912 0.00277025195076 TRUE TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
XAA Clostridium_hathewayi_55515 0.0604144423058 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Clostridium_hathewayi_61827 0.0273887460263 TRUE TRUE TRUE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
XAA Clostridium_lentocellum_62000 0.00438286105098 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridium_nexile_61654 0.011528604923 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridium_scindens_58238 0.00692084255126 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridium_sp_61556 0.00185762853311 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridium_spiroforme_61500 0.004871965899 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
XAA Clostridium_symbiosum_54029 0.0108350561091 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Collinsella_aerofaciens_61484 0.00831348141059 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Collinsella_sp_62205 0.00982008115939 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Dialister_invisus_61905 0.0329003672546 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Dorea_formicigenerans_56346 0.00119086973635 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Dorea_longicatena_59913 0.00186703426592 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Eggerthella_lenta_56463 0.00493269389065 TRUE TRUE TRUE TRUE TRUE TRUE TRUE FALSE TRUE TRUE
