hh subject sample timepoint speciesTrajectory totalAbundance
XA XAA XAA-002 2 disrupted 0.902176300952988
XA XAA XAA-002 2 colonized 0
XA XAA XAA-002 2 strainTurnover 0
XA XAA XAA-002 2 disruptedNotRecovered 0.735669458474945
XA XAA XAA-010 10 disrupted 0.903532136062588
XA XAA XAA-010 10 colonized 0
XA XAA XAA-010 10 strainTurnover 0
XA XAA XAA-010 10 disruptedNotRecovered 0.640527923977495
XA XAA XAA-014 14 disrupted 0.887360083293981
XA XAA XAA-014 14 colonized 0
XA XAA XAA-014 14 strainTurnover 0
XA XAA XAA-014 14 disruptedNotRecovered 0.690760003679478
XA XAA XAA-021 21 disrupted 0.94116818653286
XA XAA XAA-021 21 colonized 0.000105663903583
XA XAA XAA-021 21 strainTurnover 0
XA XAA XAA-021 21 disruptedNotRecovered 0.705135136191268
XA XAA XAA-022 22 disrupted 0.929789769381785
XA XAA XAA-022 22 colonized 0.0001820769636155
XA XAA XAA-022 22 strainTurnover 0
XA XAA XAA-022 22 disruptedNotRecovered 0.71502321245205
XA XAA XAA-023 23 disrupted 0.955035225306023
XA XAA XAA-023 23 colonized 3.59897229459e-05
XA XAA XAA-023 23 strainTurnover 0
XA XAA XAA-023 23 disruptedNotRecovered 0.753622549632399
XA XAA XAA-024 24 disrupted 0.940105576375347
XA XAA XAA-024 24 colonized 8.28220419416e-05
XA XAA XAA-024 24 strainTurnover 0
XA XAA XAA-024 24 disruptedNotRecovered 0.716230468130342
XA XAA XAA-026 26 disrupted 0.951438724057247
XA XAA XAA-026 26 colonized 6.96163955057e-05
XA XAA XAA-026 26 strainTurnover 0
XA XAA XAA-026 26 disruptedNotRecovered 0.684793078599641
XA XAA XAA-027 27 disrupted 0.938328512139282
XA XAA XAA-027 27 colonized 0
XA XAA XAA-027 27 strainTurnover 0
XA XAA XAA-027 27 disruptedNotRecovered 0.676308667115782
XA XAA XAA-028 28 disrupted 0.938470317376556
XA XAA XAA-028 28 colonized 5.13432957139e-05
XA XAA XAA-028 28 strainTurnover 0.0060067893972
XA XAA XAA-028 28 disruptedNotRecovered 0.73509050197373
XA XAA XAA-029 29 disrupted 0.944444860895598
XA XAA XAA-029 29 colonized 0.000717250956631
XA XAA XAA-029 29 strainTurnover 0.0112394748866
XA XAA XAA-029 29 disruptedNotRecovered 0.799512526159137
XA XAA XAA-030 30 disrupted 0.251842639226392
XA XAA XAA-030 30 colonized 0.041560112023844
XA XAA XAA-030 30 strainTurnover 0.000319111132878
XA XAA XAA-030 30 disruptedNotRecovered 0.187453251986149
XA XAA XAA-031 31 disrupted 0.086968006851992
XA XAA XAA-031 31 colonized 0.00865093901504
XA XAA XAA-031 31 strainTurnover 0.00158562895734
XA XAA XAA-031 31 disruptedNotRecovered 0.076436216117552
XA XAA XAA-034 34 disrupted 0
XA XAA XAA-034 34 colonized 0.001645916042977
XA XAA XAA-034 34 strainTurnover 0
XA XAA XAA-034 34 disruptedNotRecovered 0
XA XAA XAA-035 35 disrupted 0.0025810455607408
XA XAA XAA-035 35 colonized 0.0041569412432417
XA XAA XAA-035 35 strainTurnover 0.000335113201294
XA XAA XAA-035 35 disruptedNotRecovered 0.0016919710849818
XA XAA XAA-036 36 disrupted 0.009669638659126
XA XAA XAA-036 36 colonized 0.0159280434648784
XA XAA XAA-036 36 strainTurnover 0.000349795219624
XA XAA XAA-036 36 disruptedNotRecovered 0.0014659804837301
XA XAA XAA-037 37 disrupted 0.0289137796885341
XA XAA XAA-037 37 colonized 0.042416017988899
XA XAA XAA-037 37 strainTurnover 0
XA XAA XAA-037 37 disruptedNotRecovered 3.80975652635e-05
XA XAA XAA-039 39 disrupted 0.333928552747958
XA XAA XAA-039 39 colonized 0.0306815593804108
XA XAA XAA-039 39 strainTurnover 0.000726637280272
XA XAA XAA-039 39 disruptedNotRecovered 0.0020638532461968
XA XAA XAA-042 42 disrupted 0.394363300517504
XA XAA XAA-042 42 colonized 0.030905237676405
XA XAA XAA-042 42 strainTurnover 0
XA XAA XAA-042 42 disruptedNotRecovered 0.0001135465943541
XA XAA XAA-050 50 disrupted 0.484256207647957
XA XAA XAA-050 50 colonized 0.029249138108766
XA XAA XAA-050 50 strainTurnover 0.000641589390881
XA XAA XAA-050 50 disruptedNotRecovered 0.0108446757526463
XA XAA XAA-057 57 disrupted 0.449483141302148
XA XAA XAA-057 57 colonized 0.034897137849833
XA XAA XAA-057 57 strainTurnover 0.000205632689035
XA XAA XAA-057 57 disruptedNotRecovered 0.0012867169395374
