"subject" "species_id" "kingdom" "phylum" "class" "order" "family" "genus" "species" "speciesStatusAbxAllTimepoints" "speciesStatusColonizationAllTimepoints" "timeOfRecoveryAllTimepoints" "timeOfColonizationAllTimepoints" "speciesStatusAbxKTfollowup" "speciesStatusColonizationKTfollowup" "timeOfRecoveryKTfollowup" "timeOfColonizationKTfollowup" "strainTurnover" "timeOfStrainTurnover" "speciesColonizedTransientlyMain" "speciesColonizedTransientlyAll" "sharingHhAnyTimepoint" "sharingHhPreAbx" "sharingHhPostAbx" "sharingHhMain" "sharingHhFollowup" "sharingHhPostAbxFollowup" "sharingSubjectPreAbx" "sharingSubjectPostAbx" "sharingSubjectFollowup" "sharingSubjectPostAbxFollowup" "sharingSubjectFinal"
"XAA" "Adlercreutzia_equolifaciens_60310" "Bacteria" "Actinobacteria" "Coriobacteridae" "Coriobacterineae" "Coriobacteriaceae" "Adlercreutzia" "Adlercreutzia equolifaciens" NA "followup" NA 555 NA "followup" NA 555 NA NA NA FALSE "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "speciesAbsent" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Alistipes_onderdonkii_55464" "" "" "" "" "" "" "" "speciesRecoveredFollowup" "speciesNotColonized" 623 NA "speciesRecoveredFollowup" "speciesNotColonized" 623 NA TRUE 623 NA NA "strainsUnknown" "strainsUnknown" "speciesNotShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsShared" "strainsUnknown" "strainsNotShared" "strainsNotShared" "strainsUnknown"
"XAA" "Alistipes_putredinis_61533" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "Alistipes putredinis" NA "followup" NA 623 NA "followup" NA 623 NA NA NA FALSE "strainsUnknown" "strainsUnknown" "speciesNotShared" "strainsUnknown" "speciesNotShared" "speciesNotShared" "speciesAbsent" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Alistipes_shahii_62199" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Rikenellaceae" "Alistipes" "Alistipes shahii" NA "followup" NA 623 NA "followup" NA 623 NA NA NA FALSE "strainsShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsShared" "strainsUnknown" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Anaeroglobus_geminatus_62348" "Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Veillonellaceae" "Anaeroglobus" "Anaeroglobus geminatus" NA "post-abx" NA 50 NA NA NA NA NA NA FALSE TRUE "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesAbsent" "strainsUnknown" "speciesAbsent" "strainsUnknown" "speciesAbsent"
"XAA" "Anaerostipes_hadrus_55206" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "" "" "butyrate-producing bacterium SSC/2" "speciesRecoveredFollowup" "speciesNotColonized" 225 NA "speciesRecoveredFollowup" "speciesNotColonized" 225 NA FALSE NA NA NA "strainsNotShared" "strainsNotShared" "strainsUnknown" "strainsNotShared" "strainsUnknown" "strainsUnknown" "strainsShared" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Bacteroides_acidifaciens_59693" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides acidifaciens" "speciesNotDisrupted" "speciesNotColonized" NA NA "speciesNotDisrupted" "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Bacteroides_caccae_53434" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides caccae" "speciesRecoveredMain" "speciesNotColonized" 42 NA "speciesNotRecovered" "speciesNotColonized" NA NA FALSE NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "speciesNotShared" "strainsUnknown" "strainsShared" "strainsShared" "strainsUnknown" "strainsShared" "speciesAbsent"
"XAA" "Bacteroides_cellulosilyticus_58046" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides cellulosilyticus" "speciesRecoveredMain" "speciesNotColonized" 37 NA NA "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Bacteroides_faecis_58503" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides faecis" "speciesNotRecovered" "speciesNotColonized" NA NA "speciesNotRecovered" "speciesNotColonized" NA NA FALSE NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsShared" "speciesAbsent" "speciesAbsent" "speciesAbsent" "speciesAbsent"
"XAA" "Bacteroides_finegoldii_57739" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides finegoldii" "speciesNotRecovered" "speciesNotColonized" NA NA "speciesNotRecovered" "speciesNotColonized" NA NA FALSE NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsShared" "strainsShared" "strainsUnknown" "strainsShared" "speciesAbsent"
"XAA" "Bacteroides_fragilis_54507" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides fragilis" "speciesRecoveredMain" "speciesNotColonized" 37 NA NA "speciesNotColonized" NA NA FALSE NA NA NA "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsShared" "strainsShared" "strainsShared" "strainsShared" "strainsShared"
