sample alphaStat value type
XAA-002 Observed 99 filtSample
XAA-002 Chao1 116.5 filtSample
XAA-002 se.chao1 12.1445406037412 filtSample
XAA-002 ACE 111.118636793676 filtSample
XAA-002 se.ACE 5.04836405456168 filtSample
XAA-002 Shannon 2.39453839188226 filtSample
XAA-002 Simpson 0.826852606759957 filtSample
XAA-002 InvSimpson 5.77542624978274 filtSample
XAA-002 Fisher 10.9615085169659 filtSample
XAA-002 ShannonEffectiveSpecies 10.9631362182027 filtSample
XAA-010 Observed 86 filtSample
XAA-010 Chao1 109.333333333333 filtSample
XAA-010 se.chao1 13.6356177517846 filtSample
XAA-010 ACE 108.516161431702 filtSample
XAA-010 se.ACE 5.34873534296218 filtSample
XAA-010 Shannon 2.72679423137927 filtSample
XAA-010 Simpson 0.900352898662586 filtSample
XAA-010 InvSimpson 10.0354148447722 filtSample
XAA-010 Fisher 11.8906671738175 filtSample
XAA-010 ShannonEffectiveSpecies 15.2838120353847 filtSample
XAA-014 Observed 89 filtSample
XAA-014 Chao1 106 filtSample
XAA-014 se.chao1 10.6545780118796 filtSample
XAA-014 ACE 107.269769026062 filtSample
XAA-014 se.ACE 5.23617544464859 filtSample
XAA-014 Shannon 2.6657760350069 filtSample
XAA-014 Simpson 0.87656132259258 filtSample
XAA-014 InvSimpson 8.10118854967485 filtSample
XAA-014 Fisher 12.0171308604348 filtSample
XAA-014 ShannonEffectiveSpecies 14.3791039053487 filtSample
XAA-021 Observed 99 filtSample
XAA-021 Chao1 113 filtSample
XAA-021 se.chao1 8.08673483156139 filtSample
XAA-021 ACE 116.633217677137 filtSample
XAA-021 se.ACE 5.43143103202696 filtSample
XAA-021 Shannon 2.59431995548061 filtSample
XAA-021 Simpson 0.857490709607132 filtSample
XAA-021 InvSimpson 7.01708637551428 filtSample
XAA-021 Fisher 13.5785381440287 filtSample
XAA-021 ShannonEffectiveSpecies 13.3874801825887 filtSample
XAA-022 Observed 113 filtSample
XAA-022 Chao1 142 filtSample
XAA-022 se.chao1 14.3140654915649 filtSample
XAA-022 ACE 152.25509060994 filtSample
XAA-022 se.ACE 6.87491925693378 filtSample
XAA-022 Shannon 2.60123204022069 filtSample
XAA-022 Simpson 0.859030840124969 filtSample
XAA-022 InvSimpson 7.09375015703079 filtSample
