group	meanRandom	meanActual	percentile	pvalue	numCounts	maxNumSpecies	lowerThreshold	upperThreshold
	11.7501	8	0.1493	0.1493	10000	26	0.000892857142857143	0.999107142857143
Acidaminococcaceae	1.3397	0	0.2484	0.2484	10000	7	0.000892857142857143	0.999107142857143
Bacteroidaceae	19.4257	9	0.0032	0.0032	10000	35	0.000892857142857143	0.999107142857143
Bifidobacteriaceae	4.3021	7	0.9412	0.1335	10000	13	0.000892857142857143	0.999107142857143
Campylobacteraceae	0.3092	4	1	0	10000	4	0.000892857142857143	0.999107142857143
Clostridiaceae	1.1658	6	0.9999	6e-04	10000	7	0.000892857142857143	0.999107142857143
Coriobacteriaceae	4.8027	3	0.2796	0.2796	10000	15	0.000892857142857143	0.999107142857143
Desulfovibrionaceae	1.7193	0	0.1646	0.1646	10000	8	0.000892857142857143	0.999107142857143
Enterobacteriaceae	2.1363	8	0.9998	0.0013	10000	9	0.000892857142857143	0.999107142857143
Enterococcaceae	0.0785	1	1	0.0785	10000	1	0.000892857142857143	0.999107142857143
Erysipelotrichaceae	3.7008	10	0.9996	0.002	10000	12	0.000892857142857143	0.999107142857143
Eubacteriaceae	6.7263	3	0.0824	0.0824	10000	16	0.000892857142857143	0.999107142857143
Fusobacteriaceae	0.3231	2	0.9971	0.0378	10000	3	0.000892857142857143	0.999107142857143
Lachnospiraceae	24.9129	25	0.5652	0.5217	10000	42	0.000892857142857143	0.999107142857143
Lactobacillaceae	0.155	0	0.8522	0.8522	10000	2	0.000892857142857143	0.999107142857143
Leuconostocaceae	0.0791	0	0.9209	0.9209	10000	1	0.000892857142857143	0.999107142857143
Oscillospiraceae	2.1503	0	0.1068	0.1068	10000	9	0.000892857142857143	0.999107142857143
Oxalobacteraceae	0.1541	0	0.8513	0.8513	10000	2	0.000892857142857143	0.999107142857143
Pasteurellaceae	2.2899	0	0.0927	0.0927	10000	9	0.000892857142857143	0.999107142857143
Peptostreptococcaceae	0.9391	0	0.3755	0.3755	10000	6	0.000892857142857143	0.999107142857143
Porphyromonadaceae	5.8082	4	0.2925	0.2925	10000	16	0.000892857142857143	0.999107142857143
Prevotellaceae	1.731	3	0.9143	0.2472	10000	9	0.000892857142857143	0.999107142857143
Rikenellaceae	4.4274	5	0.7163	0.4601	10000	14	0.000892857142857143	0.999107142857143
Ruminococcaceae	12.758	10	0.248	0.248	10000	25	0.000892857142857143	0.999107142857143
Streptococcaceae	2.9985	4	0.8266	0.3514	10000	12	0.000892857142857143	0.999107142857143
Sutterellaceae	0.7692	0	0.4471	0.4471	10000	6	0.000892857142857143	0.999107142857143
Veillonellaceae	2.1948	8	0.9999	0.0012	10000	9	0.000892857142857143	0.999107142857143
Verrucomicrobiaceae	0.8529	0	0.4066	0.4066	10000	6	0.000892857142857143	0.999107142857143
