group	meanRandom	meanActual	percentile	pvalue	numCounts	maxNumSpecies	lowerThreshold	upperThreshold
	70.0439	62	0.0666	0.0666	10000	88	0.000961538461538462	0.999038461538462
Acidaminococcaceae	10.3715	10	0.5162	0.5162	10000	17	0.000961538461538462	0.999038461538462
Bacteroidaceae	131.4542	125	0.1832	0.1832	10000	155	0.000961538461538462	0.999038461538462
Bifidobacteriaceae	25.5961	30	0.9471	0.1011	10000	37	0.000961538461538462	0.999038461538462
Clostridiaceae	3.6408	6	1	0.0477	10000	6	0.000961538461538462	0.999038461538462
Coriobacteriaceae	29.1527	28	0.424	0.424	10000	41	0.000961538461538462	0.999038461538462
Desulfovibrionaceae	12.165	16	0.981	0.0559	10000	19	0.000961538461538462	0.999038461538462
Enterobacteriaceae	7.3077	11	0.9966	0.0263	10000	12	0.000961538461538462	0.999038461538462
Erysipelotrichaceae	12.7388	19	1	0.0017	10000	19	0.000961538461538462	0.999038461538462
Eubacteriaceae	48.6781	31	0	0	10000	63	0.000961538461538462	0.999038461538462
Fusobacteriaceae	0.607	1	1	0.607	10000	1	0.000961538461538462	0.999038461538462
Lachnospiraceae	146.0775	80	0	0	10000	172	0.000961538461538462	0.999038461538462
Lactobacillaceae	1.2158	2	1	0.3686	10000	2	0.000961538461538462	0.999038461538462
Leuconostocaceae	0.605	0	0.395	0.395	10000	1	0.000961538461538462	0.999038461538462
Oscillospiraceae	15.8469	21	0.9914	0.0277	10000	24	0.000961538461538462	0.999038461538462
Oxalobacteraceae	1.2188	2	1	0.369	10000	2	0.000961538461538462	0.999038461538462
Pasteurellaceae	5.4903	9	1	0.0133	10000	9	0.000961538461538462	0.999038461538462
Peptostreptococcaceae	3.6483	5	0.949	0.246	10000	6	0.000961538461538462	0.999038461538462
Porphyromonadaceae	43.1926	66	1	0	10000	66	0.000961538461538462	0.999038461538462
Prevotellaceae	10.9424	7	0.0518	0.0518	10000	17	0.000961538461538462	0.999038461538462
Rikenellaceae	30.4493	48	1	0	10000	48	0.000961538461538462	0.999038461538462
Ruminococcaceae	81.5693	108	1	0	10000	108	0.000961538461538462	0.999038461538462
Streptococcaceae	12.7654	12	0.4408	0.4408	10000	20	0.000961538461538462	0.999038461538462
Sutterellaceae	5.4731	8	0.9893	0.0731	10000	9	0.000961538461538462	0.999038461538462
Veillonellaceae	4.8813	7	0.9793	0.1212	10000	8	0.000961538461538462	0.999038461538462
Verrucomicrobiaceae	4.8682	6	0.8867	0.3342	10000	8	0.000961538461538462	0.999038461538462
