group	meanRandom	meanActual	percentile	pvalue	numCounts	maxNumSpecies	lowerThreshold	upperThreshold
	23.3359	23	0.5191	0.5191	10000	40	0.000961538461538462	0.999038461538462
Acidaminococcaceae	3.4353	4	0.756	0.4615	10000	10	0.000961538461538462	0.999038461538462
Bacteroidaceae	43.8673	30	0.0044	0.0044	10000	66	0.000961538461538462	0.999038461538462
Bifidobacteriaceae	8.5181	9	0.6611	0.4875	10000	20	0.000961538461538462	0.999038461538462
Clostridiaceae	1.207	4	0.9985	0.0162	10000	6	0.000961538461538462	0.999038461538462
Coriobacteriaceae	9.7265	7	0.2095	0.2095	10000	20	0.000961538461538462	0.999038461538462
Desulfovibrionaceae	4.0623	9	0.9976	0.0087	10000	12	0.000961538461538462	0.999038461538462
Enterobacteriaceae	2.4354	4	0.9241	0.2126	10000	8	0.000961538461538462	0.999038461538462
Erysipelotrichaceae	4.2288	9	0.9964	0.0161	10000	12	0.000961538461538462	0.999038461538462
Eubacteriaceae	16.2823	11	0.0805	0.0805	10000	32	0.000961538461538462	0.999038461538462
Fusobacteriaceae	0.2047	1	1	0.2047	10000	1	0.000961538461538462	0.999038461538462
Lachnospiraceae	48.5786	20	0	0	10000	74	0.000961538461538462	0.999038461538462
Lactobacillaceae	0.4163	1	0.9576	0.3739	10000	2	0.000961538461538462	0.999038461538462
Leuconostocaceae	0.2076	0	0.7924	0.7924	10000	1	0.000961538461538462	0.999038461538462
Oscillospiraceae	5.2894	3	0.1861	0.1861	10000	14	0.000961538461538462	0.999038461538462
Oxalobacteraceae	0.4002	1	0.9589	0.3591	10000	2	0.000961538461538462	0.999038461538462
Pasteurellaceae	1.816	0	0.1301	0.1301	10000	7	0.000961538461538462	0.999038461538462
Peptostreptococcaceae	1.227	0	0.2568	0.2568	10000	6	0.000961538461538462	0.999038461538462
Porphyromonadaceae	14.3862	23	0.9959	0.01	10000	27	0.000961538461538462	0.999038461538462
Prevotellaceae	3.6448	3	0.4893	0.4893	10000	11	0.000961538461538462	0.999038461538462
Rikenellaceae	10.1541	29	1	0	10000	29	0.000961538461538462	0.999038461538462
Ruminococcaceae	27.2262	40	0.9982	0.0033	10000	45	0.000961538461538462	0.999038461538462
Streptococcaceae	4.2748	0	0.0086	0.0086	10000	11	0.000961538461538462	0.999038461538462
Sutterellaceae	1.8274	6	0.9994	0.004	10000	8	0.000961538461538462	0.999038461538462
Veillonellaceae	1.6264	2	0.7913	0.5073	10000	7	0.000961538461538462	0.999038461538462
Verrucomicrobiaceae	1.6214	1	0.4996	0.4996	10000	7	0.000961538461538462	0.999038461538462
