group	meanRandom	meanActual	percentile	pvalue	numCounts	maxNumSpecies	lowerThreshold	upperThreshold
	41.3051	39	0.307	0.307	10000	54	0.001	0.999
Acidaminococcaceae	6.6749	6	0.437	0.437	10000	10	0.001	0.999
Bacteroidaceae	83.3528	95	0.9951	0.0092	10000	102	0.001	0.999
Bifidobacteriaceae	19.9786	21	0.7188	0.4264	10000	28	0.001	0.999
Clostridiaceae	4.0023	2	0.0982	0.0982	10000	6	0.001	0.999
Coriobacteriaceae	18.6928	21	0.88	0.2377	10000	27	0.001	0.999
Desulfovibrionaceae	10.6535	7	0.0486	0.0486	10000	16	0.001	0.999
Enterobacteriaceae	7.3194	7	0.533	0.533	10000	11	0.001	0.999
Erysipelotrichaceae	12.7045	10	0.1351	0.1351	10000	19	0.001	0.999
Eubacteriaceae	20.6706	20	0.4657	0.4657	10000	30	0.001	0.999
Fusobacteriaceae	0.6612	0	0.3388	0.3388	10000	1	0.001	0.999
Lachnospiraceae	53.3687	60	0.9654	0.0601	10000	69	0.001	0.999
Lactobacillaceae	1.3463	1	0.5484	0.5484	10000	2	0.001	0.999
Oscillospiraceae	13.9788	18	0.9883	0.0438	10000	20	0.001	0.999
Oxalobacteraceae	1.3164	1	0.5679	0.5679	10000	2	0.001	0.999
Pasteurellaceae	5.9964	9	1	0.0245	10000	9	0.001	0.999
Peptostreptococcaceae	3.3407	5	1	0.1317	10000	5	0.001	0.999
Porphyromonadaceae	44.0398	43	0.4327	0.4327	10000	57	0.001	0.999
Prevotellaceae	4.6519	4	0.4391	0.4391	10000	7	0.001	0.999
Rikenellaceae	32.0405	19	0	0	10000	42	0.001	0.999
Ruminococcaceae	71.9107	68	0.2259	0.2259	10000	88	0.001	0.999
Streptococcaceae	7.9908	12	1	0.0065	10000	12	0.001	0.999
Sutterellaceae	5.3394	2	0.0176	0.0176	10000	8	0.001	0.999
Veillonellaceae	4.6547	5	0.7411	0.5646	10000	7	0.001	0.999
Verrucomicrobiaceae	4.0092	5	0.9134	0.3545	10000	6	0.001	0.999
