sample1 sample2 value method subject timepoint
XAA-002 XAA-010 0.055469013757554 jsd XAA 10
XAA-002 XAA-014 0.0594957619234376 jsd XAA 14
XAA-002 XAA-021 0.0472299457489659 jsd XAA 21
XAA-002 XAA-022 0.0448894101136813 jsd XAA 22
XAA-002 XAA-023 0.0324348559622347 jsd XAA 23
XAA-002 XAA-024 0.0507791535574993 jsd XAA 24
XAA-002 XAA-026 0.0818148406250964 jsd XAA 26
XAA-002 XAA-027 0.0363914345425786 jsd XAA 27
XAA-002 XAA-028 0.0507097573974423 jsd XAA 28
XAA-002 XAA-029 0.148909772627811 jsd XAA 29
XAA-002 XAA-030 0.47918636564461 jsd XAA 30
XAA-002 XAA-031 0.501953334254017 jsd XAA 31
XAA-002 XAA-033 0.539006105590937 jsd XAA 33
XAA-002 XAA-034 0.553641988923678 jsd XAA 34
XAA-002 XAA-035 0.551003863109057 jsd XAA 35
XAA-002 XAA-036 0.542062707878137 jsd XAA 36
XAA-002 XAA-037 0.55258081717798 jsd XAA 37
XAA-002 XAA-039 0.547464601018002 jsd XAA 39
XAA-002 XAA-042 0.564937183443727 jsd XAA 42
XAA-002 XAA-050 0.489931509872024 jsd XAA 50
XAA-002 XAA-057 0.50997964493366 jsd XAA 57
XAA-002 XAA-064 0.554680763231346 jsd XAA 64
XAA-002 XAA-225 0.557146731634004 jsd XAA 225
XAA-002 XAA-281 0.544935263248122 jsd XAA 281
XAA-002 XAA-454 0.490132811431457 jsd XAA 454
XAA-002 XAA-488 0.339375415099032 jsd XAA 488
XAA-002 XAA-522 0.269074911762836 jsd XAA 522
XAA-002 XAA-555 0.272261019565757 jsd XAA 555
XAA-002 XAA-590 0.366104456421653 jsd XAA 590
XAA-002 XAA-623 0.325055786580237 jsd XAA 623
XAA-002 XAA-652 0.288000336078107 jsd XAA 652
XAC-002 XAC-029 0.0646608560162355 jsd XAC 29
XAC-002 XAC-036 0.0387463929420279 jsd XAC 36
XAC-002 XAC-064 0.0477422117946425 jsd XAC 64
XAC-002 XAC-224 0.0567892951583962 jsd XAC 224
XAD-003 XAD-029 0.0511256131968707 jsd XAD 29
XAD-003 XAD-036 0.0353252697353293 jsd XAD 36
XAD-003 XAD-063 0.0440291965087195 jsd XAD 63
XAD-003 XAD-225 0.0766741266561139 jsd XAD 225
XBA-001 XBA-008 0.0657598096570273 jsd XBA 8
XBA-001 XBA-015 0.124440554986087 jsd XBA 15
XBA-001 XBA-022 0.0926713926184914 jsd XBA 22
XBA-001 XBA-023 0.0953390054980061 jsd XBA 23
XBA-001 XBA-024 0.0734513866688893 jsd XBA 24
XBA-001 XBA-025 0.0889523298064487 jsd XBA 25
XBA-001 XBA-026 0.0876054652846304 jsd XBA 26
XBA-001 XBA-027 0.103917209224149 jsd XBA 27
XBA-001 XBA-028 0.130637202188735 jsd XBA 28
XBA-001 XBA-029 0.0912314313983012 jsd XBA 29
XBA-001 XBA-030 0.131555068206081 jsd XBA 30
XBA-001 XBA-036 0.624611719000407 jsd XBA 36
XBA-001 XBA-037 0.631026503621965 jsd XBA 37
XBA-001 XBA-039 0.640698386673101 jsd XBA 39
XBA-001 XBA-040 0.64736247271104 jsd XBA 40
XBA-001 XBA-041 0.639598489424313 jsd XBA 41
XBA-001 XBA-042 0.640358036220343 jsd XBA 42
XBA-001 XBA-044 0.537391151563216 jsd XBA 44
XBA-001 XBA-045 0.506703542462465 jsd XBA 45
XBA-001 XBA-046 0.518473180483295 jsd XBA 46
XBA-001 XBA-047 0.636315758533924 jsd XBA 47
XBA-001 XBA-048 0.633582936203162 jsd XBA 48
XBA-001 XBA-049 0.635840959237511 jsd XBA 49
XBA-001 XBA-050 0.629348941826162 jsd XBA 50
XBA-001 XBA-053 0.585796227079977 jsd XBA 53
