species_id sample1 strainSharedAnyTimepoint
Acidaminococcus_intestini_54097 ZAA-263 TRUE
Acidaminococcus_intestini_54097 ZAB-002 TRUE
Acidaminococcus_intestini_54097 ZAB-064 TRUE
Adlercreutzia_equolifaciens_60310 XEA-064 FALSE
Adlercreutzia_equolifaciens_60310 XEA-302 FALSE
Adlercreutzia_equolifaciens_60310 XEB-293 FALSE
Akkermansia_muciniphila_55290 XDA-039 TRUE
Akkermansia_muciniphila_55290 XDA-050 TRUE
Akkermansia_muciniphila_55290 XDA-064 TRUE
Akkermansia_muciniphila_55290 XDA-268 TRUE
Akkermansia_muciniphila_55290 XDA-330 TRUE
Akkermansia_muciniphila_55290 XDA-706 TRUE
Akkermansia_muciniphila_55290 XDB-064 TRUE
Akkermansia_muciniphila_55290 XDB-267 TRUE
Akkermansia_muciniphila_55290 XDB-330 TRUE
Akkermansia_muciniphila_55290 XDB-417 TRUE
Akkermansia_muciniphila_55290 XDB-458 TRUE
Akkermansia_muciniphila_55290 XDB-512 TRUE
Akkermansia_muciniphila_55290 XDB-591 TRUE
Akkermansia_muciniphila_55290 XDB-816 TRUE
Akkermansia_muciniphila_55290 XEA-023 FALSE
Akkermansia_muciniphila_55290 XEA-024 FALSE
Akkermansia_muciniphila_55290 XEA-025 FALSE
Akkermansia_muciniphila_55290 XEA-029 FALSE
Akkermansia_muciniphila_55290 XEA-037 FALSE
Akkermansia_muciniphila_55290 XEA-038 FALSE
Akkermansia_muciniphila_55290 XEA-039 FALSE
Akkermansia_muciniphila_55290 XEA-040 FALSE
Akkermansia_muciniphila_55290 XEA-043 FALSE
Akkermansia_muciniphila_55290 XEA-050 FALSE
Akkermansia_muciniphila_55290 XEA-064 FALSE
Akkermansia_muciniphila_55290 XEB-001 FALSE
Akkermansia_muciniphila_55290 XEB-064 FALSE
Akkermansia_muciniphila_55290 XLA-001 TRUE
Akkermansia_muciniphila_55290 XLA-026 TRUE
Akkermansia_muciniphila_55290 XLA-029 TRUE
Akkermansia_muciniphila_55290 XLA-030 TRUE
Akkermansia_muciniphila_55290 XLA-032 TRUE
Akkermansia_muciniphila_55290 XLA-033 TRUE
Akkermansia_muciniphila_55290 XLA-034 TRUE
Akkermansia_muciniphila_55290 XLA-036 TRUE
Akkermansia_muciniphila_55290 XLA-043 TRUE
Akkermansia_muciniphila_55290 XLB-001 TRUE
Akkermansia_muciniphila_55290 XLB-036 TRUE
Akkermansia_muciniphila_55290 XLB-172 TRUE
Akkermansia_muciniphila_55290 XQA-001 FALSE
Akkermansia_muciniphila_55290 XQA-022 FALSE
Akkermansia_muciniphila_55290 XQA-029 FALSE
Akkermansia_muciniphila_55290 XQA-036 FALSE
Akkermansia_muciniphila_55290 XQA-037 FALSE
Akkermansia_muciniphila_55290 XQA-038 FALSE
Akkermansia_muciniphila_55290 XQA-039 FALSE
Akkermansia_muciniphila_55290 XQA-040 FALSE
Akkermansia_muciniphila_55290 XQA-244 FALSE
Akkermansia_muciniphila_55290 XQA-532 FALSE
Akkermansia_muciniphila_55290 XQB-001 FALSE
Akkermansia_muciniphila_55290 XQB-064 FALSE
Akkermansia_muciniphila_55290 XTA-001 FALSE
Akkermansia_muciniphila_55290 XTA-016 FALSE
Akkermansia_muciniphila_55290 XTA-023 FALSE
Akkermansia_muciniphila_55290 XTA-026 FALSE
Akkermansia_muciniphila_55290 XTA-028 FALSE
Akkermansia_muciniphila_55290 XTA-029 FALSE
Akkermansia_muciniphila_55290 XTA-030 FALSE
Akkermansia_muciniphila_55290 XTA-039 FALSE
Akkermansia_muciniphila_55290 XTA-041 FALSE
Akkermansia_muciniphila_55290 XTA-042 FALSE
Akkermansia_muciniphila_55290 XTA-064 FALSE
Akkermansia_muciniphila_55290 XTB-001 FALSE
Akkermansia_muciniphila_55290 XTB-028 FALSE
Akkermansia_muciniphila_55290 XTB-038 FALSE
Akkermansia_muciniphila_55290 XTB-065 FALSE
Akkermansia_muciniphila_55290 XVA-001 FALSE
Akkermansia_muciniphila_55290 XVA-009 FALSE
Akkermansia_muciniphila_55290 XVA-015 FALSE
Akkermansia_muciniphila_55290 XVA-022 FALSE
Akkermansia_muciniphila_55290 XVA-023 FALSE
Akkermansia_muciniphila_55290 XVA-024 FALSE
Akkermansia_muciniphila_55290 XVA-027 FALSE
Akkermansia_muciniphila_55290 XVA-029 FALSE
Akkermansia_muciniphila_55290 XVA-030 FALSE
Akkermansia_muciniphila_55290 XVA-031 FALSE
Akkermansia_muciniphila_55290 XVA-032 FALSE
Akkermansia_muciniphila_55290 XVA-033 FALSE
Akkermansia_muciniphila_55290 XVA-034 FALSE
Akkermansia_muciniphila_55290 XVA-035 FALSE
Akkermansia_muciniphila_55290 XVA-036 FALSE
Akkermansia_muciniphila_55290 XVA-040 FALSE
Akkermansia_muciniphila_55290 XVA-041 FALSE
Akkermansia_muciniphila_55290 XVA-043 FALSE
Akkermansia_muciniphila_55290 XVA-050 FALSE
Akkermansia_muciniphila_55290 XVA-057 FALSE
Akkermansia_muciniphila_55290 XVA-064 FALSE
Akkermansia_muciniphila_55290 XVA-129 FALSE
Akkermansia_muciniphila_55290 XVA-216 FALSE
Akkermansia_muciniphila_55290 XVA-309 FALSE
Akkermansia_muciniphila_55290 XVA-398 FALSE
Akkermansia_muciniphila_55290 XVA-617 FALSE
Akkermansia_muciniphila_55290 XVB-001 FALSE
Akkermansia_muciniphila_55290 XVB-027 FALSE
Akkermansia_muciniphila_55290 XVB-036 FALSE
Akkermansia_muciniphila_55290 XVB-064 FALSE
Akkermansia_muciniphila_55290 XVB-129 FALSE
Akkermansia_muciniphila_55290 YAC-001 FALSE
Akkermansia_muciniphila_55290 YAC-064 FALSE
Akkermansia_muciniphila_55290 YAD-001 FALSE
Akkermansia_muciniphila_55290 YAD-064 FALSE
Akkermansia_muciniphila_55290 YBB-029 TRUE
Akkermansia_muciniphila_55290 YBB-050 TRUE
Akkermansia_muciniphila_55290 YBC-001 TRUE
Akkermansia_muciniphila_55290 YBC-043 TRUE
Akkermansia_muciniphila_55290 YBC-260 TRUE
Akkermansia_muciniphila_55290 YBC-435 TRUE
Akkermansia_muciniphila_55290 ZCA-001 TRUE
Akkermansia_muciniphila_55290 ZCA-064 TRUE
Akkermansia_muciniphila_55290 ZCA-260 TRUE
Akkermansia_muciniphila_55290 ZCA-323 TRUE
Akkermansia_muciniphila_55290 ZCB-001 TRUE
Akkermansia_muciniphila_55290 ZCB-064 TRUE
Akkermansia_muciniphila_55290 ZCB-261 TRUE
Akkermansia_muciniphila_55290 ZCB-323 TRUE
Akkermansia_muciniphila_55290 ZDA-413 TRUE
Akkermansia_muciniphila_55290 ZDB-324 TRUE
Akkermansia_muciniphila_55290 ZDB-411 TRUE
Alistipes_finegoldii_56071 XCA-001 TRUE
Alistipes_finegoldii_56071 XCA-008 TRUE
Alistipes_finegoldii_56071 XCA-029 TRUE
Alistipes_finegoldii_56071 XCA-036 TRUE
Alistipes_finegoldii_56071 XCA-037 TRUE
Alistipes_finegoldii_56071 XCA-064 TRUE
Alistipes_finegoldii_56071 XCA-258 TRUE
Alistipes_finegoldii_56071 XCA-317 TRUE
Alistipes_finegoldii_56071 XCA-604 TRUE
Alistipes_finegoldii_56071 XCA-805 TRUE
Alistipes_finegoldii_56071 XCB-001 TRUE
Alistipes_finegoldii_56071 XCB-029 TRUE
Alistipes_finegoldii_56071 XCB-036 TRUE
Alistipes_finegoldii_56071 XCB-064 TRUE
Alistipes_finegoldii_56071 XCB-258 TRUE
Alistipes_finegoldii_56071 XCB-310 TRUE
Alistipes_finegoldii_56071 XCB-410 TRUE
Alistipes_finegoldii_56071 XCB-604 TRUE
Alistipes_finegoldii_56071 XCB-695 TRUE
Alistipes_finegoldii_56071 XCB-804 TRUE
Alistipes_finegoldii_56071 XFA-001 FALSE
Alistipes_finegoldii_56071 XFA-027 FALSE
Alistipes_finegoldii_56071 XFA-029 FALSE
Alistipes_finegoldii_56071 XFB-001 FALSE
Alistipes_finegoldii_56071 XFB-029 FALSE
Alistipes_finegoldii_56071 XFB-036 FALSE
Alistipes_finegoldii_56071 XFB-064 FALSE
Alistipes_finegoldii_56071 XFB-313 FALSE
Alistipes_finegoldii_56071 XLA-029 TRUE
Alistipes_finegoldii_56071 XLB-001 TRUE
Alistipes_finegoldii_56071 XLB-029 TRUE
Alistipes_finegoldii_56071 XLB-172 TRUE
Alistipes_finegoldii_56071 XPA-002 FALSE
Alistipes_finegoldii_56071 XPB-008 FALSE
Alistipes_finegoldii_56071 XPB-028 FALSE
Alistipes_finegoldii_56071 XPB-036 FALSE
Alistipes_finegoldii_56071 XPB-063 FALSE
Alistipes_finegoldii_56071 XPB-139 FALSE
Alistipes_finegoldii_56071 XQA-001 FALSE
Alistipes_finegoldii_56071 XQA-009 FALSE
Alistipes_finegoldii_56071 XQA-022 FALSE
Alistipes_finegoldii_56071 XQA-024 FALSE
Alistipes_finegoldii_56071 XQA-028 FALSE
Alistipes_finegoldii_56071 XQA-029 FALSE
Alistipes_finegoldii_56071 XQA-064 FALSE
Alistipes_finegoldii_56071 XQA-133 FALSE
Alistipes_finegoldii_56071 XQA-244 FALSE
Alistipes_finegoldii_56071 XQA-532 FALSE
Alistipes_finegoldii_56071 XQB-348 FALSE
Alistipes_finegoldii_56071 XQB-452 FALSE
Alistipes_finegoldii_56071 XQB-531 FALSE
Alistipes_finegoldii_56071 XQB-647 FALSE
Alistipes_finegoldii_56071 YCA-001 TRUE
Alistipes_finegoldii_56071 YCA-064 TRUE
Alistipes_finegoldii_56071 YCB-001 TRUE
Alistipes_finegoldii_56071 YCB-064 TRUE
Alistipes_finegoldii_56071 ZAA-002 FALSE
Alistipes_finegoldii_56071 ZAA-326 FALSE
Alistipes_finegoldii_56071 ZAB-002 FALSE
Alistipes_finegoldii_56071 ZAB-064 FALSE
Alistipes_finegoldii_56071 ZAB-256 FALSE
Alistipes_finegoldii_56071 ZAB-326 FALSE
Alistipes_finegoldii_56071 ZAB-411 FALSE
Alistipes_finegoldii_56071 ZCA-001 TRUE
Alistipes_finegoldii_56071 ZCB-001 TRUE
Alistipes_finegoldii_56071 ZCB-261 TRUE
Alistipes_finegoldii_56071 ZDA-001 FALSE
Alistipes_finegoldii_56071 ZDA-065 FALSE
Alistipes_finegoldii_56071 ZDA-260 FALSE
Alistipes_finegoldii_56071 ZDA-324 FALSE
Alistipes_finegoldii_56071 ZDA-413 FALSE
Alistipes_finegoldii_56071 ZDA-598 FALSE
Alistipes_finegoldii_56071 ZDB-001 FALSE
Alistipes_finegoldii_56071 ZDB-064 FALSE
Alistipes_finegoldii_56071 ZDB-261 FALSE
Alistipes_finegoldii_56071 ZDB-324 FALSE
Alistipes_finegoldii_56071 ZDB-411 FALSE
Alistipes_finegoldii_56071 ZDB-506 FALSE
Alistipes_finegoldii_56071 ZDB-596 FALSE
Alistipes_indistinctus_62207 XCA-029 FALSE
Alistipes_indistinctus_62207 XCA-258 FALSE
Alistipes_indistinctus_62207 XCB-029 FALSE
Alistipes_indistinctus_62207 XCB-310 FALSE
Alistipes_indistinctus_62207 XIB-259 FALSE
Alistipes_indistinctus_62207 XIB-277 FALSE
Alistipes_indistinctus_62207 XIC-029 FALSE
Alistipes_indistinctus_62207 XIC-036 FALSE
Alistipes_indistinctus_62207 XIC-064 FALSE
Alistipes_onderdonkii_55464 XCA-001 TRUE
Alistipes_onderdonkii_55464 XCA-008 TRUE
Alistipes_onderdonkii_55464 XCA-015 TRUE
Alistipes_onderdonkii_55464 XCA-022 TRUE
Alistipes_onderdonkii_55464 XCA-026 TRUE
Alistipes_onderdonkii_55464 XCA-029 TRUE
Alistipes_onderdonkii_55464 XCA-036 TRUE
Alistipes_onderdonkii_55464 XCA-039 TRUE
Alistipes_onderdonkii_55464 XCA-040 TRUE
Alistipes_onderdonkii_55464 XCA-044 TRUE
Alistipes_onderdonkii_55464 XCA-050 TRUE
Alistipes_onderdonkii_55464 XCA-064 TRUE
Alistipes_onderdonkii_55464 XCA-258 TRUE
Alistipes_onderdonkii_55464 XCA-317 TRUE
Alistipes_onderdonkii_55464 XCA-409 TRUE
Alistipes_onderdonkii_55464 XCA-604 TRUE
Alistipes_onderdonkii_55464 XCA-695 TRUE
Alistipes_onderdonkii_55464 XCA-805 TRUE
Alistipes_onderdonkii_55464 XCB-001 TRUE
Alistipes_onderdonkii_55464 XCB-029 TRUE
Alistipes_onderdonkii_55464 XCB-036 TRUE
Alistipes_onderdonkii_55464 XCB-064 TRUE
Alistipes_onderdonkii_55464 XCB-258 TRUE
Alistipes_onderdonkii_55464 XCB-310 TRUE
Alistipes_onderdonkii_55464 XEA-038 FALSE
Alistipes_onderdonkii_55464 XEA-039 FALSE
Alistipes_onderdonkii_55464 XEA-040 FALSE
Alistipes_onderdonkii_55464 XEA-043 FALSE
Alistipes_onderdonkii_55464 XEA-050 FALSE
Alistipes_onderdonkii_55464 XEA-064 FALSE
Alistipes_onderdonkii_55464 XEA-302 FALSE
Alistipes_onderdonkii_55464 XEA-390 FALSE
Alistipes_onderdonkii_55464 XEB-001 FALSE
Alistipes_onderdonkii_55464 XEB-029 FALSE
Alistipes_onderdonkii_55464 XEB-036 FALSE
Alistipes_onderdonkii_55464 XEB-064 FALSE
Alistipes_onderdonkii_55464 XFA-001 TRUE
Alistipes_onderdonkii_55464 XFA-008 TRUE
Alistipes_onderdonkii_55464 XFA-022 TRUE
Alistipes_onderdonkii_55464 XFA-024 TRUE
Alistipes_onderdonkii_55464 XFA-025 TRUE
Alistipes_onderdonkii_55464 XFA-026 TRUE
Alistipes_onderdonkii_55464 XFA-027 TRUE
Alistipes_onderdonkii_55464 XFA-028 TRUE
Alistipes_onderdonkii_55464 XFA-029 TRUE
Alistipes_onderdonkii_55464 XFB-001 TRUE
Alistipes_onderdonkii_55464 XFB-029 TRUE
Alistipes_onderdonkii_55464 XFB-036 TRUE
Alistipes_onderdonkii_55464 XFB-064 TRUE
Alistipes_onderdonkii_55464 XFB-242 TRUE
Alistipes_onderdonkii_55464 XFB-313 TRUE
Alistipes_onderdonkii_55464 XGA-001 TRUE
Alistipes_onderdonkii_55464 XGA-008 TRUE
Alistipes_onderdonkii_55464 XGA-015 TRUE
Alistipes_onderdonkii_55464 XGA-022 TRUE
Alistipes_onderdonkii_55464 XGA-023 TRUE
Alistipes_onderdonkii_55464 XGA-024 TRUE
Alistipes_onderdonkii_55464 XGA-025 TRUE
Alistipes_onderdonkii_55464 XGA-026 TRUE
Alistipes_onderdonkii_55464 XGA-027 TRUE
Alistipes_onderdonkii_55464 XGA-028 TRUE
Alistipes_onderdonkii_55464 XGA-029 TRUE
Alistipes_onderdonkii_55464 XGA-030 TRUE
Alistipes_onderdonkii_55464 XGA-031 TRUE
Alistipes_onderdonkii_55464 XGA-032 TRUE
Alistipes_onderdonkii_55464 XGA-035 TRUE
Alistipes_onderdonkii_55464 XGA-036 TRUE
Alistipes_onderdonkii_55464 XGA-037 TRUE
Alistipes_onderdonkii_55464 XGA-038 TRUE
Alistipes_onderdonkii_55464 XGA-039 TRUE
Alistipes_onderdonkii_55464 XGA-040 TRUE
Alistipes_onderdonkii_55464 XGA-044 TRUE
Alistipes_onderdonkii_55464 XGA-050 TRUE
Alistipes_onderdonkii_55464 XGA-057 TRUE
Alistipes_onderdonkii_55464 XGA-064 TRUE
Alistipes_onderdonkii_55464 XGA-252 TRUE
Alistipes_onderdonkii_55464 XGA-364 TRUE
Alistipes_onderdonkii_55464 XGA-428 TRUE
Alistipes_onderdonkii_55464 XGB-001 TRUE
Alistipes_onderdonkii_55464 XGB-029 TRUE
Alistipes_onderdonkii_55464 XGB-036 TRUE
Alistipes_onderdonkii_55464 XGB-064 TRUE
Alistipes_onderdonkii_55464 XGB-252 TRUE
Alistipes_onderdonkii_55464 XGB-365 TRUE
Alistipes_onderdonkii_55464 XGB-428 TRUE
Alistipes_onderdonkii_55464 XGC-001 FALSE
Alistipes_onderdonkii_55464 XGC-029 FALSE
Alistipes_onderdonkii_55464 XGC-037 FALSE
Alistipes_onderdonkii_55464 XGC-064 FALSE
Alistipes_onderdonkii_55464 XGC-252 FALSE
Alistipes_onderdonkii_55464 XGC-364 FALSE
Alistipes_onderdonkii_55464 XGC-428 FALSE
Alistipes_onderdonkii_55464 XHA-003 FALSE
Alistipes_onderdonkii_55464 XHA-029 FALSE
Alistipes_onderdonkii_55464 XHA-036 FALSE
Alistipes_onderdonkii_55464 XHA-064 FALSE
Alistipes_onderdonkii_55464 XHB-036 FALSE
Alistipes_onderdonkii_55464 XHB-064 FALSE
Alistipes_onderdonkii_55464 XIB-259 FALSE
Alistipes_onderdonkii_55464 XIB-277 FALSE
Alistipes_onderdonkii_55464 XIC-029 FALSE
Alistipes_onderdonkii_55464 XIC-036 FALSE
Alistipes_onderdonkii_55464 XIC-057 FALSE
Alistipes_onderdonkii_55464 XIC-064 FALSE
Alistipes_onderdonkii_55464 XIC-198 FALSE
