species_id subject1 strainSharedAnyTimepoint strainSharedPreAbx strainSharedPostAbx strainSharedMain strainSharedFollowup strainSharedPostAbxFollowup
Acidaminococcus_intestini_54097 ZAA TRUE NA NA NA NA TRUE
Acidaminococcus_intestini_54097 ZAB TRUE NA NA NA NA TRUE
Adlercreutzia_equolifaciens_60310 XEA FALSE NA NA NA FALSE FALSE
Adlercreutzia_equolifaciens_60310 XEB FALSE NA NA NA FALSE FALSE
Akkermansia_muciniphila_55290 XDA TRUE NA TRUE TRUE TRUE TRUE
Akkermansia_muciniphila_55290 XDB TRUE NA TRUE TRUE TRUE TRUE
Akkermansia_muciniphila_55290 XEA FALSE FALSE FALSE FALSE NA FALSE
Akkermansia_muciniphila_55290 XEB FALSE FALSE FALSE FALSE NA FALSE
Akkermansia_muciniphila_55290 XLA TRUE TRUE TRUE TRUE NA TRUE
Akkermansia_muciniphila_55290 XLB TRUE TRUE TRUE TRUE NA TRUE
Akkermansia_muciniphila_55290 XQA FALSE FALSE FALSE FALSE NA FALSE
Akkermansia_muciniphila_55290 XQB FALSE FALSE FALSE FALSE NA FALSE
Akkermansia_muciniphila_55290 XTA FALSE FALSE FALSE FALSE NA FALSE
Akkermansia_muciniphila_55290 XTB FALSE FALSE FALSE FALSE NA FALSE
Akkermansia_muciniphila_55290 XVA FALSE FALSE FALSE FALSE FALSE FALSE
Akkermansia_muciniphila_55290 XVB FALSE FALSE FALSE FALSE FALSE FALSE
Akkermansia_muciniphila_55290 YAC FALSE FALSE FALSE FALSE NA FALSE
Akkermansia_muciniphila_55290 YAD FALSE FALSE FALSE FALSE NA FALSE
Akkermansia_muciniphila_55290 YBB TRUE TRUE TRUE TRUE NA TRUE
Akkermansia_muciniphila_55290 YBC TRUE TRUE TRUE TRUE NA TRUE
Akkermansia_muciniphila_55290 ZCA TRUE TRUE TRUE TRUE TRUE TRUE
Akkermansia_muciniphila_55290 ZCB TRUE TRUE TRUE TRUE TRUE TRUE
Akkermansia_muciniphila_55290 ZDA TRUE NA NA NA TRUE TRUE
Akkermansia_muciniphila_55290 ZDB TRUE NA NA NA TRUE TRUE
Alistipes_finegoldii_56071 XCA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_finegoldii_56071 XCB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_finegoldii_56071 XFA FALSE FALSE NA FALSE NA NA
Alistipes_finegoldii_56071 XFB FALSE FALSE NA FALSE NA NA
Alistipes_finegoldii_56071 XLA TRUE TRUE NA TRUE NA NA
Alistipes_finegoldii_56071 XLB TRUE TRUE NA TRUE NA NA
Alistipes_finegoldii_56071 XPA FALSE FALSE NA FALSE NA NA
Alistipes_finegoldii_56071 XPB FALSE FALSE NA FALSE NA NA
Alistipes_finegoldii_56071 XQA FALSE NA NA NA FALSE FALSE
Alistipes_finegoldii_56071 XQB FALSE NA NA NA FALSE FALSE
Alistipes_finegoldii_56071 YCA TRUE TRUE TRUE TRUE NA TRUE
Alistipes_finegoldii_56071 YCB TRUE TRUE TRUE TRUE NA TRUE
Alistipes_finegoldii_56071 ZAA FALSE FALSE NA FALSE FALSE FALSE
Alistipes_finegoldii_56071 ZAB FALSE FALSE NA FALSE FALSE FALSE
Alistipes_finegoldii_56071 ZCA TRUE TRUE NA TRUE NA NA
Alistipes_finegoldii_56071 ZCB TRUE TRUE NA TRUE NA NA
Alistipes_finegoldii_56071 ZDA FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_finegoldii_56071 ZDB FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_indistinctus_62207 XCA FALSE FALSE NA FALSE FALSE FALSE
Alistipes_indistinctus_62207 XCB FALSE FALSE NA FALSE FALSE FALSE
Alistipes_indistinctus_62207 XIB FALSE NA NA NA NA FALSE
Alistipes_indistinctus_62207 XIC FALSE NA NA NA NA FALSE
Alistipes_onderdonkii_55464 XCA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_onderdonkii_55464 XCB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_onderdonkii_55464 XEA FALSE NA FALSE FALSE NA FALSE
Alistipes_onderdonkii_55464 XEB FALSE NA FALSE FALSE NA FALSE
Alistipes_onderdonkii_55464 XFA TRUE TRUE NA TRUE NA NA
Alistipes_onderdonkii_55464 XFB TRUE TRUE NA TRUE NA NA
Alistipes_onderdonkii_55464 XGA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_onderdonkii_55464 XGB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_onderdonkii_55464 XGC FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_onderdonkii_55464 XHA FALSE NA FALSE FALSE NA FALSE
Alistipes_onderdonkii_55464 XHB FALSE NA FALSE FALSE NA FALSE
Alistipes_onderdonkii_55464 XIB FALSE NA NA NA FALSE FALSE
Alistipes_onderdonkii_55464 XIC FALSE NA NA NA FALSE FALSE
Alistipes_onderdonkii_55464 XLA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_onderdonkii_55464 XLB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_onderdonkii_55464 XPA FALSE FALSE NA FALSE NA NA
Alistipes_onderdonkii_55464 XPB FALSE FALSE NA FALSE NA NA
Alistipes_onderdonkii_55464 YBA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_onderdonkii_55464 YBB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_onderdonkii_55464 YBC FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_onderdonkii_55464 YEB FALSE FALSE NA FALSE NA NA
Alistipes_onderdonkii_55464 YEC FALSE FALSE NA FALSE NA NA
Alistipes_onderdonkii_55464 ZCA TRUE TRUE NA TRUE TRUE TRUE
Alistipes_onderdonkii_55464 ZCB TRUE TRUE NA TRUE TRUE TRUE
Alistipes_onderdonkii_55464 ZDA FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_onderdonkii_55464 ZDB FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_onderdonkii_55464 ZEA FALSE FALSE FALSE FALSE NA FALSE
Alistipes_onderdonkii_55464 ZEC FALSE FALSE FALSE FALSE NA FALSE
Alistipes_putredinis_61533 XCA FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 XCB FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 XDA TRUE FALSE NA FALSE TRUE TRUE
Alistipes_putredinis_61533 XDB TRUE FALSE NA FALSE TRUE TRUE
Alistipes_putredinis_61533 XEA FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 XEB FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 XFA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 XFB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 XGA TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 XGB TRUE TRUE TRUE TRUE TRUE TRUE
Alistipes_putredinis_61533 XGC FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XIA TRUE TRUE TRUE TRUE NA TRUE
Alistipes_putredinis_61533 XIB TRUE TRUE TRUE TRUE FALSE TRUE
Alistipes_putredinis_61533 XIC FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XLA TRUE FALSE NA TRUE NA NA
Alistipes_putredinis_61533 XLB TRUE FALSE NA TRUE NA NA
Alistipes_putredinis_61533 XPA FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XPB FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XQA FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XQB FALSE FALSE FALSE FALSE FALSE FALSE
Alistipes_putredinis_61533 XUA FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 XUB FALSE FALSE NA FALSE NA NA
Alistipes_putredinis_61533 YAC FALSE NA FALSE FALSE NA FALSE
Alistipes_putredinis_61533 YAD FALSE NA FALSE FALSE NA FALSE
