species sample1 sample2 subject1 subject2 hh1 hh2 timepoint1 timepoint2 sharedFixedDiffs sharedStrainFishing concordant consensusConservative consensusPermissive consensusFixedDiffs consensusStrainFishing consensusNA keyTimepoint1 keyTimepoint2
Bacteroides_uniformis_57318 XAA-002 XAC-002 XAA XAC XA XA 2 2 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_vulgatus_57955 XAA-002 XAC-002 XAA XAC XA XA 2 2 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_rectale_56927 XAA-002 XAC-002 XAA XAC XA XA 2 2 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_57453 XAA-002 XAC-002 XAA XAC XA XA 2 2 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Guyana_massiliensis_60772 XAA-002 XAC-002 XAA XAC XA XA 2 2 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_distasonis_56985 XAA-002 XAC-002 XAA XAC XA XA 2 2 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_merdae_56972 XAA-002 XAC-002 XAA XAC XA XA 2 2 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE initial initial
Phascolarctobacterium_sp_59817 XAA-002 XAC-002 XAA XAC XA XA 2 2 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Roseburia_inulinivorans_61943 XAA-002 XAC-002 XAA XAC XA XA 2 2 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Anaerostipes_hadrus_55206 XAA-002 XAD-003 XAA XAD XA XA 2 3 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_fragilis_54507 XAA-002 XAD-003 XAA XAD XA XA 2 3 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_vulgatus_57955 XAA-002 XAD-003 XAA XAD XA XA 2 3 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Blautia_wexlerae_56130 XAA-002 XAD-003 XAA XAD XA XA 2 3 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Eubacterium_ventriosum_61474 XAA-002 XAD-003 XAA XAD XA XA 2 3 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Faecalibacterium_prausnitzii_62201 XAA-002 XAD-003 XAA XAD XA XA 2 3 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Parabacteroides_distasonis_56985 XAA-002 XAD-003 XAA XAD XA XA 2 3 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Ruminococcus_sp_55468 XAA-002 XAD-003 XAA XAD XA XA 2 3 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Anaerostipes_hadrus_55206 XAA-002 XBA-001 XAA XBA XA XB 2 1 NA FALSE NA FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_faecis_58503 XAA-002 XBA-001 XAA XBA XA XB 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
Bacteroides_finegoldii_57739 XAA-002 XBA-001 XAA XBA XA XB 2 1 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE initial initial
