sample subject hh timepoint species_id relative_abundance totalReads speciesStatusColonizationAllTimepoints timeOfColonizationAllTimepoints strainTurnover timeOfStrainTurnover
XAA-002 XAA XA 2 Adlercreutzia_equolifaciens_60310 0 91663 followup 555 NA NA
XAA-002 XAA XA 2 Alistipes_onderdonkii_55464 0.151009369371 91663 speciesNotColonized NA TRUE 623
XAA-002 XAA XA 2 Alistipes_putredinis_61533 0 91663 followup 623 NA NA
XAA-002 XAA XA 2 Alistipes_shahii_62199 0 91663 followup 623 NA NA
XAA-002 XAA XA 2 Anaeroglobus_geminatus_62348 0 91663 post-abx 50 NA NA
XAA-002 XAA XA 2 Bacteroides_uniformis_57318 0.0982503213685 91663 speciesNotColonized NA TRUE 623
XAA-002 XAA XA 2 Bacteroides_vulgatus_57955 0.354420732137 91663 speciesNotColonized NA TRUE 454
XAA-002 XAA XA 2 Bifidobacterium_animalis_58116 0 91663 followup 623 NA NA
XAA-002 XAA XA 2 Bifidobacterium_longum_57796 0.0101593264128 91663 speciesNotColonized NA TRUE 454
XAA-002 XAA XA 2 Blautia_wexlerae_56130 0.00417808339033 91663 speciesNotColonized NA TRUE 28
XAA-002 XAA XA 2 Butyricicoccus_pullicaecorum_59455 0 91663 followup 225 NA NA
XAA-002 XAA XA 2 Campylobacter_concisus_59753 0 91663 abx 35 NA NA
XAA-002 XAA XA 2 Campylobacter_concisus_62542 0 91663 abx 35 NA NA
XAA-002 XAA XA 2 Campylobacter_gracilis_61787 0 91663 post-abx 37 NA NA
XAA-002 XAA XA 2 Campylobacter_sp_62066 0 91663 abx 35 NA NA
XAA-002 XAA XA 2 Clostridium_lentocellum_62000 0 91663 post-abx 50 NA NA
XAA-002 XAA XA 2 Clostridium_nexile_61654 0 91663 followup 488 NA NA
XAA-002 XAA XA 2 Clostridium_sp_61556 0 91663 post-abx 57 NA NA
XAA-002 XAA XA 2 Collinsella_aerofaciens_61484 0 91663 followup 522 NA NA
XAA-002 XAA XA 2 Collinsella_sp_62205 0 91663 followup 555 NA NA
XAA-002 XAA XA 2 Dialister_invisus_61905 0 91663 post-abx 42 NA NA
XAA-002 XAA XA 2 Enterococcus_casseliflavus_56514 0 91663 post-abx 39 NA NA
XAA-002 XAA XA 2 Escherichia_coli_57907 0 91663 followup 652 NA NA
XAA-002 XAA XA 2 Eubacterium_eligens_61678 0 91663 followup 225 NA NA
XAA-002 XAA XA 2 Faecalibacterium_cf_62236 0.00318933884647 91663 speciesNotColonized NA TRUE 623
XAA-002 XAA XA 2 Fusobacterium_nucleatum_57450 0 91663 post-abx 39 NA NA
XAA-002 XAA XA 2 Fusobacterium_nucleatum_57855 0 91663 post-abx 36 NA NA
XAA-002 XAA XA 2 Intestinimonas_butyriciproducens_60001 0 91663 followup 623 NA NA
XAA-002 XAA XA 2 Klebsiella_pneumoniae_54788 0 91663 post-abx 50 NA NA
XAA-002 XAA XA 2 Megasphaera_micronuciformis_62167 0 91663 post-abx 37 NA NA
XAA-002 XAA XA 2 Parabacteroides_distasonis_56985 0.00609940317215 91663 speciesNotColonized NA TRUE 590
XAA-002 XAA XA 2 Prevotella_buccae_56058 0 91663 post-abx 39 NA NA
XAA-002 XAA XA 2 Ruminococcus_callidus_61479 0 91663 followup 590 NA NA
XAA-002 XAA XA 2 Ruminococcus_sp_55468 0.00190287423346 91663 speciesNotColonized NA TRUE 623
XAA-002 XAA XA 2 Streptococcus_australis_62469 0 91663 abx 30 NA NA
XAA-002 XAA XA 2 Streptococcus_salivarius_58037 0 91663 followup 623 NA NA
XAA-002 XAA XA 2 Streptococcus_sp_57750 0 91663 abx 30 NA NA
XAA-010 XAA XA 10 Adlercreutzia_equolifaciens_60310 0 16442 followup 555 NA NA
XAA-010 XAA XA 10 Alistipes_onderdonkii_55464 0.104190756242 16442 speciesNotColonized NA TRUE 623
XAA-010 XAA XA 10 Alistipes_putredinis_61533 0 16442 followup 623 NA NA
XAA-010 XAA XA 10 Alistipes_shahii_62199 0 16442 followup 623 NA NA
XAA-010 XAA XA 10 Anaeroglobus_geminatus_62348 0 16442 post-abx 50 NA NA
XAA-010 XAA XA 10 Bacteroides_uniformis_57318 0.127409088921 16442 speciesNotColonized NA TRUE 623
XAA-010 XAA XA 10 Bacteroides_vulgatus_57955 0.210973488354 16442 speciesNotColonized NA TRUE 454
XAA-010 XAA XA 10 Bifidobacterium_animalis_58116 0 16442 followup 623 NA NA
XAA-010 XAA XA 10 Bifidobacterium_longum_57796 0.000509095287229 16442 speciesNotColonized NA TRUE 454
XAA-010 XAA XA 10 Blautia_wexlerae_56130 0.00484751245342 16442 speciesNotColonized NA TRUE 28
XAA-010 XAA XA 10 Butyricicoccus_pullicaecorum_59455 0 16442 followup 225 NA NA
XAA-010 XAA XA 10 Campylobacter_concisus_59753 0 16442 abx 35 NA NA
XAA-010 XAA XA 10 Campylobacter_concisus_62542 0 16442 abx 35 NA NA
XAA-010 XAA XA 10 Campylobacter_gracilis_61787 0 16442 post-abx 37 NA NA
XAA-010 XAA XA 10 Campylobacter_sp_62066 0 16442 abx 35 NA NA
XAA-010 XAA XA 10 Clostridium_lentocellum_62000 0 16442 post-abx 50 NA NA
XAA-010 XAA XA 10 Clostridium_nexile_61654 0 16442 followup 488 NA NA
XAA-010 XAA XA 10 Clostridium_sp_61556 0 16442 post-abx 57 NA NA
XAA-010 XAA XA 10 Collinsella_aerofaciens_61484 0 16442 followup 522 NA NA
XAA-010 XAA XA 10 Collinsella_sp_62205 0 16442 followup 555 NA NA
XAA-010 XAA XA 10 Dialister_invisus_61905 0 16442 post-abx 42 NA NA
XAA-010 XAA XA 10 Enterococcus_casseliflavus_56514 0 16442 post-abx 39 NA NA
XAA-010 XAA XA 10 Escherichia_coli_57907 0 16442 followup 652 NA NA
XAA-010 XAA XA 10 Eubacterium_eligens_61678 0 16442 followup 225 NA NA
XAA-010 XAA XA 10 Faecalibacterium_cf_62236 0.0083683253181 16442 speciesNotColonized NA TRUE 623
XAA-010 XAA XA 10 Fusobacterium_nucleatum_57450 0 16442 post-abx 39 NA NA
XAA-010 XAA XA 10 Fusobacterium_nucleatum_57855 0 16442 post-abx 36 NA NA
XAA-010 XAA XA 10 Intestinimonas_butyriciproducens_60001 0 16442 followup 623 NA NA
XAA-010 XAA XA 10 Klebsiella_pneumoniae_54788 0 16442 post-abx 50 NA NA
XAA-010 XAA XA 10 Megasphaera_micronuciformis_62167 0 16442 post-abx 37 NA NA
XAA-010 XAA XA 10 Parabacteroides_distasonis_56985 0.00289074446901 16442 speciesNotColonized NA TRUE 590
XAA-010 XAA XA 10 Prevotella_buccae_56058 0 16442 post-abx 39 NA NA
XAA-010 XAA XA 10 Ruminococcus_callidus_61479 0 16442 followup 590 NA NA
XAA-010 XAA XA 10 Ruminococcus_sp_55468 0.000952078182652 16442 speciesNotColonized NA TRUE 623
XAA-010 XAA XA 10 Streptococcus_australis_62469 0 16442 abx 30 NA NA
XAA-010 XAA XA 10 Streptococcus_salivarius_58037 0 16442 followup 623 NA NA
XAA-010 XAA XA 10 Streptococcus_sp_57750 0 16442 abx 30 NA NA
XAA-014 XAA XA 14 Adlercreutzia_equolifaciens_60310 0 19768 followup 555 NA NA
XAA-014 XAA XA 14 Alistipes_onderdonkii_55464 0.0577583695546 19768 speciesNotColonized NA TRUE 623
XAA-014 XAA XA 14 Alistipes_putredinis_61533 0 19768 followup 623 NA NA
XAA-014 XAA XA 14 Alistipes_shahii_62199 0 19768 followup 623 NA NA
XAA-014 XAA XA 14 Anaeroglobus_geminatus_62348 0 19768 post-abx 50 NA NA
XAA-014 XAA XA 14 Bacteroides_uniformis_57318 0.0748625112103 19768 speciesNotColonized NA TRUE 623
XAA-014 XAA XA 14 Bacteroides_vulgatus_57955 0.267775242538 19768 speciesNotColonized NA TRUE 454
XAA-014 XAA XA 14 Bifidobacterium_animalis_58116 0 19768 followup 623 NA NA
XAA-014 XAA XA 14 Bifidobacterium_longum_57796 0.00162646945417 19768 speciesNotColonized NA TRUE 454
XAA-014 XAA XA 14 Blautia_wexlerae_56130 0.0056968565966 19768 speciesNotColonized NA TRUE 28
XAA-014 XAA XA 14 Butyricicoccus_pullicaecorum_59455 0 19768 followup 225 NA NA
XAA-014 XAA XA 14 Campylobacter_concisus_59753 0 19768 abx 35 NA NA
XAA-014 XAA XA 14 Campylobacter_concisus_62542 0 19768 abx 35 NA NA
XAA-014 XAA XA 14 Campylobacter_gracilis_61787 0 19768 post-abx 37 NA NA
XAA-014 XAA XA 14 Campylobacter_sp_62066 0 19768 abx 35 NA NA
XAA-014 XAA XA 14 Clostridium_lentocellum_62000 0 19768 post-abx 50 NA NA
XAA-014 XAA XA 14 Clostridium_nexile_61654 0 19768 followup 488 NA NA
XAA-014 XAA XA 14 Clostridium_sp_61556 0 19768 post-abx 57 NA NA
XAA-014 XAA XA 14 Collinsella_aerofaciens_61484 0 19768 followup 522 NA NA
XAA-014 XAA XA 14 Collinsella_sp_62205 0 19768 followup 555 NA NA
XAA-014 XAA XA 14 Dialister_invisus_61905 0 19768 post-abx 42 NA NA
XAA-014 XAA XA 14 Enterococcus_casseliflavus_56514 0 19768 post-abx 39 NA NA
XAA-014 XAA XA 14 Escherichia_coli_57907 0 19768 followup 652 NA NA
XAA-014 XAA XA 14 Eubacterium_eligens_61678 0 19768 followup 225 NA NA
XAA-014 XAA XA 14 Faecalibacterium_cf_62236 0.0031047083488 19768 speciesNotColonized NA TRUE 623
XAA-014 XAA XA 14 Fusobacterium_nucleatum_57450 0 19768 post-abx 39 NA NA
XAA-014 XAA XA 14 Fusobacterium_nucleatum_57855 0 19768 post-abx 36 NA NA
XAA-014 XAA XA 14 Intestinimonas_butyriciproducens_60001 0 19768 followup 623 NA NA
XAA-014 XAA XA 14 Klebsiella_pneumoniae_54788 0 19768 post-abx 50 NA NA
XAA-014 XAA XA 14 Megasphaera_micronuciformis_62167 0 19768 post-abx 37 NA NA
XAA-014 XAA XA 14 Parabacteroides_distasonis_56985 0.00926280655372 19768 speciesNotColonized NA TRUE 590
XAA-014 XAA XA 14 Prevotella_buccae_56058 0 19768 post-abx 39 NA NA
XAA-014 XAA XA 14 Ruminococcus_callidus_61479 0 19768 followup 590 NA NA
XAA-014 XAA XA 14 Ruminococcus_sp_55468 0.000742853150707 19768 speciesNotColonized NA TRUE 623
XAA-014 XAA XA 14 Streptococcus_australis_62469 0 19768 abx 30 NA NA
XAA-014 XAA XA 14 Streptococcus_salivarius_58037 0 19768 followup 623 NA NA
XAA-014 XAA XA 14 Streptococcus_sp_57750 0 19768 abx 30 NA NA
XAA-021 XAA XA 21 Adlercreutzia_equolifaciens_60310 0 19905 followup 555 NA NA
XAA-021 XAA XA 21 Alistipes_onderdonkii_55464 0.0822700304939 19905 speciesNotColonized NA TRUE 623
XAA-021 XAA XA 21 Alistipes_putredinis_61533 0 19905 followup 623 NA NA
XAA-021 XAA XA 21 Alistipes_shahii_62199 0 19905 followup 623 NA NA
XAA-021 XAA XA 21 Anaeroglobus_geminatus_62348 0 19905 post-abx 50 NA NA
XAA-021 XAA XA 21 Bacteroides_uniformis_57318 0.102712946371 19905 speciesNotColonized NA TRUE 623
XAA-021 XAA XA 21 Bacteroides_vulgatus_57955 0.322935247513 19905 speciesNotColonized NA TRUE 454
XAA-021 XAA XA 21 Bifidobacterium_animalis_58116 0 19905 followup 623 NA NA
XAA-021 XAA XA 21 Bifidobacterium_longum_57796 0.00280011909002 19905 speciesNotColonized NA TRUE 454
XAA-021 XAA XA 21 Blautia_wexlerae_56130 0.00683151988763 19905 speciesNotColonized NA TRUE 28
XAA-021 XAA XA 21 Butyricicoccus_pullicaecorum_59455 0 19905 followup 225 NA NA
XAA-021 XAA XA 21 Campylobacter_concisus_59753 0 19905 abx 35 NA NA
XAA-021 XAA XA 21 Campylobacter_concisus_62542 0 19905 abx 35 NA NA
XAA-021 XAA XA 21 Campylobacter_gracilis_61787 0 19905 post-abx 37 NA NA
XAA-021 XAA XA 21 Campylobacter_sp_62066 0 19905 abx 35 NA NA
XAA-021 XAA XA 21 Clostridium_lentocellum_62000 0 19905 post-abx 50 NA NA
XAA-021 XAA XA 21 Clostridium_nexile_61654 0 19905 followup 488 NA NA
XAA-021 XAA XA 21 Clostridium_sp_61556 0 19905 post-abx 57 NA NA
XAA-021 XAA XA 21 Collinsella_aerofaciens_61484 0 19905 followup 522 NA NA
XAA-021 XAA XA 21 Collinsella_sp_62205 0 19905 followup 555 NA NA
XAA-021 XAA XA 21 Dialister_invisus_61905 0 19905 post-abx 42 NA NA
XAA-021 XAA XA 21 Enterococcus_casseliflavus_56514 0 19905 post-abx 39 NA NA
XAA-021 XAA XA 21 Escherichia_coli_57907 0 19905 followup 652 NA NA
XAA-021 XAA XA 21 Eubacterium_eligens_61678 0 19905 followup 225 NA NA
XAA-021 XAA XA 21 Faecalibacterium_cf_62236 0.0031343288559 19905 speciesNotColonized NA TRUE 623
XAA-021 XAA XA 21 Fusobacterium_nucleatum_57450 0 19905 post-abx 39 NA NA
XAA-021 XAA XA 21 Fusobacterium_nucleatum_57855 0 19905 post-abx 36 NA NA
XAA-021 XAA XA 21 Intestinimonas_butyriciproducens_60001 0 19905 followup 623 NA NA
XAA-021 XAA XA 21 Klebsiella_pneumoniae_54788 0 19905 post-abx 50 NA NA
XAA-021 XAA XA 21 Megasphaera_micronuciformis_62167 0 19905 post-abx 37 NA NA
XAA-021 XAA XA 21 Parabacteroides_distasonis_56985 0.0218979183275 19905 speciesNotColonized NA TRUE 590
XAA-021 XAA XA 21 Prevotella_buccae_56058 0 19905 post-abx 39 NA NA
XAA-021 XAA XA 21 Ruminococcus_callidus_61479 0 19905 followup 590 NA NA
XAA-021 XAA XA 21 Ruminococcus_sp_55468 0.00148795537684 19905 speciesNotColonized NA TRUE 623
XAA-021 XAA XA 21 Streptococcus_australis_62469 0 19905 abx 30 NA NA
XAA-021 XAA XA 21 Streptococcus_salivarius_58037 5.31977359249e-05 19905 followup 623 NA NA
XAA-021 XAA XA 21 Streptococcus_sp_57750 5.24661676581e-05 19905 abx 30 NA NA
XAA-022 XAA XA 22 Adlercreutzia_equolifaciens_60310 0 20545 followup 555 NA NA
XAA-022 XAA XA 22 Alistipes_onderdonkii_55464 0.092388578516 20545 speciesNotColonized NA TRUE 623
XAA-022 XAA XA 22 Alistipes_putredinis_61533 0 20545 followup 623 NA NA
XAA-022 XAA XA 22 Alistipes_shahii_62199 2.70164167378e-05 20545 followup 623 NA NA
XAA-022 XAA XA 22 Anaeroglobus_geminatus_62348 0 20545 post-abx 50 NA NA
XAA-022 XAA XA 22 Bacteroides_uniformis_57318 0.0908279775051 20545 speciesNotColonized NA TRUE 623
XAA-022 XAA XA 22 Bacteroides_vulgatus_57955 0.31618018971 20545 speciesNotColonized NA TRUE 454
XAA-022 XAA XA 22 Bifidobacterium_animalis_58116 0 20545 followup 623 NA NA
XAA-022 XAA XA 22 Bifidobacterium_longum_57796 0.000692134371333 20545 speciesNotColonized NA TRUE 454
XAA-022 XAA XA 22 Blautia_wexlerae_56130 0.00376741643983 20545 speciesNotColonized NA TRUE 28
XAA-022 XAA XA 22 Butyricicoccus_pullicaecorum_59455 0 20545 followup 225 NA NA
XAA-022 XAA XA 22 Campylobacter_concisus_59753 0 20545 abx 35 NA NA
XAA-022 XAA XA 22 Campylobacter_concisus_62542 0 20545 abx 35 NA NA
XAA-022 XAA XA 22 Campylobacter_gracilis_61787 4.34621269283e-05 20545 post-abx 37 NA NA
XAA-022 XAA XA 22 Campylobacter_sp_62066 0 20545 abx 35 NA NA
XAA-022 XAA XA 22 Clostridium_lentocellum_62000 0 20545 post-abx 50 NA NA
XAA-022 XAA XA 22 Clostridium_nexile_61654 0 20545 followup 488 NA NA
XAA-022 XAA XA 22 Clostridium_sp_61556 0 20545 post-abx 57 NA NA
XAA-022 XAA XA 22 Collinsella_aerofaciens_61484 0 20545 followup 522 NA NA
XAA-022 XAA XA 22 Collinsella_sp_62205 0 20545 followup 555 NA NA
XAA-022 XAA XA 22 Dialister_invisus_61905 0 20545 post-abx 42 NA NA
XAA-022 XAA XA 22 Enterococcus_casseliflavus_56514 0 20545 post-abx 39 NA NA
XAA-022 XAA XA 22 Escherichia_coli_57907 0 20545 followup 652 NA NA
XAA-022 XAA XA 22 Eubacterium_eligens_61678 1.05512803494e-05 20545 followup 225 NA NA
XAA-022 XAA XA 22 Faecalibacterium_cf_62236 0.00275220941174 20545 speciesNotColonized NA TRUE 623
XAA-022 XAA XA 22 Fusobacterium_nucleatum_57450 0 20545 post-abx 39 NA NA
