sample totalReads
XAA-002 91663
XAA-010 16442
XAA-014 19768
XAA-021 19905
XAA-022 20545
XAA-023 19468
XAA-024 14804
XAA-026 14752
XAA-027 14164
XAA-028 96127
XAA-029 5790
XAA-030 3237
XAA-031 6083
XAA-033 953
XAA-034 8298
XAA-035 12344
XAA-036 13569
XAA-037 14327
XAA-039 69701
XAA-042 22791
XAA-050 20946
XAA-057 14481
XAA-064 99447
XAA-225 35380
XAA-281 66613
XAA-454 93106
XAA-488 24645
XAA-522 20390
XAA-555 44839
XAA-590 37390
XAA-623 16727
XAA-652 30823
XAC-002 66552
XAC-029 74845
XAC-036 66091
XAC-064 57593
XAC-224 28035
XAD-003 49825
XAD-029 50185
XAD-036 46034
XAD-063 58730
XAD-225 29106
XBA-001 103177
XBA-008 18657
XBA-015 9569
XBA-022 8947
XBA-023 8117
XBA-024 24527
XBA-025 20406
XBA-026 12169
XBA-027 12242
XBA-028 19366
XBA-029 74029
XBA-030 10346
XBA-036 31783
XBA-037 18316
XBA-039 9494
XBA-040 12206
XBA-041 6507
XBA-042 8473
XBA-044 18268
XBA-045 60573
XBA-046 87712
XBA-047 51761
XBA-048 97435
XBA-049 109011
XBA-050 10728
XBA-053 133757
XBA-058 11407
XBA-064 140335
XBA-106 30270
XBA-134 28487
XBA-171 48800
XBA-240 169787
XBA-272 93216
XBA-303 66760
XBA-330 92817
XBA-351 67169
XBA-358 8710
XBA-364 14221
XBA-374 15262
XBA-380 41285
XBA-388 10177
XBA-401 12546
XBA-408 12286
XBA-415 10259
XBA-422 16159
XBA-430 14946
XBA-436 13715
XBA-442 18171
XBA-455 26538
XBA-463 13588
XBA-470 12468
XBA-478 17346
XBA-482 22468
XBA-491 11316
XBA-513 16845
XBA-519 30418
XBA-534 12373
XBA-541 13747
XBA-550 15505
XBA-557 65018
XBA-568 20555
XBA-577 16838
XBA-582 16043
XBA-589 16590
XBA-597 47914
XBA-610 21597
XBA-617 15987
XBA-625 19014
XBA-641 15103
XBA-650 12408
XBA-653 13848
XBA-677 11458
XBA-698 26449
XBA-705 14390
XBA-706 6961
XBA-707 12269
XBA-709 12365
XBA-710 15995
XBA-712 11386
XBA-713 13748
XBA-714 18668
XBA-716 13099
XBA-718 15457
XBA-722 11283
XBA-727 7121
XBA-734 11183
XBA-742 14761
XBA-749 16053
XBA-754 10516
XBA-767 16026
XBA-779 13416
XBA-787 15201
XBA-794 16711
XBA-806 14045
XBA-813 22977
XBA-821 29341
XBA-828 45827
XBA-835 23735
XBA-849 13986
XBA-871 10251
XBA-897 15532
XBA-898 16032
XBA-901 13596
XBA-907 16100
XBA-910 14887
XBB-001 124307
XBB-029 142713
XBB-034 53921
XBB-036 76930
XBB-064 60478
XBB-066 45602
XBB-106 30137
XBB-136 22470
XBB-170 27889
XBB-204 49545
XBB-240 74659
XBB-274 59110
XBB-303 57600
XBB-330 67974
XBB-351 51778
XBB-380 35795
XBB-415 23211
XBB-422 23579
XBB-430 38004
XBB-436 32078
XBB-443 23666
XBB-456 33080
XBB-464 34794
XBB-478 20277
XBB-493 32662
XBB-499 18817
XBB-513 14227
XBB-519 1523
XBB-541 31351
XBB-555 44766
XBB-569 10207
XBB-582 19918
XBB-588 20932
XBB-597 10084
XBB-617 12060
XBB-625 11907
XBB-641 17106
XBB-656 17490
XBB-679 17686
XBB-701 18766
XBB-717 19585
XBB-725 17013
XBB-737 19147
XBB-745 13534
XBB-754 11452
XBB-773 25258
XBB-779 19113
XBB-811 23159
XBB-856 15180
XBB-900 16506
XCA-001 71219
XCA-008 12453
XCA-015 8892
XCA-022 21620
XCA-023 13344
XCA-024 10200
XCA-025 9228
XCA-026 12436
XCA-027 9536
XCA-029 41526
XCA-030 6082
XCA-031 8894
XCA-032 8876
XCA-033 8154
XCA-034 6418
XCA-035 5467
XCA-036 82932
XCA-037 8355
XCA-038 8505
XCA-039 7905
XCA-040 10555
