species sample cov covnozeroes
Acidaminococcus_intestini_54097 ZAA-263 4 5
Acidaminococcus_intestini_54097 XQA-001 5 6
Acidaminococcus_intestini_54097 ZAB-002 6 7
Acidaminococcus_intestini_54097 XQB-029 7 7
Acidaminococcus_intestini_54097 XUB-029 7 8
Acidaminococcus_intestini_54097 ZAB-064 10 11
Acidaminococcus_intestini_54097 XUB-130 12 13
Acidaminococcus_intestini_54097 XUB-036 24 24
Acidaminococcus_intestini_54097 XUB-001 25 25
Acidaminococcus_intestini_54097 XNB-001 26 28
Acidaminococcus_intestini_54097 XUB-064 28 29
Acidaminococcus_intestini_54097 XNB-064 37 38
Adlercreutzia_equolifaciens_60310 XDA-064 2 4
Adlercreutzia_equolifaciens_60310 XEA-390 3 5
Adlercreutzia_equolifaciens_60310 YBA-004 3 5
Adlercreutzia_equolifaciens_60310 YBB-260 3 5
Adlercreutzia_equolifaciens_60310 XCA-036 4 7
Adlercreutzia_equolifaciens_60310 XFA-036 4 5
Adlercreutzia_equolifaciens_60310 XVA-001 4 6
Adlercreutzia_equolifaciens_60310 XDB-417 6 7
Adlercreutzia_equolifaciens_60310 XEA-064 6 7
Adlercreutzia_equolifaciens_60310 XPA-072 6 9
Adlercreutzia_equolifaciens_60310 XEA-302 7 8
Adlercreutzia_equolifaciens_60310 YBA-043 8 10
Adlercreutzia_equolifaciens_60310 XEB-293 9 10
Adlercreutzia_equolifaciens_60310 XPA-002 9 12
Adlercreutzia_equolifaciens_60310 YAD-064 9 10
Akkermansia_muciniphila_55290 XFA-029 3 4
Akkermansia_muciniphila_55290 XVA-040 3 4
Akkermansia_muciniphila_55290 XDB-512 4 5
Akkermansia_muciniphila_55290 XFA-001 4 5
Akkermansia_muciniphila_55290 XPB-008 4 4
Akkermansia_muciniphila_55290 XQA-038 4 5
Akkermansia_muciniphila_55290 XTA-030 4 5
Akkermansia_muciniphila_55290 XTA-041 4 5
Akkermansia_muciniphila_55290 XVA-043 4 5
Akkermansia_muciniphila_55290 XVB-001 4 5
Akkermansia_muciniphila_55290 XVB-027 4 5
Akkermansia_muciniphila_55290 XCA-025 5 5
