species subject1 subject2 sharedStrainFishing
Akkermansia_muciniphila_55290 XLA XLB TRUE
Akkermansia_muciniphila_55290 XQA XQB FALSE
Akkermansia_muciniphila_55290 XTA XTB FALSE
Akkermansia_muciniphila_55290 XVA XVB FALSE
Akkermansia_muciniphila_55290 YAC YAD FALSE
Akkermansia_muciniphila_55290 YBB YBC TRUE
Akkermansia_muciniphila_55290 ZCA ZCB TRUE
Alistipes_finegoldii_56071 XCA XCB TRUE
Alistipes_finegoldii_56071 XFA XFB FALSE
Alistipes_finegoldii_56071 XPA XPB FALSE
Alistipes_finegoldii_56071 YCA YCB TRUE
Alistipes_finegoldii_56071 ZAA ZAB FALSE
Alistipes_finegoldii_56071 ZCA ZCB TRUE
Alistipes_finegoldii_56071 ZDA ZDB FALSE
Alistipes_onderdonkii_55464 XCA XCB TRUE
Alistipes_onderdonkii_55464 XFA XFB FALSE
Alistipes_onderdonkii_55464 XGA XGB TRUE
Alistipes_onderdonkii_55464 XGA XGC FALSE
Alistipes_onderdonkii_55464 XGB XGC FALSE
Alistipes_onderdonkii_55464 YBA YBB TRUE
Alistipes_onderdonkii_55464 YBA YBC FALSE
Alistipes_onderdonkii_55464 YBB YBC FALSE
Alistipes_onderdonkii_55464 YEB YEC FALSE
Alistipes_onderdonkii_55464 ZCA ZCB TRUE
Alistipes_onderdonkii_55464 ZDA ZDB FALSE
Alistipes_onderdonkii_55464 ZEA ZEC FALSE
Alistipes_putredinis_61533 XCA XCB FALSE
Alistipes_putredinis_61533 XDA XDB FALSE
Alistipes_putredinis_61533 XEA XEB FALSE
Alistipes_putredinis_61533 XFA XFB TRUE
Alistipes_putredinis_61533 XGA XGB TRUE
Alistipes_putredinis_61533 XGA XGC FALSE
Alistipes_putredinis_61533 XGB XGC FALSE
Alistipes_putredinis_61533 XIA XIB TRUE
Alistipes_putredinis_61533 XIA XIC FALSE
Alistipes_putredinis_61533 XIB XIC FALSE
Alistipes_putredinis_61533 XLA XLB TRUE
Alistipes_putredinis_61533 XPA XPB FALSE
Alistipes_putredinis_61533 XQA XQB FALSE
Alistipes_putredinis_61533 XUA XUB FALSE
Alistipes_putredinis_61533 YBA YBB FALSE
Alistipes_putredinis_61533 YBA YBC FALSE
Alistipes_putredinis_61533 YBB YBC TRUE
Alistipes_putredinis_61533 YEA YEB FALSE
Alistipes_putredinis_61533 YEA YEC FALSE
Alistipes_putredinis_61533 YEB YEC FALSE
Alistipes_putredinis_61533 YFA YFC TRUE
Alistipes_putredinis_61533 ZAA ZAC TRUE
Alistipes_putredinis_61533 ZCA ZCB TRUE
Alistipes_putredinis_61533 ZEA ZEC FALSE
Alistipes_senegalensis_58364 ZCA ZCB TRUE
Alistipes_shahii_62199 XCA XCB FALSE
Alistipes_shahii_62199 XDA XDB FALSE
Alistipes_shahii_62199 XFA XFB FALSE
Alistipes_shahii_62199 XIA XIB FALSE
Alistipes_shahii_62199 XIA XIC TRUE
Alistipes_shahii_62199 XIB XIC FALSE
Alistipes_shahii_62199 XNA XNB FALSE
Alistipes_shahii_62199 XTA XTB FALSE
Alistipes_shahii_62199 XUA XUB FALSE
Alistipes_shahii_62199 YAB YAC FALSE
Alistipes_shahii_62199 YAB YAD FALSE
Alistipes_shahii_62199 YAC YAD FALSE
Alistipes_shahii_62199 ZCA ZCB TRUE
Alistipes_shahii_62199 ZEA ZEC FALSE
Anaerostipes_hadrus_55206 XAA XAD FALSE
Anaerostipes_hadrus_55206 XBA XBB FALSE
Anaerostipes_hadrus_55206 XFA XFB FALSE
Anaerostipes_hadrus_55206 XHA XHC FALSE
Anaerostipes_hadrus_55206 XKA XKB FALSE
Anaerostipes_hadrus_55206 XLA XLB FALSE
Anaerostipes_hadrus_55206 XPA XPB FALSE
Anaerostipes_hadrus_55206 XQA XQB FALSE
Anaerostipes_hadrus_55206 XSA XSB FALSE
Anaerostipes_hadrus_55206 XTA XTB FALSE
Anaerostipes_hadrus_55206 XUA XUB FALSE
Anaerostipes_hadrus_55206 YAB YAC FALSE
Anaerostipes_hadrus_55206 YBA YBC TRUE
Anaerostipes_hadrus_55206 YBB YBC FALSE
Anaerostipes_hadrus_55206 ZDA ZDB FALSE
Anaerostipes_hadrus_55206 ZEA ZEC FALSE
Anaerostipes_hadrus_55206 ZEB ZEC FALSE
Bacteroidales_bacterium_58650 XTA XTB FALSE
Bacteroidales_bacterium_58650 YAC YAD FALSE
Bacteroidales_bacterium_58650 ZCA ZCB FALSE
Bacteroidales_bacterium_58650 ZEA ZEC FALSE
Bacteroides_caccae_53434 XCA XCB TRUE
Bacteroides_caccae_53434 XDA XDB FALSE
Bacteroides_caccae_53434 XFA XFB FALSE
Bacteroides_caccae_53434 XGB XGC TRUE
Bacteroides_caccae_53434 XHA XHC FALSE
Bacteroides_caccae_53434 XPA XPB FALSE
Bacteroides_caccae_53434 XRA XRB FALSE
Bacteroides_caccae_53434 YAB YAC FALSE
Bacteroides_caccae_53434 YAB YAD TRUE
Bacteroides_caccae_53434 YAC YAD FALSE
Bacteroides_caccae_53434 YCA YCB TRUE
Bacteroides_caccae_53434 YEA YEB FALSE
Bacteroides_caccae_53434 YEA YEC FALSE
Bacteroides_caccae_53434 YEB YEC FALSE
Bacteroides_caccae_53434 ZAA ZAC TRUE
Bacteroides_caccae_53434 ZDA ZDB TRUE
Bacteroides_caccae_53434 ZEA ZEC FALSE
Bacteroides_cellulosilyticus_58046 XBA XBB FALSE
Bacteroides_cellulosilyticus_58046 XFA XFB FALSE
Bacteroides_cellulosilyticus_58046 XGA XGC TRUE
Bacteroides_cellulosilyticus_58046 XPA XPB FALSE
Bacteroides_cellulosilyticus_58046 YBA YBC TRUE
Bacteroides_cellulosilyticus_58046 ZEA ZEC FALSE
Bacteroides_clarus_62282 XMA XMB FALSE
Bacteroides_eggerthii_54457 XHA XHC FALSE
Bacteroides_eggerthii_54457 ZDA ZDB FALSE
Bacteroides_faecis_58503 XBA XBB TRUE
Bacteroides_faecis_58503 XCA XCB TRUE
Bacteroides_faecis_58503 YBA YBC TRUE
Bacteroides_finegoldii_57739 XGA XGB FALSE
Bacteroides_finegoldii_57739 XGA XGC FALSE
Bacteroides_finegoldii_57739 XGB XGC TRUE
Bacteroides_finegoldii_57739 XQA XQB TRUE
Bacteroides_fragilis_54507 XAA XAD FALSE
Bacteroides_fragilis_54507 XBA XBB TRUE
Bacteroides_fragilis_54507 XDA XDB FALSE
Bacteroides_fragilis_54507 YCA YCB TRUE
Bacteroides_fragilis_54507 ZEA ZEB FALSE
Bacteroides_massiliensis_44749 XCA XCB FALSE
Bacteroides_massiliensis_44749 XEA XEB TRUE
Bacteroides_massiliensis_44749 XHA XHB TRUE
Bacteroides_massiliensis_44749 XHA XHC FALSE
Bacteroides_massiliensis_44749 XHB XHC FALSE
Bacteroides_massiliensis_44749 XIB XIC FALSE
Bacteroides_massiliensis_44749 XLA XLB TRUE
Bacteroides_massiliensis_44749 XNA XNB TRUE
Bacteroides_massiliensis_44749 XQA XQB TRUE
Bacteroides_ovatus_58035 XBA XBB TRUE
Bacteroides_ovatus_58035 XCA XCB TRUE
Bacteroides_ovatus_58035 XDA XDB FALSE
Bacteroides_ovatus_58035 XGA XGB TRUE
Bacteroides_ovatus_58035 XGA XGC TRUE
Bacteroides_ovatus_58035 XGB XGC TRUE
Bacteroides_ovatus_58035 XLA XLB TRUE
Bacteroides_ovatus_58035 XNA XNB TRUE
Bacteroides_ovatus_58035 XRA XRB FALSE
Bacteroides_ovatus_58035 XUA XUB FALSE
Bacteroides_ovatus_58035 XVA XVB TRUE
Bacteroides_ovatus_58035 YBB YBC FALSE
Bacteroides_ovatus_58035 YCA YCB TRUE
Bacteroides_ovatus_58035 YFA YFC FALSE
Bacteroides_ovatus_58035 ZCA ZCB TRUE
Bacteroides_ovatus_58035 ZEA ZEC TRUE
Bacteroides_plebeius_61623 XIA XIB TRUE
Bacteroides_stercoris_56735 XCA XCB TRUE
Bacteroides_stercoris_56735 XHA XHC FALSE
Bacteroides_stercoris_56735 XIA XIB FALSE
Bacteroides_stercoris_56735 XIA XIC TRUE
Bacteroides_stercoris_56735 XIB XIC FALSE
Bacteroides_stercoris_56735 XMA XMB FALSE
Bacteroides_stercoris_56735 XNA XNB TRUE
Bacteroides_stercoris_56735 XQA XQB TRUE
Bacteroides_stercoris_56735 XUA XUB TRUE
Bacteroides_stercoris_56735 YBA YBB FALSE
Bacteroides_stercoris_56735 YEA YEC FALSE
Bacteroides_stercoris_56735 ZEA ZEB TRUE
Bacteroides_thetaiotaomicron_56941 XDA XDB FALSE
Bacteroides_thetaiotaomicron_56941 XFA XFB FALSE
Bacteroides_thetaiotaomicron_56941 XGA XGB FALSE
Bacteroides_thetaiotaomicron_56941 XGA XGC FALSE
Bacteroides_thetaiotaomicron_56941 XGB XGC FALSE
Bacteroides_thetaiotaomicron_56941 XMA XMB FALSE
Bacteroides_thetaiotaomicron_56941 XNA XNB FALSE
Bacteroides_thetaiotaomicron_56941 XPA XPB FALSE
Bacteroides_thetaiotaomicron_56941 XRA XRB FALSE
Bacteroides_thetaiotaomicron_56941 XUA XUB FALSE
Bacteroides_thetaiotaomicron_56941 YCA YCB TRUE
Bacteroides_thetaiotaomicron_56941 YEB YEC FALSE
Bacteroides_thetaiotaomicron_56941 ZAA ZAB FALSE
Bacteroides_uniformis_57318 XAA XAC FALSE
Bacteroides_uniformis_57318 XBA XBB FALSE
Bacteroides_uniformis_57318 XCA XCB FALSE
Bacteroides_uniformis_57318 XDA XDB FALSE
Bacteroides_uniformis_57318 XFA XFB TRUE
Bacteroides_uniformis_57318 XGA XGB TRUE
Bacteroides_uniformis_57318 XGA XGC TRUE
Bacteroides_uniformis_57318 XGB XGC TRUE
Bacteroides_uniformis_57318 XHB XHC FALSE
Bacteroides_uniformis_57318 XIA XIC FALSE
Bacteroides_uniformis_57318 XLA XLB TRUE
Bacteroides_uniformis_57318 XMA XMB FALSE
Bacteroides_uniformis_57318 XPA XPB FALSE
Bacteroides_uniformis_57318 XQA XQB FALSE
Bacteroides_uniformis_57318 XRA XRB FALSE
Bacteroides_uniformis_57318 YBA YBB TRUE
Bacteroides_uniformis_57318 YBA YBC TRUE
Bacteroides_uniformis_57318 YBB YBC TRUE
Bacteroides_uniformis_57318 YEB YEC FALSE
Bacteroides_uniformis_57318 ZAA ZAB FALSE
Bacteroides_uniformis_57318 ZDA ZDB FALSE
Bacteroides_uniformis_57318 ZEA ZEB FALSE
Bacteroides_uniformis_57318 ZEA ZEC FALSE
Bacteroides_uniformis_57318 ZEB ZEC FALSE
Bacteroides_vulgatus_57955 XAA XAC FALSE
Bacteroides_vulgatus_57955 XAA XAD FALSE
Bacteroides_vulgatus_57955 XAC XAD FALSE
Bacteroides_vulgatus_57955 XBA XBB TRUE
Bacteroides_vulgatus_57955 XEA XEB FALSE
Bacteroides_vulgatus_57955 XFA XFB TRUE
Bacteroides_vulgatus_57955 XGA XGB TRUE
Bacteroides_vulgatus_57955 XGA XGC TRUE
Bacteroides_vulgatus_57955 XGB XGC TRUE
Bacteroides_vulgatus_57955 XIA XIC FALSE
Bacteroides_vulgatus_57955 XIB XIC FALSE
Bacteroides_vulgatus_57955 XKA XKB TRUE
Bacteroides_vulgatus_57955 XLA XLB FALSE
Bacteroides_vulgatus_57955 XMA XMB FALSE
Bacteroides_vulgatus_57955 XOA XOB TRUE
Bacteroides_vulgatus_57955 XPA XPB TRUE
Bacteroides_vulgatus_57955 XQA XQB TRUE
Bacteroides_vulgatus_57955 XRA XRB TRUE
Bacteroides_vulgatus_57955 XSA XSB TRUE
Bacteroides_vulgatus_57955 XTA XTB FALSE
Bacteroides_vulgatus_57955 XVA XVB TRUE
Bacteroides_vulgatus_57955 YEA YEB FALSE
Bacteroides_vulgatus_57955 YEA YEC FALSE
Bacteroides_vulgatus_57955 YEB YEC FALSE
Bacteroides_vulgatus_57955 YFA YFC FALSE
Bacteroides_vulgatus_57955 ZAA ZAB FALSE
Bacteroides_vulgatus_57955 ZAA ZAC FALSE
Bacteroides_vulgatus_57955 ZAB ZAC FALSE
Bacteroides_vulgatus_57955 ZCA ZCB FALSE
Bacteroides_vulgatus_57955 ZDA ZDB TRUE
Bacteroides_vulgatus_57955 ZEA ZEB FALSE
Bacteroides_vulgatus_57955 ZEA ZEC FALSE
Bacteroides_vulgatus_57955 ZEB ZEC FALSE
Bacteroides_xylanisolvens_57185 XGB XGC FALSE
Bacteroides_xylanisolvens_57185 XHA XHC FALSE
Bacteroides_xylanisolvens_57185 XUA XUB FALSE
Bacteroides_xylanisolvens_57185 YBA YBB FALSE
Bacteroides_xylanisolvens_57185 YBA YBC FALSE
Bacteroides_xylanisolvens_57185 YBB YBC FALSE
Bacteroides_xylanisolvens_57185 ZDA ZDB FALSE
Barnesiella_intestinihominis_62208 XEA XEB FALSE
Barnesiella_intestinihominis_62208 XFA XFB FALSE
Barnesiella_intestinihominis_62208 XPA XPB FALSE
Barnesiella_intestinihominis_62208 YAB YAC TRUE
Barnesiella_intestinihominis_62208 YBA YBB FALSE
Barnesiella_intestinihominis_62208 ZAA ZAB FALSE
Barnesiella_intestinihominis_62208 ZCA ZCB TRUE
Bifidobacterium_adolescentis_56815 XNA XNB FALSE
Bifidobacterium_adolescentis_56815 XOA XOB FALSE
Bifidobacterium_adolescentis_56815 XSA XSB FALSE
Bifidobacterium_adolescentis_56815 YAB YAC FALSE
Bifidobacterium_adolescentis_56815 YAB YAD FALSE
Bifidobacterium_adolescentis_56815 YAC YAD TRUE
Bifidobacterium_adolescentis_56815 YEA YEB FALSE
Bifidobacterium_adolescentis_56815 ZCA ZCB TRUE
Bifidobacterium_adolescentis_56815 ZDA ZDB FALSE
