species sample1 sample2 subject1 subject2 hh1 hh2 keyTimepoint sharedStrainFishing
Akkermansia_muciniphila_55290 XDA-064 XDB-064 XDA XDB XD XD final TRUE
Akkermansia_muciniphila_55290 XEA-064 XEB-064 XEA XEB XE XE final FALSE
Akkermansia_muciniphila_55290 XLA-001 XLB-001 XLA XLB XL XL initial TRUE
Akkermansia_muciniphila_55290 XLA-036 XLB-036 XLA XLB XL XL post-abx TRUE
Akkermansia_muciniphila_55290 XQA-001 XQB-001 XQA XQB XQ XQ initial FALSE
Akkermansia_muciniphila_55290 XTA-001 XTB-001 XTA XTB XT XT initial FALSE
Akkermansia_muciniphila_55290 XTA-029 XTB-028 XTA XTB XT XT initial FALSE
Akkermansia_muciniphila_55290 XTA-029 XTB-028 XTA XTB XT XT pre-abx FALSE
Akkermansia_muciniphila_55290 XTA-064 XTB-065 XTA XTB XT XT final FALSE
Akkermansia_muciniphila_55290 XVA-001 XVB-001 XVA XVB XV XV initial FALSE
Akkermansia_muciniphila_55290 XVA-029 XVB-027 XVA XVB XV XV pre-abx FALSE
Akkermansia_muciniphila_55290 XVA-036 XVB-036 XVA XVB XV XV post-abx FALSE
Akkermansia_muciniphila_55290 XVA-064 XVB-064 XVA XVB XV XV final FALSE
Akkermansia_muciniphila_55290 YAC-001 YAD-001 YAC YAD YA YA initial FALSE
Akkermansia_muciniphila_55290 YBB-029 YBC-001 YBB YBC YB YB initial TRUE
Akkermansia_muciniphila_55290 YBB-029 YBC-001 YBB YBC YB YB pre-abx TRUE
Akkermansia_muciniphila_55290 ZCA-001 ZCB-001 ZCA ZCB ZC ZC initial TRUE
Alistipes_finegoldii_56071 XCA-001 XCB-001 XCA XCB XC XC initial TRUE
Alistipes_finegoldii_56071 XCA-029 XCB-029 XCA XCB XC XC pre-abx TRUE
Alistipes_finegoldii_56071 XCA-036 XCB-036 XCA XCB XC XC post-abx TRUE
Alistipes_finegoldii_56071 XCA-064 XCB-064 XCA XCB XC XC final TRUE
Alistipes_finegoldii_56071 XFA-001 XFB-001 XFA XFB XF XF initial FALSE
Alistipes_finegoldii_56071 XFA-029 XFB-029 XFA XFB XF XF pre-abx FALSE
Alistipes_finegoldii_56071 XLA-029 XLB-029 XLA XLB XL XL pre-abx TRUE
Alistipes_finegoldii_56071 XPA-002 XPB-008 XPA XPB XP XP initial FALSE
Alistipes_finegoldii_56071 YCA-001 YCB-001 YCA YCB YC YC initial TRUE
Alistipes_finegoldii_56071 ZAA-002 ZAB-002 ZAA ZAB ZA ZA initial FALSE
Alistipes_finegoldii_56071 ZCA-001 ZCB-001 ZCA ZCB ZC ZC initial TRUE
Alistipes_finegoldii_56071 ZDA-001 ZDB-001 ZDA ZDB ZD ZD initial FALSE
Alistipes_indistinctus_62207 XCA-029 XCB-029 XCA XCB XC XC pre-abx FALSE
Alistipes_onderdonkii_55464 XCA-001 XCB-001 XCA XCB XC XC initial TRUE
Alistipes_onderdonkii_55464 XCA-029 XCB-029 XCA XCB XC XC pre-abx TRUE
Alistipes_onderdonkii_55464 XCA-036 XCB-036 XCA XCB XC XC post-abx TRUE
Alistipes_onderdonkii_55464 XCA-064 XCB-064 XCA XCB XC XC final TRUE
Alistipes_onderdonkii_55464 XEA-064 XEB-064 XEA XEB XE XE final FALSE
Alistipes_onderdonkii_55464 XFA-001 XFB-001 XFA XFB XF XF initial FALSE
Alistipes_onderdonkii_55464 XFA-029 XFB-029 XFA XFB XF XF pre-abx TRUE
Alistipes_onderdonkii_55464 XGA-001 XGB-001 XGA XGB XG XG initial TRUE
Alistipes_onderdonkii_55464 XGA-001 XGC-001 XGA XGC XG XG initial FALSE
Alistipes_onderdonkii_55464 XGA-029 XGB-029 XGA XGB XG XG pre-abx TRUE
Alistipes_onderdonkii_55464 XGA-029 XGC-029 XGA XGC XG XG pre-abx FALSE
Alistipes_onderdonkii_55464 XGA-036 XGB-036 XGA XGB XG XG post-abx TRUE
Alistipes_onderdonkii_55464 XGA-036 XGC-037 XGA XGC XG XG post-abx FALSE
Alistipes_onderdonkii_55464 XGA-064 XGB-064 XGA XGB XG XG final TRUE
Alistipes_onderdonkii_55464 XGA-064 XGC-064 XGA XGC XG XG final FALSE
Alistipes_onderdonkii_55464 XGB-001 XGC-001 XGB XGC XG XG initial FALSE
Alistipes_onderdonkii_55464 XGB-029 XGC-029 XGB XGC XG XG pre-abx FALSE
Alistipes_onderdonkii_55464 XGB-036 XGC-037 XGB XGC XG XG post-abx FALSE
Alistipes_onderdonkii_55464 XGB-064 XGC-064 XGB XGC XG XG final FALSE
Alistipes_onderdonkii_55464 XHA-036 XHB-036 XHA XHB XH XH post-abx FALSE
Alistipes_onderdonkii_55464 XHA-064 XHB-064 XHA XHB XH XH final FALSE
Alistipes_onderdonkii_55464 XLA-029 XLB-029 XLA XLB XL XL pre-abx TRUE
Alistipes_onderdonkii_55464 XPA-029 XPB-028 XPA XPB XP XP pre-abx FALSE
Alistipes_onderdonkii_55464 YBA-004 YBB-029 YBA YBB YB YB initial TRUE
Alistipes_onderdonkii_55464 YBA-004 YBB-029 YBA YBB YB YB pre-abx TRUE
Alistipes_onderdonkii_55464 YBA-004 YBC-001 YBA YBC YB YB initial FALSE
Alistipes_onderdonkii_55464 YBB-029 YBC-001 YBB YBC YB YB initial FALSE
Alistipes_onderdonkii_55464 YBB-029 YBC-001 YBB YBC YB YB pre-abx FALSE
Alistipes_onderdonkii_55464 YEB-001 YEC-005 YEB YEC YE YE initial FALSE
Alistipes_onderdonkii_55464 ZCA-001 ZCB-001 ZCA ZCB ZC ZC initial TRUE
Alistipes_onderdonkii_55464 ZDA-001 ZDB-001 ZDA ZDB ZD ZD initial FALSE
Alistipes_onderdonkii_55464 ZEA-001 ZEC-001 ZEA ZEC ZE ZE initial FALSE
Alistipes_putredinis_61533 XCA-001 XCB-001 XCA XCB XC XC initial FALSE
Alistipes_putredinis_61533 XCA-029 XCB-029 XCA XCB XC XC pre-abx FALSE
Alistipes_putredinis_61533 XDA-001 XDB-001 XDA XDB XD XD initial FALSE
Alistipes_putredinis_61533 XDA-029 XDB-029 XDA XDB XD XD pre-abx FALSE
Alistipes_putredinis_61533 XEA-001 XEB-001 XEA XEB XE XE initial FALSE
Alistipes_putredinis_61533 XFA-001 XFB-001 XFA XFB XF XF initial TRUE
Alistipes_putredinis_61533 XFA-029 XFB-029 XFA XFB XF XF pre-abx TRUE
Alistipes_putredinis_61533 XFA-064 XFB-064 XFA XFB XF XF final TRUE
Alistipes_putredinis_61533 XGA-001 XGB-001 XGA XGB XG XG initial TRUE
Alistipes_putredinis_61533 XGA-001 XGC-001 XGA XGC XG XG initial FALSE
Alistipes_putredinis_61533 XGA-029 XGB-029 XGA XGB XG XG pre-abx TRUE
Alistipes_putredinis_61533 XGA-029 XGC-029 XGA XGC XG XG pre-abx FALSE
Alistipes_putredinis_61533 XGA-064 XGB-064 XGA XGB XG XG final TRUE
Alistipes_putredinis_61533 XGA-064 XGC-064 XGA XGC XG XG final FALSE
Alistipes_putredinis_61533 XGB-001 XGC-001 XGB XGC XG XG initial FALSE
Alistipes_putredinis_61533 XGB-029 XGC-029 XGB XGC XG XG pre-abx FALSE
Alistipes_putredinis_61533 XGB-036 XGC-037 XGB XGC XG XG post-abx FALSE
Alistipes_putredinis_61533 XGB-064 XGC-064 XGB XGC XG XG final FALSE
Alistipes_putredinis_61533 XIA-002 XIB-002 XIA XIB XI XI initial TRUE
Alistipes_putredinis_61533 XIA-002 XIC-008 XIA XIC XI XI initial FALSE
Alistipes_putredinis_61533 XIA-029 XIB-029 XIA XIB XI XI pre-abx TRUE
Alistipes_putredinis_61533 XIA-029 XIC-029 XIA XIC XI XI pre-abx FALSE
Alistipes_putredinis_61533 XIA-064 XIB-064 XIA XIB XI XI final TRUE
Alistipes_putredinis_61533 XIA-064 XIC-064 XIA XIC XI XI final FALSE
Alistipes_putredinis_61533 XIB-002 XIC-008 XIB XIC XI XI initial FALSE
Alistipes_putredinis_61533 XIB-029 XIC-029 XIB XIC XI XI pre-abx FALSE
Alistipes_putredinis_61533 XIB-036 XIC-036 XIB XIC XI XI post-abx FALSE
Alistipes_putredinis_61533 XIB-064 XIC-064 XIB XIC XI XI final FALSE
Alistipes_putredinis_61533 XLA-001 XLB-001 XLA XLB XL XL initial TRUE
Alistipes_putredinis_61533 XLA-029 XLB-029 XLA XLB XL XL pre-abx TRUE
Alistipes_putredinis_61533 XPA-002 XPB-008 XPA XPB XP XP initial FALSE
Alistipes_putredinis_61533 XPA-029 XPB-028 XPA XPB XP XP initial FALSE
Alistipes_putredinis_61533 XPA-029 XPB-028 XPA XPB XP XP pre-abx FALSE
Alistipes_putredinis_61533 XPA-036 XPB-036 XPA XPB XP XP post-abx FALSE
Alistipes_putredinis_61533 XPA-072 XPB-063 XPA XPB XP XP final FALSE
Alistipes_putredinis_61533 XQA-001 XQB-001 XQA XQB XQ XQ initial FALSE
Alistipes_putredinis_61533 XQA-029 XQB-029 XQA XQB XQ XQ pre-abx FALSE
Alistipes_putredinis_61533 XQA-064 XQB-064 XQA XQB XQ XQ final FALSE
Alistipes_putredinis_61533 XUA-001 XUB-001 XUA XUB XU XU initial FALSE
Alistipes_putredinis_61533 XUA-029 XUB-029 XUA XUB XU XU pre-abx FALSE
Alistipes_putredinis_61533 YBA-004 YBB-029 YBA YBB YB YB initial FALSE
Alistipes_putredinis_61533 YBA-004 YBB-029 YBA YBB YB YB pre-abx FALSE
Alistipes_putredinis_61533 YBA-004 YBC-001 YBA YBC YB YB initial FALSE
Alistipes_putredinis_61533 YBB-029 YBC-001 YBB YBC YB YB initial TRUE
Alistipes_putredinis_61533 YBB-029 YBC-001 YBB YBC YB YB pre-abx TRUE
Alistipes_putredinis_61533 YEA-004 YEB-001 YEA YEB YE YE initial FALSE
Alistipes_putredinis_61533 YEA-004 YEC-005 YEA YEC YE YE initial FALSE
Alistipes_putredinis_61533 YEB-001 YEC-005 YEB YEC YE YE initial FALSE
Alistipes_putredinis_61533 YFA-002 YFC-064 YFA YFC YF YF final TRUE
Alistipes_putredinis_61533 YFA-002 YFC-064 YFA YFC YF YF initial TRUE
Alistipes_putredinis_61533 ZAA-002 ZAC-263 ZAA ZAC ZA ZA final TRUE
Alistipes_putredinis_61533 ZAA-002 ZAC-263 ZAA ZAC ZA ZA initial TRUE
Alistipes_putredinis_61533 ZCA-001 ZCB-001 ZCA ZCB ZC ZC initial TRUE
Alistipes_putredinis_61533 ZEA-001 ZEC-001 ZEA ZEC ZE ZE initial FALSE
Alistipes_senegalensis_58364 XFA-029 XFB-029 XFA XFB XF XF pre-abx TRUE
Alistipes_senegalensis_58364 ZCA-001 ZCB-001 ZCA ZCB ZC ZC initial TRUE
Alistipes_shahii_62199 XCA-001 XCB-001 XCA XCB XC XC initial FALSE
Alistipes_shahii_62199 XCA-029 XCB-029 XCA XCB XC XC pre-abx FALSE
Alistipes_shahii_62199 XDA-001 XDB-001 XDA XDB XD XD initial FALSE
Alistipes_shahii_62199 XDA-029 XDB-029 XDA XDB XD XD pre-abx FALSE
Alistipes_shahii_62199 XFA-001 XFB-001 XFA XFB XF XF initial FALSE
Alistipes_shahii_62199 XIA-002 XIB-002 XIA XIB XI XI initial FALSE
Alistipes_shahii_62199 XIA-002 XIC-008 XIA XIC XI XI initial TRUE
Alistipes_shahii_62199 XIA-029 XIC-029 XIA XIC XI XI pre-abx TRUE
Alistipes_shahii_62199 XIB-002 XIC-008 XIB XIC XI XI initial FALSE
Alistipes_shahii_62199 XIB-036 XIC-036 XIB XIC XI XI post-abx FALSE
Alistipes_shahii_62199 XIB-064 XIC-064 XIB XIC XI XI final FALSE
Alistipes_shahii_62199 XNA-001 XNB-001 XNA XNB XN XN initial FALSE
Alistipes_shahii_62199 XNA-029 XNB-029 XNA XNB XN XN pre-abx FALSE
Alistipes_shahii_62199 XTA-001 XTB-001 XTA XTB XT XT initial FALSE
Alistipes_shahii_62199 XUA-001 XUB-001 XUA XUB XU XU initial FALSE
Alistipes_shahii_62199 YAB-001 YAC-001 YAB YAC YA YA initial FALSE
Alistipes_shahii_62199 YAB-001 YAD-001 YAB YAD YA YA initial FALSE
Alistipes_shahii_62199 YAC-001 YAD-001 YAC YAD YA YA initial FALSE
Alistipes_shahii_62199 ZCA-001 ZCB-001 ZCA ZCB ZC ZC initial TRUE
