species keyTimepoint shared n pctPopulations
Akkermansia_muciniphila_55290 final 0 3 0.75
Akkermansia_muciniphila_55290 final 1 1 0.25
Akkermansia_muciniphila_55290 initial 0 5 0.625
Akkermansia_muciniphila_55290 initial 1 3 0.375
Akkermansia_muciniphila_55290 post-abx 0 1 0.5
Akkermansia_muciniphila_55290 post-abx 1 1 0.5
Akkermansia_muciniphila_55290 pre-abx 0 2 0.666666666666667
Akkermansia_muciniphila_55290 pre-abx 1 1 0.333333333333333
Alistipes_finegoldii_56071 final 1 1 1
Alistipes_finegoldii_56071 initial 0 4 0.571428571428571
Alistipes_finegoldii_56071 initial 1 3 0.428571428571429
Alistipes_finegoldii_56071 post-abx 1 1 1
Alistipes_finegoldii_56071 pre-abx 0 1 0.333333333333333
Alistipes_finegoldii_56071 pre-abx 1 2 0.666666666666667
Alistipes_indistinctus_62207 pre-abx 0 1 1
Alistipes_onderdonkii_55464 final 0 4 0.666666666666667
Alistipes_onderdonkii_55464 final 1 2 0.333333333333333
Alistipes_onderdonkii_55464 initial 0 8 0.666666666666667
Alistipes_onderdonkii_55464 initial 1 4 0.333333333333333
Alistipes_onderdonkii_55464 post-abx 0 3 0.6
Alistipes_onderdonkii_55464 post-abx 1 2 0.4
Alistipes_onderdonkii_55464 pre-abx 0 4 0.444444444444444
Alistipes_onderdonkii_55464 pre-abx 0.5 1 0.111111111111111
Alistipes_onderdonkii_55464 pre-abx 1 4 0.444444444444444
Alistipes_putredinis_61533 final 0 6 0.545454545454545
Alistipes_putredinis_61533 final 1 5 0.454545454545455
Alistipes_putredinis_61533 initial 0 17 0.68
Alistipes_putredinis_61533 initial 0.5 1 0.04
Alistipes_putredinis_61533 initial 1 7 0.28
Alistipes_putredinis_61533 post-abx 0 3 1
Alistipes_putredinis_61533 pre-abx 0 10 0.666666666666667
Alistipes_putredinis_61533 pre-abx 0.5 1 0.0666666666666667
Alistipes_putredinis_61533 pre-abx 1 4 0.266666666666667
Alistipes_senegalensis_58364 initial 1 1 1
Alistipes_senegalensis_58364 pre-abx 1 1 1
Alistipes_shahii_62199 final 0 1 1
Alistipes_shahii_62199 initial 0 12 0.857142857142857
Alistipes_shahii_62199 initial 1 2 0.142857142857143
Alistipes_shahii_62199 post-abx 0 1 1
Alistipes_shahii_62199 pre-abx 0 3 0.75
Alistipes_shahii_62199 pre-abx 1 1 0.25
Anaerostipes_hadrus_55206 final 0 10 1
Anaerostipes_hadrus_55206 initial 0 18 0.947368421052632
Anaerostipes_hadrus_55206 initial 1 1 0.0526315789473684
Anaerostipes_hadrus_55206 post-abx 0 6 1
Anaerostipes_hadrus_55206 pre-abx 0 9 1
Bacteroidales_bacterium_58650 final 0 2 0.5
Bacteroidales_bacterium_58650 final 1 2 0.5
Bacteroidales_bacterium_58650 initial 0 4 1
Bacteroidales_bacterium_58650 pre-abx 0 2 0.5
Bacteroidales_bacterium_58650 pre-abx 1 2 0.5
Bacteroides_caccae_53434 final 0 2 0.333333333333333
Bacteroides_caccae_53434 final 1 4 0.666666666666667
Bacteroides_caccae_53434 initial 0 12 0.666666666666667
Bacteroides_caccae_53434 initial 1 6 0.333333333333333
Bacteroides_caccae_53434 post-abx 0 4 0.666666666666667
Bacteroides_caccae_53434 post-abx 1 2 0.333333333333333
Bacteroides_caccae_53434 pre-abx 0 7 0.777777777777778
Bacteroides_caccae_53434 pre-abx 1 2 0.222222222222222
Bacteroides_cellulosilyticus_58046 final 0 2 0.666666666666667
