subject timepoint strain species_id relative_abundance strainFreq strainRelativeAbundance
XBA 1 strain1 Bacteroides_faecis_58503 0.105326451232 0 0
XBA 1 strain2 Bacteroides_faecis_58503 0.105326451232 0.236 0.024857042490752
XBA 1 strain3 Bacteroides_faecis_58503 0.105326451232 0.764 0.080469408741248
XBA 1 strainUnknown Bacteroides_faecis_58503 0.105326451232 0 0
XBA 8 strain1 Bacteroides_faecis_58503 0.0642161046796 0 0
XBA 8 strain2 Bacteroides_faecis_58503 0.0642161046796 0.207 0.0132927336686772
XBA 8 strain3 Bacteroides_faecis_58503 0.0642161046796 0.793 0.0509233710109228
XBA 8 strainUnknown Bacteroides_faecis_58503 0.0642161046796 0 0
XBA 15 strain1 Bacteroides_faecis_58503 0.0491287079939 0 0
XBA 15 strain2 Bacteroides_faecis_58503 0.0491287079939 0.245 0.0120365334585055
XBA 15 strain3 Bacteroides_faecis_58503 0.0491287079939 0.755 0.0370921745353945
XBA 15 strainUnknown Bacteroides_faecis_58503 0.0491287079939 0 0
XBA 22 strain1 Bacteroides_faecis_58503 0.100694042894 0 0
XBA 22 strain2 Bacteroides_faecis_58503 0.100694042894 0.44 0.04430537887336
XBA 22 strain3 Bacteroides_faecis_58503 0.100694042894 0.56 0.05638866402064
XBA 22 strainUnknown Bacteroides_faecis_58503 0.100694042894 0 0
XBA 23 strain1 Bacteroides_faecis_58503 0.0867622268918 0 0
XBA 23 strain2 Bacteroides_faecis_58503 0.0867622268918 0.143 0.0124069984455274
XBA 23 strain3 Bacteroides_faecis_58503 0.0867622268918 0.857 0.0743552284462726
XBA 23 strainUnknown Bacteroides_faecis_58503 0.0867622268918 0 0
XBA 24 strain1 Bacteroides_faecis_58503 0.0960335821364 0 0
XBA 24 strain2 Bacteroides_faecis_58503 0.0960335821364 0.355 0.034091921658422
XBA 24 strain3 Bacteroides_faecis_58503 0.0960335821364 0.645 0.061941660477978
XBA 24 strainUnknown Bacteroides_faecis_58503 0.0960335821364 0 0
XBA 25 strain1 Bacteroides_faecis_58503 0.0737214747829 0 0
XBA 25 strain2 Bacteroides_faecis_58503 0.0737214747829 0.444 0.0327323348036076
XBA 25 strain3 Bacteroides_faecis_58503 0.0737214747829 0.556 0.0409891399792924
XBA 25 strainUnknown Bacteroides_faecis_58503 0.0737214747829 0 0
XBA 26 strain1 Bacteroides_faecis_58503 0.0764245748181 0 0
XBA 26 strain2 Bacteroides_faecis_58503 0.0764245748181 0.56 0.042797761898136
XBA 26 strain3 Bacteroides_faecis_58503 0.0764245748181 0.44 0.033626812919964
XBA 26 strainUnknown Bacteroides_faecis_58503 0.0764245748181 0 0
XBA 27 strain1 Bacteroides_faecis_58503 0.0898990534643 0 0
XBA 27 strain2 Bacteroides_faecis_58503 0.0898990534643 0.36 0.032363659247148
