subject timepoint strain species_id relative_abundance strainFreq strainRelativeAbundance
XBA 1 strain1 Bacteroides_uniformis_57318 0.0199705952897 1 0.0199705952897
XBA 1 strain2 Bacteroides_uniformis_57318 0.0199705952897 0 0
XBA 1 strainUnknown Bacteroides_uniformis_57318 0.0199705952897 0 0
XBA 8 strain1 Bacteroides_uniformis_57318 0.0818391850576 1 0.0818391850576
XBA 8 strain2 Bacteroides_uniformis_57318 0.0818391850576 0 0
XBA 8 strainUnknown Bacteroides_uniformis_57318 0.0818391850576 0 0
XBA 15 strain1 Bacteroides_uniformis_57318 0.0366370745592 1 0.0366370745592
XBA 15 strain2 Bacteroides_uniformis_57318 0.0366370745592 0 0
XBA 15 strainUnknown Bacteroides_uniformis_57318 0.0366370745592 0 0
XBA 22 strain1 Bacteroides_uniformis_57318 0.0098648451418 0 0
XBA 22 strain2 Bacteroides_uniformis_57318 0.0098648451418 0 0
XBA 22 strainUnknown Bacteroides_uniformis_57318 0.0098648451418 0 0.0098648451418
XBA 23 strain1 Bacteroides_uniformis_57318 0.0192211468885 0 0
XBA 23 strain2 Bacteroides_uniformis_57318 0.0192211468885 0 0
XBA 23 strainUnknown Bacteroides_uniformis_57318 0.0192211468885 0 0.0192211468885
XBA 24 strain1 Bacteroides_uniformis_57318 0.0228923648052 1 0.0228923648052
XBA 24 strain2 Bacteroides_uniformis_57318 0.0228923648052 0 0
XBA 24 strainUnknown Bacteroides_uniformis_57318 0.0228923648052 0 0
XBA 25 strain1 Bacteroides_uniformis_57318 0.0318826901393 1 0.0318826901393
XBA 25 strain2 Bacteroides_uniformis_57318 0.0318826901393 0 0
XBA 25 strainUnknown Bacteroides_uniformis_57318 0.0318826901393 0 0
XBA 26 strain1 Bacteroides_uniformis_57318 0.0315094923058 1 0.0315094923058
XBA 26 strain2 Bacteroides_uniformis_57318 0.0315094923058 0 0
XBA 26 strainUnknown Bacteroides_uniformis_57318 0.0315094923058 0 0
XBA 27 strain1 Bacteroides_uniformis_57318 0.0255563568011 1 0.0255563568011
XBA 27 strain2 Bacteroides_uniformis_57318 0.0255563568011 0 0
XBA 27 strainUnknown Bacteroides_uniformis_57318 0.0255563568011 0 0
XBA 28 strain1 Bacteroides_uniformis_57318 0.0452436455799 1 0.0452436455799
XBA 28 strain2 Bacteroides_uniformis_57318 0.0452436455799 0 0
XBA 28 strainUnknown Bacteroides_uniformis_57318 0.0452436455799 0 0
XBA 29 strain1 Bacteroides_uniformis_57318 0.0444640589667 1 0.0444640589667
XBA 29 strain2 Bacteroides_uniformis_57318 0.0444640589667 0 0
XBA 29 strainUnknown Bacteroides_uniformis_57318 0.0444640589667 0 0
XBA 30 strain1 Bacteroides_uniformis_57318 0.0575759479794 1 0.0575759479794
XBA 30 strain2 Bacteroides_uniformis_57318 0.0575759479794 0 0
XBA 30 strainUnknown Bacteroides_uniformis_57318 0.0575759479794 0 0
XBA 36 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 36 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 36 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 37 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 37 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 37 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 39 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 39 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 39 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 40 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 40 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 40 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 41 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 41 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 41 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 42 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 42 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 42 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 44 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 44 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 44 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 45 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 45 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 45 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 46 strain1 Bacteroides_uniformis_57318 7.18107000091e-06 0 0
XBA 46 strain2 Bacteroides_uniformis_57318 7.18107000091e-06 0 0
XBA 46 strainUnknown Bacteroides_uniformis_57318 7.18107000091e-06 0 7.18107000091e-06
XBA 47 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 47 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 47 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 48 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 48 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 48 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 49 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 49 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 49 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 50 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 50 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 50 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 53 strain1 Bacteroides_uniformis_57318 0.000785910154463 0 0
XBA 53 strain2 Bacteroides_uniformis_57318 0.000785910154463 0 0
XBA 53 strainUnknown Bacteroides_uniformis_57318 0.000785910154463 0 0.000785910154463
XBA 58 strain1 Bacteroides_uniformis_57318 0.0280229222043 1 0.0280229222043
XBA 58 strain2 Bacteroides_uniformis_57318 0.0280229222043 0 0
XBA 58 strainUnknown Bacteroides_uniformis_57318 0.0280229222043 0 0
XBA 64 strain1 Bacteroides_uniformis_57318 0.000342026756486 0 0
XBA 64 strain2 Bacteroides_uniformis_57318 0.000342026756486 0 0
XBA 64 strainUnknown Bacteroides_uniformis_57318 0.000342026756486 0 0.000342026756486
XBA 106 strain1 Bacteroides_uniformis_57318 0.000144812438277 0 0
XBA 106 strain2 Bacteroides_uniformis_57318 0.000144812438277 0 0
XBA 106 strainUnknown Bacteroides_uniformis_57318 0.000144812438277 0 0.000144812438277
XBA 134 strain1 Bacteroides_uniformis_57318 0.0020695440777 0 0
XBA 134 strain2 Bacteroides_uniformis_57318 0.0020695440777 0 0
XBA 134 strainUnknown Bacteroides_uniformis_57318 0.0020695440777 0 0.0020695440777
XBA 171 strain1 Bacteroides_uniformis_57318 0.00150515749913 0 0
XBA 171 strain2 Bacteroides_uniformis_57318 0.00150515749913 0 0
XBA 171 strainUnknown Bacteroides_uniformis_57318 0.00150515749913 0 0.00150515749913
XBA 240 strain1 Bacteroides_uniformis_57318 2.07003460985e-05 0 0
XBA 240 strain2 Bacteroides_uniformis_57318 2.07003460985e-05 0 0
XBA 240 strainUnknown Bacteroides_uniformis_57318 2.07003460985e-05 0 2.07003460985e-05
XBA 272 strain1 Bacteroides_uniformis_57318 4.4058074135e-05 0 0
XBA 272 strain2 Bacteroides_uniformis_57318 4.4058074135e-05 0 0
XBA 272 strainUnknown Bacteroides_uniformis_57318 4.4058074135e-05 0 4.4058074135e-05
XBA 303 strain1 Bacteroides_uniformis_57318 8.52801883279e-05 0 0
XBA 303 strain2 Bacteroides_uniformis_57318 8.52801883279e-05 0 0
XBA 303 strainUnknown Bacteroides_uniformis_57318 8.52801883279e-05 0 8.52801883279e-05
XBA 330 strain1 Bacteroides_uniformis_57318 0.00817460587894 1 0.00817460587894
XBA 330 strain2 Bacteroides_uniformis_57318 0.00817460587894 0 0
XBA 330 strainUnknown Bacteroides_uniformis_57318 0.00817460587894 0 0
XBA 351 strain1 Bacteroides_uniformis_57318 0.00144802901113 0 0
XBA 351 strain2 Bacteroides_uniformis_57318 0.00144802901113 0 0
XBA 351 strainUnknown Bacteroides_uniformis_57318 0.00144802901113 0 0.00144802901113
XBA 358 strain1 Bacteroides_uniformis_57318 0.000811772207275 0 0
XBA 358 strain2 Bacteroides_uniformis_57318 0.000811772207275 0 0
XBA 358 strainUnknown Bacteroides_uniformis_57318 0.000811772207275 0 0.000811772207275
XBA 364 strain1 Bacteroides_uniformis_57318 8.63162495383e-05 0 0
XBA 364 strain2 Bacteroides_uniformis_57318 8.63162495383e-05 0 0
XBA 364 strainUnknown Bacteroides_uniformis_57318 8.63162495383e-05 0 8.63162495383e-05
XBA 374 strain1 Bacteroides_uniformis_57318 8.03764527283e-05 0 0
XBA 374 strain2 Bacteroides_uniformis_57318 8.03764527283e-05 0 0
XBA 374 strainUnknown Bacteroides_uniformis_57318 8.03764527283e-05 0 8.03764527283e-05
XBA 380 strain1 Bacteroides_uniformis_57318 8.55519180936e-05 0 0
XBA 380 strain2 Bacteroides_uniformis_57318 8.55519180936e-05 0 0
XBA 380 strainUnknown Bacteroides_uniformis_57318 8.55519180936e-05 0 8.55519180936e-05
XBA 388 strain1 Bacteroides_uniformis_57318 0.0151428401455 0 0
XBA 388 strain2 Bacteroides_uniformis_57318 0.0151428401455 0 0
XBA 388 strainUnknown Bacteroides_uniformis_57318 0.0151428401455 0 0.0151428401455
XBA 401 strain1 Bacteroides_uniformis_57318 0.000686306004407 0 0
XBA 401 strain2 Bacteroides_uniformis_57318 0.000686306004407 0 0
XBA 401 strainUnknown Bacteroides_uniformis_57318 0.000686306004407 0 0.000686306004407
XBA 408 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 408 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 408 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 415 strain1 Bacteroides_uniformis_57318 0 0 0
XBA 415 strain2 Bacteroides_uniformis_57318 0 0 0
XBA 415 strainUnknown Bacteroides_uniformis_57318 0 0 0
XBA 422 strain1 Bacteroides_uniformis_57318 0.000626474701323 0 0
XBA 422 strain2 Bacteroides_uniformis_57318 0.000626474701323 0 0
XBA 422 strainUnknown Bacteroides_uniformis_57318 0.000626474701323 0 0.000626474701323
XBA 430 strain1 Bacteroides_uniformis_57318 0.0270502464149 1 0.0270502464149
XBA 430 strain2 Bacteroides_uniformis_57318 0.0270502464149 0 0
XBA 430 strainUnknown Bacteroides_uniformis_57318 0.0270502464149 0 0
XBA 436 strain1 Bacteroides_uniformis_57318 0.103227985832 1 0.103227985832
XBA 436 strain2 Bacteroides_uniformis_57318 0.103227985832 0 0
XBA 436 strainUnknown Bacteroides_uniformis_57318 0.103227985832 0 0
