sample annotationSample annotation numSpecies totRelAbundance
XAA-002 XAA-002 speciesNotShared 69 0.0127257610397546
XAA-002 XAA-002 strainsUnknown 30 0.98727423896087
XAA-002 XAC-002 speciesNotShared 66 0.233605211997446
XAA-002 XAC-002 strainsNotShared 8 0.5105337099312
XAA-002 XAC-002 strainsShared 1 0.023905773352
XAA-002 XAC-002 strainsUnknown 24 0.231955304719978
XAA-002 XAD-003 speciesNotShared 73 0.537050936763704
XAA-002 XAD-003 strainsNotShared 8 0.38059580497505
XAA-002 XAD-003 strainsUnknown 18 0.0823532582618708
XAA-002 XBA-001 speciesNotShared 72 0.240172129220616
XAA-002 XBA-001 strainsNotShared 15 0.63367842286446
XAA-002 XBA-001 strainsUnknown 12 0.126149447915548
XAA-002 XBB-001 speciesNotShared 67 0.217132863360857
XAA-002 XBB-001 strainsNotShared 13 0.58460013351995
XAA-002 XBB-001 strainsUnknown 19 0.198267003119818
XAA-002 XCA-001 speciesNotShared 67 0.12391229168667
XAA-002 XCA-001 strainsNotShared 14 0.74397871386209
XAA-002 XCA-001 strainsUnknown 18 0.132108994451865
XAA-002 XCB-001 speciesNotShared 71 0.156610599927414
XAA-002 XCB-001 strainsNotShared 9 0.70154583588062
XAA-002 XCB-001 strainsUnknown 19 0.14184356419259
XAA-002 XDA-001 speciesNotShared 69 0.322447250651696
XAA-002 XDA-001 strainsNotShared 10 0.54092989908641
XAA-002 XDA-001 strainsUnknown 20 0.136622850262519
XAA-002 XDB-001 speciesNotShared 66 0.274165002138918
XAA-002 XDB-001 strainsNotShared 9 0.57118057845981
XAA-002 XDB-001 strainsUnknown 24 0.154654419401897
XAA-002 XEA-001 speciesNotShared 67 0.246324727799774
XAA-002 XEA-001 strainsNotShared 6 0.51330969044107
XAA-002 XEA-001 strainsUnknown 26 0.240365581759781
XAA-002 XEB-001 speciesNotShared 70 0.094860861845134
XAA-002 XEB-001 strainsNotShared 12 0.76462429695155
XAA-002 XEB-001 strainsUnknown 17 0.140514841203941
XAA-002 XFA-001 speciesNotShared 60 0.128178341512336
XAA-002 XFA-001 strainsNotShared 15 0.71303468820918
XAA-002 XFA-001 strainsUnknown 24 0.158786970279108
XAA-002 XFB-001 speciesNotShared 62 0.147135071875893
XAA-002 XFB-001 strainsNotShared 12 0.70785904965935
XAA-002 XFB-001 strainsUnknown 25 0.145005878465382
XAA-002 XGA-001 speciesNotShared 69 0.115525275569269
XAA-002 XGA-001 strainsNotShared 9 0.7318714535572
XAA-002 XGA-001 strainsUnknown 21 0.152603270874156
XAA-002 XGB-001 speciesNotShared 80 0.117163424554393
XAA-002 XGB-001 strainsNotShared 9 0.73233181431258
XAA-002 XGB-001 strainsUnknown 10 0.150504761133652
XAA-002 XGC-001 speciesNotShared 64 0.0635063353473063
XAA-002 XGC-001 strainsNotShared 12 0.75169394409428
XAA-002 XGC-001 strainsUnknown 23 0.184799720559038
XAA-002 XHA-003 speciesNotShared 74 0.179365757181233
XAA-002 XHA-003 strainsNotShared 5 0.51723201932084
XAA-002 XHA-003 strainsShared 2 0.0770564970674
XAA-002 XHA-003 strainsUnknown 18 0.226345726431152
XAA-002 XHB-001 speciesNotShared 73 0.314409167142181
XAA-002 XHB-001 strainsNotShared 5 0.55943419616364
XAA-002 XHB-001 strainsUnknown 21 0.126156636694804
XAA-002 XHC-001 speciesNotShared 64 0.292687873598707
XAA-002 XHC-001 strainsNotShared 14 0.56069050269217
XAA-002 XHC-001 strainsUnknown 21 0.146621623709748
XAA-002 XIA-002 speciesNotShared 65 0.309994450162368
XAA-002 XIA-002 strainsNotShared 8 0.5388924438182
XAA-002 XIA-002 strainsUnknown 26 0.151113106020057
XAA-002 XIB-002 speciesNotShared 71 0.1960902070182
XAA-002 XIB-002 strainsNotShared 7 0.4293967788757
XAA-002 XIB-002 strainsUnknown 21 0.374513014106724
XAA-002 XIC-008 speciesNotShared 67 0.0532619913702777
XAA-002 XIC-008 strainsNotShared 13 0.65043027280419
XAA-002 XIC-008 strainsUnknown 19 0.296307735826157
XAA-002 XJA-001 speciesNotShared 79 0.512448313790925
XAA-002 XJA-001 strainsNotShared 1 0.0370416184826
XAA-002 XJA-001 strainsUnknown 19 0.4505100677271
XAA-002 XJB-001 speciesNotShared 84 0.464812786758525
XAA-002 XJB-001 strainsNotShared 8 0.48856074657379
XAA-002 XJB-001 strainsUnknown 7 0.0466264666683096
XAA-002 XKA-001 speciesNotShared 74 0.407543777923979
XAA-002 XKA-001 strainsNotShared 7 0.41801600186596
XAA-002 XKA-001 strainsUnknown 18 0.174440220210686
XAA-002 XKB-001 speciesNotShared 74 0.252879072917892
XAA-002 XKB-001 strainsNotShared 14 0.55912988359835
XAA-002 XKB-001 strainsUnknown 11 0.187991043484382
XAA-002 XLA-001 speciesNotShared 73 0.186016420920374
XAA-002 XLA-001 strainsNotShared 11 0.52690448821734
XAA-002 XLA-001 strainsUnknown 15 0.287079090862911
XAA-002 XLB-001 speciesNotShared 69 0.122078659201979
XAA-002 XLB-001 strainsNotShared 11 0.68056104567488
XAA-002 XLB-001 strainsUnknown 19 0.197360295123765
XAA-002 XMA-001 speciesNotShared 69 0.239613383037367
XAA-002 XMA-001 strainsNotShared 10 0.55630791968495
XAA-002 XMA-001 strainsShared 1 0.00609940317215
XAA-002 XMA-001 strainsUnknown 19 0.197979294106157
XAA-002 XMB-001 speciesNotShared 66 0.237921367499768
XAA-002 XMB-001 strainsNotShared 9 0.58808146113331
XAA-002 XMB-001 strainsUnknown 24 0.173997171367547
XAA-002 XNA-001 speciesNotShared 61 0.0625398441780757
XAA-002 XNA-001 strainsNotShared 14 0.79179752708917
XAA-002 XNA-001 strainsUnknown 24 0.145662628733379
XAA-002 XNB-001 speciesNotShared 73 0.424909409157407
XAA-002 XNB-001 strainsNotShared 8 0.45665965733824
XAA-002 XNB-001 strainsUnknown 18 0.118430933504977
XAA-002 XOA-001 speciesNotShared 83 0.468388586826457
XAA-002 XOA-001 strainsNotShared 7 0.41766452943241
XAA-002 XOA-001 strainsUnknown 9 0.113946883741758
XAA-002 XOB-001 speciesNotShared 61 0.0826075499320605
XAA-002 XOB-001 strainsNotShared 15 0.70389638289113
XAA-002 XOB-001 strainsUnknown 23 0.213496067177434
XAA-002 XPA-002 speciesNotShared 67 0.175652504201713
XAA-002 XPA-002 strainsNotShared 13 0.69346126080656
XAA-002 XPA-002 strainsUnknown 19 0.130886234992351
XAA-002 XPB-008 speciesNotShared 65 0.0850128328315035
XAA-002 XPB-008 strainsNotShared 7 0.49797099715977
XAA-002 XPB-008 strainsShared 1 0.00579912329436
XAA-002 XPB-008 strainsUnknown 26 0.411217046714991
XAA-002 XQA-001 speciesNotShared 61 0.0246767752711847
XAA-002 XQA-001 strainsNotShared 19 0.83926741266661
XAA-002 XQA-001 strainsUnknown 19 0.13605581206283
XAA-002 XQB-001 speciesNotShared 66 0.236306217106807
XAA-002 XQB-001 strainsNotShared 13 0.60908162070396
XAA-002 XQB-001 strainsUnknown 20 0.154612162189858
XAA-002 XRA-001 speciesNotShared 66 0.248049880665158
XAA-002 XRA-001 strainsNotShared 14 0.54462745060777
XAA-002 XRA-001 strainsUnknown 19 0.207322668727697
XAA-002 XRB-002 speciesNotShared 74 0.344407542743974
XAA-002 XRB-002 strainsNotShared 7 0.51574238323572
XAA-002 XRB-002 strainsUnknown 18 0.13985007402093
XAA-002 XSA-001 speciesNotShared 78 0.404999786485881
XAA-002 XSA-001 strainsNotShared 10 0.44673983405582
XAA-002 XSA-001 strainsUnknown 11 0.148260379458924
XAA-002 XSB-001 speciesNotShared 67 0.301668530367843
XAA-002 XSB-001 strainsNotShared 12 0.53595911200378
XAA-002 XSB-001 strainsUnknown 20 0.162372357629002
XAA-002 XTA-001 speciesNotShared 66 0.302393516459354
XAA-002 XTA-001 strainsNotShared 8 0.52840281301372
XAA-002 XTA-001 strainsUnknown 25 0.169203670527551
XAA-002 XTB-001 speciesNotShared 57 0.0756371632023702
XAA-002 XTB-001 strainsNotShared 10 0.58161371031291
XAA-002 XTB-001 strainsUnknown 32 0.342749126485344
