subject	timepoint	sample
XAA	2	XAA-002
XAA	3	XAA-003
XAA	4	XAA-004
XAA	5	XAA-005
XAA	6	XAA-006
XAA	7	XAA-007
XAA	9	XAA-009
XAA	10	XAA-010
XAA	14	XAA-014
XAA	21	XAA-021
XAA	22	XAA-022
XAA	23	XAA-023
XAA	24	XAA-024
XAA	26	XAA-026
XAA	27	XAA-027
XAA	28	XAA-028
XAA	29	XAA-029
XAA	30	XAA-030
XAA	31	XAA-031
XAA	33	XAA-033
XAA	34	XAA-034
XAA	35	XAA-035
XAA	36	XAA-036
XAA	37	XAA-037
XAA	39	XAA-039
XAA	42	XAA-042
XAA	50	XAA-050
XAA	57	XAA-057
XAA	64	XAA-064
XAA	225	XAA-225
XAA	281	XAA-281
XAA	454	XAA-454
XAA	488	XAA-488
XAA	522	XAA-522
XAA	555	XAA-555
XAA	590	XAA-590
XAA	623	XAA-623
XAA	652	XAA-652
XAC	2	XAC-002
XAC	3	XAC-003
XAC	4	XAC-004
XAC	5	XAC-005
XAC	6	XAC-006
XAC	7	XAC-007
XAC	8	XAC-008
XAC	9	XAC-009
XAC	10	XAC-010
XAC	14	XAC-014
XAC	21	XAC-021
XAC	22	XAC-022
XAC	23	XAC-023
XAC	24	XAC-024
XAC	25	XAC-025
XAC	26	XAC-026
XAC	27	XAC-027
XAC	28	XAC-028
XAC	29	XAC-029
XAC	30	XAC-030
XAC	31	XAC-031
XAC	32	XAC-032
XAC	33	XAC-033
XAC	34	XAC-034
XAC	35	XAC-035
XAC	36	XAC-036
XAC	37	XAC-037
XAC	38	XAC-038
XAC	39	XAC-039
XAC	42	XAC-042
XAC	49	XAC-049
XAC	56	XAC-056
XAC	64	XAC-064
XAC	224	XAC-224
XAD	2	XAD-002
XAD	3	XAD-003
XAD	4	XAD-004
XAD	5	XAD-005
XAD	6	XAD-006
XAD	7	XAD-007
XAD	8	XAD-008
XAD	9	XAD-009
XAD	10	XAD-010
XAD	14	XAD-014
XAD	15	XAD-015
XAD	21	XAD-021
XAD	22	XAD-022
XAD	23	XAD-023
XAD	24	XAD-024
XAD	25	XAD-025
XAD	26	XAD-026
XAD	27	XAD-027
XAD	28	XAD-028
XAD	29	XAD-029
XAD	30	XAD-030
XAD	31	XAD-031
XAD	32	XAD-032
XAD	33	XAD-033
XAD	34	XAD-034
XAD	35	XAD-035
XAD	36	XAD-036
XAD	37	XAD-037
XAD	38	XAD-038
XAD	39	XAD-039
XAD	42	XAD-042
XAD	49	XAD-049
XAD	56	XAD-056
XAD	63	XAD-063
XAD	225	XAD-225
XBA	1	XBA-001
XBA	2	XBA-002
XBA	3	XBA-003
XBA	4	XBA-004
XBA	5	XBA-005
XBA	7	XBA-007
XBA	8	XBA-008
XBA	9	XBA-009
XBA	10	XBA-010
XBA	11	XBA-011
XBA	12	XBA-012
XBA	13	XBA-013
XBA	15	XBA-015
XBA	16	XBA-016
XBA	17	XBA-017
XBA	18	XBA-018
XBA	19	XBA-019
XBA	20	XBA-020
XBA	21	XBA-021
XBA	22	XBA-022
XBA	23	XBA-023
XBA	24	XBA-024
XBA	25	XBA-025
XBA	26	XBA-026
XBA	27	XBA-027
XBA	28	XBA-028
XBA	29	XBA-029
XBA	30	XBA-030
XBA	31	XBA-031
XBA	33	XBA-033
XBA	34	XBA-034
XBA	35	XBA-035
XBA	36	XBA-036
XBA	37	XBA-037
XBA	38	XBA-038
XBA	39	XBA-039
XBA	40	XBA-040
XBA	41	XBA-041
XBA	42	XBA-042
XBA	44	XBA-044
XBA	45	XBA-045
XBA	46	XBA-046
XBA	47	XBA-047
XBA	48	XBA-048
XBA	49	XBA-049
XBA	50	XBA-050
XBA	51	XBA-051
XBA	53	XBA-053
XBA	54	XBA-054
XBA	55	XBA-055
XBA	56	XBA-056
XBA	58	XBA-058
XBA	59	XBA-059
XBA	60	XBA-060
XBA	61	XBA-061
XBA	62	XBA-062
XBA	63	XBA-063
XBA	64	XBA-064
XBA	65	XBA-065
XBA	66	XBA-066
XBA	67	XBA-067
XBA	68	XBA-068
XBA	69	XBA-069
XBA	70	XBA-070
XBA	71	XBA-071
XBA	72	XBA-072
XBA	74	XBA-074
XBA	75	XBA-075
XBA	76	XBA-076
XBA	79	XBA-079
XBA	80	XBA-080
XBA	81	XBA-081
XBA	83	XBA-083
XBA	84	XBA-084
XBA	85	XBA-085
XBA	86	XBA-086
XBA	87	XBA-087
XBA	88	XBA-088
XBA	89	XBA-089
XBA	90	XBA-090
XBA	91	XBA-091
XBA	92	XBA-092
XBA	93	XBA-093
XBA	94	XBA-094
XBA	95	XBA-095
XBA	96	XBA-096
XBA	97	XBA-097
XBA	98	XBA-098
XBA	99	XBA-099
XBA	100	XBA-100
XBA	101	XBA-101
XBA	102	XBA-102
XBA	103	XBA-103
XBA	105	XBA-105
XBA	106	XBA-106
XBA	107	XBA-107
XBA	108	XBA-108
XBA	109	XBA-109
XBA	110	XBA-110
XBA	111	XBA-111
XBA	114	XBA-114
XBA	115	XBA-115
XBA	116	XBA-116
XBA	118	XBA-118
XBA	119	XBA-119
XBA	120	XBA-120
XBA	121	XBA-121
XBA	122	XBA-122
XBA	123	XBA-123
XBA	124	XBA-124
XBA	125	XBA-125
XBA	126	XBA-126
XBA	128	XBA-128
XBA	129	XBA-129
XBA	130	XBA-130
XBA	131	XBA-131
XBA	133	XBA-133
XBA	134	XBA-134
XBA	135	XBA-135
XBA	136	XBA-136
XBA	138	XBA-138
XBA	141	XBA-141
XBA	145	XBA-145
XBA	148	XBA-148
XBA	152	XBA-152
XBA	156	XBA-156
XBA	159	XBA-159
XBA	162	XBA-162
XBA	166	XBA-166
XBA	171	XBA-171
XBA	173	XBA-173
XBA	177	XBA-177
XBA	180	XBA-180
XBA	183	XBA-183
XBA	187	XBA-187
XBA	190	XBA-190
XBA	194	XBA-194
XBA	197	XBA-197
XBA	202	XBA-202
XBA	204	XBA-204
XBA	208	XBA-208
XBA	211	XBA-211
XBA	213	XBA-213
XBA	215	XBA-215
XBA	219	XBA-219
XBA	222	XBA-222
XBA	225	XBA-225
XBA	229	XBA-229
XBA	235	XBA-235
XBA	240	XBA-240
XBA	243	XBA-243
XBA	247	XBA-247
XBA	250	XBA-250
XBA	253	XBA-253
XBA	257	XBA-257
XBA	261	XBA-261
XBA	264	XBA-264
XBA	267	XBA-267
XBA	272	XBA-272
XBA	275	XBA-275
XBA	280	XBA-280
XBA	289	XBA-289
XBA	296	XBA-296
XBA	303	XBA-303
XBA	309	XBA-309
XBA	316	XBA-316
XBA	325	XBA-325
XBA	330	XBA-330
