species_id	genome_id	genome_name	taxon_id	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names
Anaerovibrio_lipolyticus_60416	1408423.3	Anaerovibrio lipolyticus LB2005	1408423	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaerovibrio	Anaerovibrio lipolyticus	131567;2;1239;909932;909929;31977;82373;82374;1408423	cellular organisms;Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Anaerovibrio;Anaerovibrio lipolyticus;Anaerovibrio lipolyticus LB2005
Bacillus_bogoriensis_60417	1408424.3	Bacillus bogoriensis ATCC BAA-922	1408424	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus bogoriensis	131567;2;1239;91061;1385;186817;1386;246272;1408424	cellular organisms;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus bogoriensis;Bacillus bogoriensis ATCC BAA-922
Akkermansia_muciniphila_55290	349741.6	Akkermansia muciniphila ATCC BAA-835	349741	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	Akkermansia muciniphila	131567;2;51290;74201;203494;48461;203557;239934;239935;349741	cellular organisms;Bacteria;Chlamydiae/Verrucomicrobia group;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia;Akkermansia muciniphila;Akkermansia muciniphila ATCC BAA-835
Moorella_thermoacetica_55298	264732.11	Moorella thermoacetica ATCC 39073	264732	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Moorella	Moorella thermoacetica	131567;2;1239;186801;68295;186814;42857;44260;1525;264732	cellular organisms;Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae;Moorella group;Moorella;Moorella thermoacetica;Moorella thermoacetica ATCC 39073
Marine_actinobacterium_61178	312284.4	marine actinobacterium PHSC20C1	312284	Bacteria	Actinobacteria	Actinobacteria				marine actinobacterium PHSC20C1	131567;2;201174;1760;52018;78537;312284	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;unclassified Actinobacteria;unclassified Actinobacteria (miscellaneous);marine actinobacterium PHSC20C1
Janibacter_sp_61179	313589.5	Janibacter sp. HTCC2649	313589	Bacteria	Actinobacteria	Actinobacteridae	Micrococcineae	Intrasporangiaceae	Janibacter	Janibacter sp. HTCC2649	131567;2;201174;1760;85003;2037;85006;85021;53457;313589	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Intrasporangiaceae;Janibacter;Janibacter sp. HTCC2649
Tepidimonas_taiwanensis_61170	307486.5	Tepidimonas taiwanensis VT154-175	307486	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales		Tepidimonas	Tepidimonas taiwanensis	131567;2;1224;28216;80840;119065;224471;114248;307486	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;Burkholderiales Genera incertae sedis;Tepidimonas;Tepidimonas taiwanensis
Coprothermobacter_proteolyticus_61171	309798.4	Coprothermobacter proteolyticus DSM 5265	309798	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermodesulfobiaceae	Coprothermobacter	Coprothermobacter proteolyticus	131567;2;1239;186801;68295;227387;68335;35786;309798	cellular organisms;Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermodesulfobiaceae;Coprothermobacter;Coprothermobacter proteolyticus;Coprothermobacter proteolyticus DSM 5265
Dictyoglomus_thermophilum_61172	309799.4	Dictyoglomus thermophilum H-6-12	309799	Bacteria	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	Dictyoglomus thermophilum	131567;2;68297;203486;203487;203488;13;14;309799	cellular organisms;Bacteria;Dictyoglomi;Dictyoglomia;Dictyoglomales;Dictyoglomaceae;Dictyoglomus;Dictyoglomus thermophilum;Dictyoglomus thermophilum H-6-12
Thermomicrobium_roseum_61173	309801.4	Thermomicrobium roseum DSM 5159	309801	Bacteria	Chloroflexi	Thermomicrobia	Thermomicrobiales	Thermomicrobiaceae	Thermomicrobium	Thermomicrobium roseum	131567;2;200795;189775;189776;189777;499;500;309801	cellular organisms;Bacteria;Chloroflexi;Thermomicrobia;Thermomicrobiales;Thermomicrobiaceae;Thermomicrobium;Thermomicrobium roseum;Thermomicrobium roseum DSM 5159
Salinibacter_ruber_61174	309807.25	Salinibacter ruber DSM 13855	309807	Bacteria	Bacteroidetes		Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Salinibacter	Salinibacter ruber	131567;2;68336;976;1100069;563843;146918;146919;309807	cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidetes Order II. Incertae sedis;Rhodothermaceae;Salinibacter;Salinibacter ruber;Salinibacter ruber DSM 13855
Endozoicomonas_elysicola_48897	1121862.3	Endozoicomonas elysicola DSM 22380	1121862	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Hahellaceae	Endozoicomonas	Endozoicomonas elysicola	131567;2;1224;1236;135619;224379;305899;305900;1121862	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Endozoicomonas;Endozoicomonas elysicola;Endozoicomonas elysicola DSM 22380
Agrobacterium_vitis_61176	311402.9	Agrobacterium vitis S4	311402	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium vitis	131567;2;1224;28211;356;82115;227290;357;373;311402	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Agrobacterium;Agrobacterium vitis;Agrobacterium vitis S4
Polynucleobacter_necessarius_61177	312153.5	Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1	312153	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter	Polynucleobacter necessarius subsp. asymbioticus	131567;2;1224;28216;80840;119060;44013;576610;576611;312153	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Polynucleobacter;Polynucleobacter necessarius;Polynucleobacter necessarius subsp. asymbioticus;Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1
Borrelia_burgdorferi_56121	445984.3	Borrelia burgdorferi Bol26	445984	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Borrelia	Borrelia burgdorferi	131567;2;203691;203692;136;137;138;64895;139;445984	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Borrelia;Borrelia burgdorferi group;Borrelia burgdorferi;Borrelia burgdorferi Bol26
Butyrivibrio_sp_56129	1280671.3	Butyrivibrio sp. FC2001	1280671	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio	Butyrivibrio sp. FC2001	131567;2;1239;186801;186802;186803;830;1280671	cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio sp. FC2001
Treponema_pedis_56128	1291002.3	Treponema pedis isoM1220	1291002	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema pedis	131567;2;203691;203692;136;137;157;409322;1291002	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;Treponema pedis;Treponema pedis isoM1220
Finegoldia_magna_57293	1459804.4	Finegoldia magna ALB8	1459804	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Finegoldia	Finegoldia magna	131567;2;1239;186801;186802;1570339;150022;1260;1459804	cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptoniphilaceae;Finegoldia;Finegoldia magna;Finegoldia magna ALB8
Salinispora_pacifica_57294	1136424.3	Salinispora pacifica CNT603	1136424	Bacteria	Actinobacteria	Actinobacteridae	Micromonosporineae	Micromonosporaceae	Salinispora	Salinispora pacifica	131567;2;201174;1760;85003;2037;85008;28056;168694;351187;1136424	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Salinispora;Salinispora pacifica;Salinispora pacifica CNT603
Leptospira_kirschneri_57296	1049943.3	Leptospira kirschneri serovar Grippotyphosa str. 'Brem 127 Duyster'	1049943	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	Leptospira	Leptospira kirschneri	131567;2;203691;203692;136;170;171;29507;38345;1049943	cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Leptospiraceae;Leptospira;Leptospira kirschneri;Leptospira kirschneri serovar Grippotyphosa;Leptospira kirschneri serovar Grippotyphosa str. 'Brem 127 Duyster'
Dickeya_zeae_57297	1175299.4	Dickeya zeae ZJU1202	1175299	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Dickeya	Dickeya zeae	131567;2;1224;1236;91347;543;204037;204042;1175299	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Dickeya;Dickeya zeae;Dickeya zeae ZJU1202
Clostridium_clostridioforme_51842	999403.4	Clostridium clostridioforme 90A1	999403	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] clostridioforme	131567;2;1239;186801;186802;186803;1506553;1531;999403	cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;[Clostridium] clostridioforme;[Clostridium] clostridioforme 90A1
Cupriavidus_taiwanensis_55834	1040978.3	Cupriavidus taiwanensis STM 6018	1040978	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis	131567;2;1224;28216;80840;119060;106589;164546;1040978	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus taiwanensis;Cupriavidus taiwanensis STM 6018
Variovorax_paradoxus_55839	543728.3	Variovorax paradoxus S110	543728	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus	131567;2;1224;28216;80840;80864;34072;34073;543728	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;Variovorax paradoxus;Variovorax paradoxus S110
Eubacteriaceae_bacterium_57478	796940.3	Eubacteriaceae bacterium CM5	796940	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		Peptostreptococcaceae bacterium CM5	131567;2;1239;186801;186802;186804;200630;1411023;796940	cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;unclassified Peptostreptococcaceae;unclassified Peptostreptococcaceae (miscellaneous);Peptostreptococcaceae bacterium CM5
Micromonospora_purpureochromogenes_57479	47872.3	Micromonospora purpureochromogenes	47872	Bacteria	Actinobacteria	Actinobacteridae	Micromonosporineae	Micromonosporaceae	Micromonospora	Micromonospora purpureochromogenes	131567;2;201174;1760;85003;2037;85008;28056;1873;47872	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Micromonospora;Micromonospora purpureochromogenes
Fusobacterium_necrophorum_57474	1441734.4	Fusobacterium necrophorum BFTR-1	1441734	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium necrophorum	131567;2;32066;203490;203491;203492;848;859;1441734	cellular organisms;Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium necrophorum;Fusobacterium necrophorum BFTR-1
Actinomyces_odontolyticus_57475	411466.7	Actinomyces odontolyticus ATCC 17982	411466	Bacteria	Actinobacteria	Actinobacteridae	Actinomycineae	Actinomycetaceae	Actinomyces	Actinomyces odontolyticus	131567;2;201174;1760;85003;2037;85005;2049;1654;1660;411466	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces;Actinomyces odontolyticus;Actinomyces odontolyticus ATCC 17982
Streptosporangium_roseum_57476	479432.6	Streptosporangium roseum DSM 43021	479432	Bacteria	Actinobacteria	Actinobacteridae	Streptosporangineae	Streptosporangiaceae	Streptosporangium	Streptosporangium roseum	131567;2;201174;1760;85003;2037;85012;2004;2000;2001;479432	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Streptosporangiaceae;Streptosporangium;Streptosporangium roseum;Streptosporangium roseum DSM 43021
Campylobacter_fetus_53737	1244528.3	Campylobacter sp. 03-427	1244528	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter fetus subsp. testudinum	131567;2;1224;68525;29547;213849;72294;194;196;1507806;1244528	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter fetus;Campylobacter fetus subsp. testudinum;Campylobacter fetus subsp. testudinum 03-427
