subject species_id maxRelAbundance speciesSubjectAnyTimepointPresence speciesSubjectPreAbxPresence speciesSubjectPostAbxPresence speciesSubjectMainStudyPresence speciesSubjectFollowupPresence speciesSubjectFinalSeqPresence speciesSubjectAnyTimepointLOD speciesSubjectPreAbxLOD speciesSubjectPostAbxLOD speciesSubjectMainStudyLOD speciesSubjectFollowupLOD speciesSubjectFinalSeqLOD
XAA Adlercreutzia_equolifaciens_60310 0.00532705158354 TRUE FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE TRUE TRUE
XAA Alistipes_onderdonkii_55464 0.151009369371 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE FALSE TRUE TRUE TRUE
XAA Alistipes_putredinis_61533 0.112773028302 TRUE FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE TRUE TRUE
XAA Alistipes_shahii_62199 0.00864592592128 TRUE TRUE FALSE TRUE TRUE TRUE TRUE FALSE FALSE FALSE TRUE TRUE
XAA Anaeroglobus_geminatus_62348 0.00331055593796 TRUE FALSE TRUE TRUE FALSE FALSE TRUE FALSE TRUE TRUE FALSE FALSE
XAA Anaerostipes_hadrus_55206 0.00508484629092 TRUE TRUE FALSE TRUE TRUE TRUE TRUE TRUE FALSE TRUE TRUE FALSE
XAA Bacteroides_acidifaciens_59693 0.00612715508167 TRUE TRUE TRUE TRUE TRUE TRUE TRUE FALSE TRUE TRUE TRUE FALSE
XAA Bacteroides_caccae_53434 0.0700732750431 TRUE TRUE TRUE TRUE TRUE FALSE TRUE TRUE TRUE TRUE FALSE FALSE
XAA Bacteroides_cellulosilyticus_58046 0.00428759123483 TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
XAA Bacteroides_faecis_58503 0.0933094606853 TRUE TRUE FALSE TRUE FALSE FALSE TRUE TRUE FALSE TRUE FALSE FALSE
XAA Bacteroides_finegoldii_57739 0.323743502526 TRUE TRUE TRUE TRUE TRUE FALSE TRUE TRUE TRUE TRUE FALSE FALSE
