hh subject sample timepoint speciesTrajectory totalAbundance
XA XAA XAA-002 2 disrupted 0.8895938849845
XA XAA XAA-002 2 colonized 0
XA XAA XAA-002 2 strainTurnover 0
XA XAA XAA-002 2 disruptedNotRecovered 0.735669458474945
XA XAA XAA-010 10 disrupted 0.874205102940091
XA XAA XAA-010 10 colonized 6.09022246746e-05
XA XAA XAA-010 10 strainTurnover 0
XA XAA XAA-010 10 disruptedNotRecovered 0.640527923977495
XA XAA XAA-014 14 disrupted 0.852798745453006
XA XAA XAA-014 14 colonized 0.000152955397863
XA XAA XAA-014 14 strainTurnover 0
XA XAA XAA-014 14 disruptedNotRecovered 0.690760003679478
XA XAA XAA-021 21 disrupted 0.9195722494105
XA XAA XAA-021 21 colonized 0.0002026534653739
XA XAA XAA-021 21 strainTurnover 0
XA XAA XAA-021 21 disruptedNotRecovered 0.705135136191268
XA XAA XAA-022 22 disrupted 0.906268913693953
XA XAA XAA-022 22 colonized 0.0002344343645975
XA XAA XAA-022 22 strainTurnover 0
XA XAA XAA-022 22 disruptedNotRecovered 0.71502321245205
XA XAA XAA-023 23 disrupted 0.933562124792789
XA XAA XAA-023 23 colonized 4.78293793391e-05
XA XAA XAA-023 23 strainTurnover 0
XA XAA XAA-023 23 disruptedNotRecovered 0.753622549632399
XA XAA XAA-024 24 disrupted 0.911326936704802
XA XAA XAA-024 24 colonized 0.000153034746347
XA XAA XAA-024 24 strainTurnover 0
XA XAA XAA-024 24 disruptedNotRecovered 0.716230468130342
XA XAA XAA-026 26 disrupted 0.932909826242434
XA XAA XAA-026 26 colonized 0.000201523286961
XA XAA XAA-026 26 strainTurnover 0
XA XAA XAA-026 26 disruptedNotRecovered 0.684793078599641
XA XAA XAA-027 27 disrupted 0.921412556629852
XA XAA XAA-027 27 colonized 5.82868565107e-05
XA XAA XAA-027 27 strainTurnover 0
XA XAA XAA-027 27 disruptedNotRecovered 0.676308667115782
XA XAA XAA-028 28 disrupted 0.9193738475345
XA XAA XAA-028 28 colonized 8.34855004765e-05
XA XAA XAA-028 28 strainTurnover 0.0060067893972
XA XAA XAA-028 28 disruptedNotRecovered 0.73509050197373
XA XAA XAA-029 29 disrupted 0.92214316377677
XA XAA XAA-029 29 colonized 0
XA XAA XAA-029 29 strainTurnover 0.0112394748866
XA XAA XAA-029 29 disruptedNotRecovered 0.799512526159137
XA XAA XAA-030 30 disrupted 0.251176156815806
XA XAA XAA-030 30 colonized 0.000328493909443
XA XAA XAA-030 30 strainTurnover 0.000319111132878
XA XAA XAA-030 30 disruptedNotRecovered 0.187453251986149
XA XAA XAA-031 31 disrupted 0.086968006851992
XA XAA XAA-031 31 colonized 0
XA XAA XAA-031 31 strainTurnover 0.00158562895734
XA XAA XAA-031 31 disruptedNotRecovered 0.076436216117552
XA XAA XAA-034 34 disrupted 0
XA XAA XAA-034 34 colonized 0
XA XAA XAA-034 34 strainTurnover 0
XA XAA XAA-034 34 disruptedNotRecovered 0
XA XAA XAA-035 35 disrupted 0.0022827736616348
XA XAA XAA-035 35 colonized 0
XA XAA XAA-035 35 strainTurnover 0.000335113201294
XA XAA XAA-035 35 disruptedNotRecovered 0.0016919710849818
XA XAA XAA-036 36 disrupted 0.0090787921850614
XA XAA XAA-036 36 colonized 0
XA XAA XAA-036 36 strainTurnover 0.000349795219624
XA XAA XAA-036 36 disruptedNotRecovered 0.0014659804837301
XA XAA XAA-037 37 disrupted 0.0006025977956615
XA XAA XAA-037 37 colonized 0.000358730497243
XA XAA XAA-037 37 strainTurnover 0
XA XAA XAA-037 37 disruptedNotRecovered 3.80975652635e-05
XA XAA XAA-039 39 disrupted 0.0057059690092588
XA XAA XAA-039 39 colonized 0.0006477798874001
XA XAA XAA-039 39 strainTurnover 0.000726637280272
XA XAA XAA-039 39 disruptedNotRecovered 0.0020638532461968
XA XAA XAA-042 42 disrupted 0.0001135465943541
XA XAA XAA-042 42 colonized 0.0139834823527
XA XAA XAA-042 42 strainTurnover 0
XA XAA XAA-042 42 disruptedNotRecovered 0.0001135465943541
XA XAA XAA-050 50 disrupted 0.0902953051949429
XA XAA XAA-050 50 colonized 0.0052395636851323
XA XAA XAA-050 50 strainTurnover 0.000641589390881
XA XAA XAA-050 50 disruptedNotRecovered 0.0108446757526463
XA XAA XAA-057 57 disrupted 0.056686231217544
XA XAA XAA-057 57 colonized 0.0063618033401054
XA XAA XAA-057 57 strainTurnover 0.000205632689035
XA XAA XAA-057 57 disruptedNotRecovered 0.0012867169395374
XA XAA XAA-064 64 disrupted 0.004149241558138
XA XAA XAA-064 64 colonized 0.0101479729523958
XA XAA XAA-064 64 strainTurnover 0
XA XAA XAA-064 64 disruptedNotRecovered 0.00023033709387192
XA XAA XAA-225 225 disrupted 0.00358143004510491
XA XAA XAA-225 225 colonized 0.106476127353298
XA XAA XAA-225 225 strainTurnover 0.000756794078165
XA XAA XAA-225 225 disruptedNotRecovered 0.00185482218395621
XA XAA XAA-281 281 disrupted 0.00233816029015289
XA XAA XAA-281 281 colonized 0.115212618474778
XA XAA XAA-281 281 strainTurnover 0.00115556834249
XA XAA XAA-281 281 disruptedNotRecovered 0.00081721969650824
XA XAA XAA-454 454 disrupted 0.102675587681901
XA XAA XAA-454 454 colonized 0.0643913095430839
XA XAA XAA-454 454 strainTurnover 0.1016714444834
XA XAA XAA-454 454 disruptedNotRecovered 0.0446687630682572
XA XAA XAA-488 488 disrupted 0.389295052641756
XA XAA XAA-488 488 colonized 0.091189639661284
XA XAA XAA-488 488 strainTurnover 0.3860476483354
XA XAA XAA-488 488 disruptedNotRecovered 0.373973506930806
XA XAA XAA-522 522 disrupted 0.608968421746061
XA XAA XAA-522 522 colonized 0.0379933551951077
XA XAA XAA-522 522 strainTurnover 0.6054511670697
XA XAA XAA-522 522 disruptedNotRecovered 0.594409370314341
XA XAA XAA-555 555 disrupted 0.613673444516653
XA XAA XAA-555 555 colonized 0.0362149887794651
XA XAA XAA-555 555 strainTurnover 0.6128760654208
XA XAA XAA-555 555 disruptedNotRecovered 0.608453437991062
XA XAA XAA-590 590 disrupted 0.356477075399
XA XAA XAA-590 590 colonized 0.116360855443384
XA XAA XAA-590 590 strainTurnover 0.35403606242035
XA XAA XAA-590 590 disruptedNotRecovered 0.348765267468956
XA XAA XAA-623 623 disrupted 0.489072497546446
XA XAA XAA-623 623 colonized 0.17068124795538
XA XAA XAA-623 623 strainTurnover 0.4069230426395
XA XAA XAA-623 623 disruptedNotRecovered 0.290194615495496
XA XAA XAA-652 652 disrupted 0.434150261808286
XA XAA XAA-652 652 colonized 0.171683091390598
XA XAA XAA-652 652 strainTurnover 0.41037049064337
XA XAA XAA-652 652 disruptedNotRecovered 0.405143981827494
XA XAC XAC-002 2 disrupted 0.01260928716286
XA XAC XAC-002 2 colonized 0
XA XAC XAC-002 2 strainTurnover 0
XA XAC XAC-002 2 disruptedNotRecovered 0
XA XAC XAC-029 29 disrupted 0.00695501886192
XA XAC XAC-029 29 colonized 0
XA XAC XAC-029 29 strainTurnover 0
XA XAC XAC-029 29 disruptedNotRecovered 0
XA XAC XAC-036 36 disrupted 0.00307220688604
XA XAC XAC-036 36 colonized 0
XA XAC XAC-036 36 strainTurnover 0
XA XAC XAC-036 36 disruptedNotRecovered 0
XA XAC XAC-064 64 disrupted 0.0001710631663578
XA XAC XAC-064 64 colonized 0
XA XAC XAC-064 64 strainTurnover 0
XA XAC XAC-064 64 disruptedNotRecovered 0
XA XAC XAC-224 224 disrupted 0.0110651371567
XA XAC XAC-224 224 colonized 0
XA XAC XAC-224 224 strainTurnover 0
XA XAC XAC-224 224 disruptedNotRecovered 0
XA XAD XAD-003 3 disrupted 0.0011879821966
XA XAD XAD-003 3 colonized 0
XA XAD XAD-003 3 strainTurnover 0
XA XAD XAD-003 3 disruptedNotRecovered 0
XA XAD XAD-029 29 disrupted 0.00124077416673
XA XAD XAD-029 29 colonized 0
XA XAD XAD-029 29 strainTurnover 0
XA XAD XAD-029 29 disruptedNotRecovered 0
XA XAD XAD-036 36 disrupted 0
XA XAD XAD-036 36 colonized 0
XA XAD XAD-036 36 strainTurnover 0
XA XAD XAD-036 36 disruptedNotRecovered 0
XA XAD XAD-063 63 disrupted 0.000707675382137
XA XAD XAD-063 63 colonized 0
XA XAD XAD-063 63 strainTurnover 0
XA XAD XAD-063 63 disruptedNotRecovered 0
XA XAD XAD-225 225 disrupted 0.000203258465513
XA XAD XAD-225 225 colonized 0
XA XAD XAD-225 225 strainTurnover 0
XA XAD XAD-225 225 disruptedNotRecovered 0
XB XBA XBA-001 1 disrupted 0.95946694627523
XB XBA XBA-001 1 colonized 0
XB XBA XBA-001 1 strainTurnover 0
XB XBA XBA-001 1 disruptedNotRecovered 0.840899405623202
XB XBA XBA-008 8 disrupted 0.92391355540486
XB XBA XBA-008 8 colonized 0
