sample subject timepoint hh
XAA-002 XAA 2 XA
XAA-028 XAA 28 XA
XAA-039 XAA 39 XA
XAA-064 XAA 64 XA
XAC-002 XAC 2 XA
XAC-029 XAC 29 XA
XAC-036 XAC 36 XA
XAC-064 XAC 64 XA
XAD-003 XAD 3 XA
XAD-029 XAD 29 XA
XAD-036 XAD 36 XA
XAD-063 XAD 63 XA
XBA-001 XBA 1 XB
XBA-029 XBA 29 XB
XBA-036 XBA 36 XB
XBA-053 XBA 53 XB
XBA-064 XBA 64 XB
XBB-001 XBB 1 XB
XBB-029 XBB 29 XB
XBB-034 XBB 34 XB
XBB-036 XBB 36 XB
XBB-064 XBB 64 XB
XBB-066 XBB 66 XB
XCA-001 XCA 1 XC
XCA-029 XCA 29 XC
XCA-036 XCA 36 XC
XCA-064 XCA 64 XC
XCB-001 XCB 1 XC
XCB-029 XCB 29 XC
XCB-036 XCB 36 XC
XCB-064 XCB 64 XC
XDA-001 XDA 1 XD
XDA-029 XDA 29 XD
XDA-036 XDA 36 XD
XDA-064 XDA 64 XD
XDB-001 XDB 1 XD
XDB-029 XDB 29 XD
XDB-036 XDB 36 XD
XDB-064 XDB 64 XD
XEA-001 XEA 1 XE
XEA-029 XEA 29 XE
XEA-036 XEA 36 XE
XEA-064 XEA 64 XE
XEB-001 XEB 1 XE
XEB-029 XEB 29 XE
XEB-036 XEB 36 XE
XEB-064 XEB 64 XE
XFA-001 XFA 1 XF
XFA-029 XFA 29 XF
XFA-036 XFA 36 XF
XFA-064 XFA 64 XF
XFB-001 XFB 1 XF
XFB-029 XFB 29 XF
XFB-036 XFB 36 XF
XFB-064 XFB 64 XF
XGA-001 XGA 1 XG
XGA-029 XGA 29 XG
XGA-036 XGA 36 XG
XGA-064 XGA 64 XG
XGB-001 XGB 1 XG
XGB-029 XGB 29 XG
XGB-036 XGB 36 XG
XGB-064 XGB 64 XG
XGC-001 XGC 1 XG
XGC-029 XGC 29 XG
XGC-037 XGC 37 XG
XGC-064 XGC 64 XG
XHA-003 XHA 3 XH
XHA-029 XHA 29 XH
XHA-036 XHA 36 XH
XHA-064 XHA 64 XH
XHB-001 XHB 1 XH
XHB-029 XHB 29 XH
XHB-036 XHB 36 XH
XHB-064 XHB 64 XH
XHC-001 XHC 1 XH
XHC-029 XHC 29 XH
XHC-036 XHC 36 XH
XHC-064 XHC 64 XH
YAA-001 YAA 1 YA
YAA-064 YAA 64 YA
YAB-001 YAB 1 YA
YAB-064 YAB 64 YA
YAC-001 YAC 1 YA
YAC-064 YAC 64 YA
YAD-001 YAD 1 YA
YAD-064 YAD 64 YA
YBA-004 YBA 4 YB
YBA-043 YBA 43 YB
YBB-029 YBB 29 YB
YBB-050 YBB 50 YB
YBC-001 YBC 1 YB
YBC-043 YBC 43 YB
YCA-001 YCA 1 YC
YCA-064 YCA 64 YC
YCB-001 YCB 1 YC
YCB-064 YCB 64 YC
YDA-002 YDA 2 YD
YDB-006 YDB 6 YD
YEA-004 YEA 4 YE
YEB-021 YEB 21 YE
YEC-005 YEC 5 YE
YFA-002 YFA 2 YF
YFA-064 YFA 64 YF
YFB-001 YFB 1 YF
YFB-064 YFB 64 YF
ZAA-002 ZAA 2 ZA
ZAA-066 ZAA 66 ZA
ZAB-002 ZAB 2 ZA
ZAB-064 ZAB 64 ZA
ZCA-001 ZCA 1 ZC
ZCA-064 ZCA 64 ZC
ZCB-001 ZCB 1 ZC
ZCB-064 ZCB 64 ZC
ZDA-001 ZDA 1 ZD
ZDA-065 ZDA 65 ZD
ZDB-001 ZDB 1 ZD
ZDB-064 ZDB 64 ZD
ZEA-001 ZEA 1 ZE
ZEA-064 ZEA 64 ZE
ZEB-001 ZEB 1 ZE
ZEB-064 ZEB 64 ZE
ZEC-001 ZEC 1 ZE
ZEC-064 ZEC 64 ZE
XAA-225 XAA 225 XA
XAC-224 XAC 224 XA
XAD-225 XAD 225 XA
XBA-106 XBA 106 XB
XBA-134 XBA 134 XB
XBA-171 XBA 171 XB
XBA-204 XBA 204 XB
XBB-106 XBB 106 XB
XBB-136 XBB 136 XB
XBB-170 XBB 170 XB
XBB-204 XBB 204 XB
XAA-281 XAA 281 XA
XBA-240 XBA 240 XB
XBA-272 XBA 272 XB
XBA-303 XBA 303 XB
XBA-330 XBA 330 XB
XBA-351 XBA 351 XB
XBB-240 XBB 240 XB
XBB-274 XBB 274 XB
XBB-303 XBB 303 XB
XBB-330 XBB 330 XB
XBB-351 XBB 351 XB
XCA-258 XCA 258 XC
XCA-317 XCA 317 XC
XCB-258 XCB 258 XC
XCB-310 XCB 310 XC
XDA-268 XDA 268 XD
XDA-330 XDA 330 XD
XDB-267 XDB 267 XD
