species_id prevalence medianAbundance meanAbundance maxAbundance
Acidaminococcus_fermentans_61896 0.00436681222707424 0.00213713363336437 0.00213713363336437 0.00213713363336437
Acidaminococcus_intestini_54097 0.126637554585153 0.00242335240956539 0.00799328680452494 0.0676724652459309
Acidovorax_ebreus_57143 0.0218340611353712 3.69667021930244e-05 7.12038546130834e-05 0.000247339870093947
Acidovorax_sp_61324 0.00436681222707424 6.66648867288633e-06 6.66648867288633e-06 6.66648867288633e-06
Acinetobacter_baumannii_56211 0.00436681222707424 2.74357756868947e-05 2.74357756868947e-05 2.74357756868947e-05
Acinetobacter_baumannii_57014 0.00873362445414847 2.7910437368661e-05 2.7910437368661e-05 2.9298651551424e-05
Acinetobacter_baumannii_58016 0.00436681222707424 1.18302220313637e-05 1.18302220313637e-05 1.18302220313637e-05
Acinetobacter_gyllenbergii_56301 0.00436681222707424 2.50477474078709e-05 2.50477474078709e-05 2.50477474078709e-05
Acinetobacter_johnsonii_58178 0.0305676855895196 3.02102865951916e-05 2.4790345543744e-05 4.1475903602612e-05
Acinetobacter_junii_57406 0.0174672489082969 4.42622261421233e-05 5.67888882245257e-05 0.000132942477362714
Acinetobacter_sp_59556 0.00436681222707424 3.33566057657118e-05 3.33566057657118e-05 3.33566057657118e-05
Actinobaculum_sp_59615 0.109170305676856 1.80523214481963e-05 3.38913089614892e-05 0.000244318099867657
Actinokineospora_inagensis_58664 0.00436681222707424 6.37900981177042e-06 6.37900981177042e-06 6.37900981177042e-06
Actinokineospora_sp_62492 0.00436681222707424 4.21183716370826e-06 4.21183716370826e-06 4.21183716370826e-06
Actinomyces_cardiffensis_62444 0.00436681222707424 1.94295995213766e-05 1.94295995213766e-05 1.94295995213766e-05
Actinomyces_dentalis_58667 0.0567685589519651 1.55877247246546e-05 6.15915762650281e-05 0.000598471189356634
Actinomyces_georgiae_55085 0.00436681222707424 2.180201666635e-05 2.180201666635e-05 2.180201666635e-05
Actinomyces_gerencseriae_58668 0.0393013100436681 1.18632947598145e-05 2.32822669436427e-05 7.62662148774647e-05
Actinomyces_graevenitzii_58300 0.231441048034935 2.29259256464871e-05 3.70254167940182e-05 0.000501907335087639
Actinomyces_israelii_58669 0.0131004366812227 2.95681071457848e-05 8.85528049312704e-05 0.000219477862083113
Actinomyces_johnsonii_57359 0.0873362445414847 1.80776220012555e-05 4.09744783383004e-05 0.000395545362139862
Actinomyces_massiliensis_56461 0.091703056768559 2.42815531869826e-05 3.47167587231971e-05 0.000135552183475974
Actinomyces_naeslundii_58629 0.139737991266376 1.53644157769969e-05 2.52198925608101e-05 0.000108378585750554
Actinomyces_neuii_62451 0.00436681222707424 1.59968925840972e-05 1.59968925840972e-05 1.59968925840972e-05
Actinomyces_odontolyticus_57475 0.200873362445415 1.41889245372209e-05 2.09634739438988e-05 7.98001518116054e-05
Actinomyces_sp_56280 0.0305676855895196 1.3839703313073e-05 9.0656054510662e-05 0.000528029841124799
Actinomyces_sp_57735 0.244541484716157 2.80868296462926e-05 3.32219681989709e-05 0.000117427227776054
Actinomyces_sp_58589 0.222707423580786 1.79974139933949e-05 3.23814729477737e-05 0.000205193464723308
Actinomyces_sp_58647 0.170305676855895 2.0399248962517e-05 2.64092961356751e-05 0.000145736355838896
Actinomyces_sp_59161 0.152838427947598 1.76477026810276e-05 2.89172329293704e-05 0.000255036549654794
Actinomyces_sp_59450 0.122270742358079 1.53236419971904e-05 2.12466836002144e-05 0.000115724088325151
Actinomyces_sp_59588 0.0218340611353712 1.67586560050017e-05 1.56117888695055e-05 1.98835079247801e-05
Actinomyces_sp_59944 0.205240174672489 2.58543104182594e-05 3.68507478320251e-05 0.000204417607434981
Actinomyces_sp_62027 0.00873362445414847 9.92805193556128e-06 9.92805193556128e-06 1.24219536898679e-05
Actinomyces_sp_62277 0.0611353711790393 1.8069041902703e-05 2.37564650224293e-05 7.60193986480946e-05
Actinomyces_sp_62445 0.0131004366812227 2.8049176855225e-05 4.2690367903731e-05 8.02847992558189e-05
Actinomyces_sp_62446 0.100436681222707 1.97123691111436e-05 0.000279736661540097 0.00569120250244371
Actinomyces_sp_62581 0.358078602620087 3.46883894087433e-05 6.03239064842638e-05 0.000903776153018484
Actinomyces_sp_62582 0.174672489082969 2.15820538451193e-05 3.61029004395562e-05 0.000209912100787911
Actinomyces_timonensis_61695 0.0218340611353712 4.58399254350981e-06 4.48937273713534e-06 5.77854236331186e-06
Actinomyces_turicensis_62420 0.104803493449782 1.72870764756305e-05 4.92046270889947e-05 0.000403933132008664
Actinomyces_viscosus_57672 0.296943231441048 2.78852118290475e-05 0.000846373389908585 0.0422202343623339
Adlercreutzia_equolifaciens_60310 0.720524017467249 9.36684014942669e-05 0.000212900495736975 0.0040050522501215
