sample	weightmg	uLPBS	CFUsInSpotCounted	columnCounted	uLPlated	CFUsPerUlResuspension	CFUsPerGStool	dilutionReplicate	plateReplicate
XAA-002	65	500	100	1	5	100	7.69E+05	1	1
XAA-029	60	500	100	1	5	100	8.33E+05	1	1
XAA-036	78	500	10	1	5	10	6.41E+04	1	1
XAA-064	48	500	5	5	5	50000	5.21E+08	1	1
XBA-022	47	500	10	5	5	100000	1.06E+09	1	1
XBA-029	50	500	7	6	5	700000	7.00E+09	1	1
XBA-036	37	500	4	2	5	40	5.41E+05	1	1
XBA-064	60	500	3	6	5	300000	2.50E+09	1	1
XCA-001	34	500	3	5	5	30000	4.41E+08	1	1
XCA-028	96	500	4	7	5	4000000	2.08E+10	1	1
XCA-036	70	500	8	5	5	80000	5.71E+08	1	1
XCA-064	63	500	3	5	5	30000	2.38E+08	1	1
XDA-001	50	500	5	6	5	500000	5.00E+09	1	1
XDA-029	67	500	2	7	5	2000000	1.49E+10	1	1
XDA-036	55	500	3	7	5	3000000	2.73E+10	1	1
XDA-064	50	500	5	6	5	500000	5.00E+09	1	1
XEA-001	45	500	3	5	5	30000	3.33E+08	1	1
XEA-029	45	500	20	5	5	200000	2.22E+09	1	1
XEA-036	75	500	4	4	5	4000	2.67E+07	1	1
XEA-064	47	500	7	4	5	7000	7.45E+07	1	1
XFA-001	60	500	3	3	5	300	2.50E+06	1	1
XFA-029	90	500	8	6	5	800000	4.44E+09	1	1
XFA-036	65	500	6	4	5	6000	4.62E+07	1	1
XFA-064	55	500	5	3	5	500	4.55E+06	1	1
XGA-001	50	500	3	6	7	214285.7143	2.14E+09	1	1
XGA-029	80	500	10	7	7	7142857.143	4.46E+10	1	1
XGA-036	60	500	10	5	7	71428.57143	5.95E+08	1	1
XGA-064	50	500	3	7	7	2142857.143	2.14E+10	1	1
XHC-001	50	500	6	4	7	4285.714286	4.29E+07	1	1
XHC-029	50	500	8	6	7	571428.5714	5.71E+09	1	1
XHC-036	60	500	8	7	7	5714285.714	4.76E+10	1	1
XHC-064	70	500	4	6	7	285714.2857	2.04E+09	1	1
XIA-002	50	500	9	4	5	9000	9.00E+07	1	1
XIA-029	40	500	5	5	5	50000	6.25E+08	1	1
XIA-036	90	500	7	5	5	70000	3.89E+08	1	1
XIA-064	45	500	2	5	5	20000	2.22E+08	1	1
XJA-001	55	500	7	3	5	700	6.36E+06	1	1
XJA-029	70	500	2	4	5	2000	1.43E+07	1	1
XJA-036	65	500	18	5	5	180000	1.38E+09	1	1
XJA-064	40	500	9	5	5	90000	1.13E+09	1	1
XKA-001	50	500	2	5	5	20000	2.00E+08	1	1
XKA-029	45	500	7	4	5	7000	7.78E+07	1	1
XKA-036	50	500	18	5	5	180000	1.80E+09	1	1
XKA-064	65	500	2	6	5	200000	1.54E+09	1	1
XLA-001	25	500	11	2	5	110	2.20E+06	1	1
XLA-029	50	500	3	5	5	30000	3.00E+08	1	1
XLA-036	65	500	10	5	5	100000	7.69E+08	1	1
XLA-064	45	500	4	6	5	400000	4.44E+09	1	1
XMA-001	40	500	13	4	5	13000	1.63E+08	1	1
XMA-029	55	500	9	4	5	9000	8.18E+07	1	1
XMA-036	45	500	8	3	5	800	8.89E+06	1	1
XMA-064	55	500	8	4	5	8000	7.27E+07	1	1
XNA-001	55	500	2	3	5	200	1.82E+06	1	1
XNA-029	40	500	4	6	5	400000	5.00E+09	1	1
XNA-036	55	500	4	2	5	40	3.64E+05	1	1
XNA-064	50	500	3	4	5	3000	3.00E+07	1	1
XOA-001	55	500	5	4	5	5000	4.55E+07	1	1
XOA-029	95	500	6	5	5	60000	3.16E+08	1	1
XOA-036	40	500	5	5	5	50000	6.25E+08	1	1
XOA-064	65	500	12	5	5	120000	9.23E+08	1	1
XPA-002	70	500	6	4	5	6000	4.29E+07	1	1
XPA-029	90	500	9	5	5	90000	5.00E+08	1	1
XPA-036	60	500	2	5	5	20000	1.67E+08	1	1
XPA-072	40	500	5	3	5	500	6.25E+06	1	1
XQA-001	50	500	4	5	5	40000	4.00E+08	1	1
XQA-029	55	500	5	6	5	500000	4.55E+09	1	1
XQA-036	60	500	6	5	5	60000	5.00E+08	1	1
XQA-064	50	500	3	6	5	300000	3.00E+09	1	1
XRA-001	40	500	22	3	5	2200	2.75E+07	1	1
XRA-029	90	500	9	5	5	90000	5.00E+08	1	1
XRA-036	65	500	5	5	5	50000	3.85E+08	1	1
XRA-064	50	500	5	6	5	500000	5.00E+09	1	1
XSA-001	50	500	9	5	4	112500	1.13E+09	1	1
XSA-029	70	500	9	5	4	112500	8.04E+08	1	1
XSA-036	45	500	3	3	4	375	4.17E+06	1	1
XSA-064	55	500	17	5	4	212500	1.93E+09	1	1
XTA-001	40	500	3	5	4	37500	4.69E+08	1	1
XTA-029	50	500	3	5	4	37500	3.75E+08	1	1
XTA-036	50	500	2	5	4	25000	2.50E+08	1	1
XTA-064	40	500	8	4	4	10000	1.25E+08	1	1
XUA-001	50	500	5	5	3	83333.33333	8.33E+08	1	1
XUA-029	80	500	8	5	3	133333.3333	8.33E+08	1	1
XUA-036	40	500	3	5	3	50000	6.25E+08	1	1
XUA-064	80	500	12	5	3	200000	1.25E+09	1	1
XVA-001	110	500	4	5	3	66666.66667	3.03E+08	1	1
XVA-029	40	500	5	4	3	8333.333333	1.04E+08	1	1
XVA-036	100	500	8	4	3	13333.33333	6.67E+07	1	1
XVA-064	60	500	2	5	3	33333.33333	2.78E+08	1	1
XAA-002	65	500	7	2	5	70	5.38E+05	2	1
XAA-029	60	500	3	2	5	30	2.50E+05	2	1
XAA-036	78	500	3	2	5	30	1.92E+05	2	1
XAA-064	48	500	3	5	5	30000	3.13E+08	2	1
XBA-022	47	500	3	5	5	30000	3.19E+08	2	1
XBA-029	50	500	2	5	5	20000	2.00E+08	2	1
XBA-036	37	500	1	2	5	10	1.35E+05	2	1
XBA-064	60	500	7	6	5	700000	5.83E+09	2	1
XKA-001	50	500	8	4	5	8000	8.00E+07	1	2
XKA-029	45	500	2	5	5	20000	2.22E+08	1	2
XKA-036	50	500	10	5	5	100000	1.00E+09	1	2
XKA-064	65	500	2	6	5	200000	1.54E+09	1	2
XLA-001	25	500	9	2	5	90	1.80E+06	1	2
XLA-029	50	500	7	5	5	70000	7.00E+08	1	2
XLA-036	65	500	7	5	5	70000	5.38E+08	1	2
XLA-064	45	500	2	6	5	200000	2.22E+09	1	2
XQA-001	50	500	21	4	5	21000	2.10E+08	1	2
XQA-029	55	500	2	6	5	200000	1.82E+09	1	2
XQA-036	60	500	3	5	5	30000	2.50E+08	1	2
XQA-064	50	500	8	6	5	800000	8.00E+09	1	2
XRA-001	40	500	4	4	5	4000	5.00E+07	1	2
XRA-029	90	500	6	5	5	60000	3.33E+08	1	2
XRA-036	65	500	5	5	5	50000	3.85E+08	1	2
XRA-064	50	500	19	5	5	190000	1.90E+09	1	2
XQA-001	50	500	4	5	3	66666.66667	6.67E+08	1	3
XQA-029	55	500	6	5	3	100000	9.09E+08	1	3
XQA-036	60	500	2	5	3	33333.33333	2.78E+08	1	3
XQA-064	50	500	2	6	3	333333.3333	3.33E+09	1	3
XRA-001	40	500	10	4	3	16666.66667	2.08E+08	1	3
XRA-029	90	500	24	4	3	40000	2.22E+08	1	3
XRA-036	65	500	4	5	3	66666.66667	5.13E+08	1	3
XRA-064	50	500	12	5	3	200000	2.00E+09	1	3
