group	meanRandom	meanActual	percentile	pvalue	numCounts	maxNumSpecies	lowerThreshold	upperThreshold
	5.1667	3	0.2223	0.2223	10000	14	0.000892857142857143	0.999107142857143
Acidaminococcaceae	0.5942	0	0.5476	0.5476	10000	5	0.000892857142857143	0.999107142857143
Bacteroidaceae	8.588	3	0.0177	0.0177	10000	21	0.000892857142857143	0.999107142857143
Bifidobacteriaceae	1.8957	2	0.7099	0.5775	10000	9	0.000892857142857143	0.999107142857143
Campylobacteraceae	0.1342	4	1	0	10000	4	0.000892857142857143	0.999107142857143
Clostridiaceae	0.5227	4	0.9999	0.0014	10000	6	0.000892857142857143	0.999107142857143
Coriobacteriaceae	2.1303	0	0.1131	0.1131	10000	9	0.000892857142857143	0.999107142857143
Desulfovibrionaceae	0.7417	0	0.4637	0.4637	10000	5	0.000892857142857143	0.999107142857143
Enterobacteriaceae	0.9443	4	0.9984	0.0131	10000	7	0.000892857142857143	0.999107142857143
Enterococcaceae	0.0352	1	1	0.0352	10000	1	0.000892857142857143	0.999107142857143
Erysipelotrichaceae	1.6416	5	0.995	0.0219	10000	8	0.000892857142857143	0.999107142857143
Eubacteriaceae	2.9871	1	0.188	0.188	10000	10	0.000892857142857143	0.999107142857143
Fusobacteriaceae	0.1444	2	0.9999	0.0072	10000	3	0.000892857142857143	0.999107142857143
Lachnospiraceae	10.9881	10	0.4518	0.4518	10000	26	0.000892857142857143	0.999107142857143
Lactobacillaceae	0.0712	0	0.9311	0.9311	10000	2	0.000892857142857143	0.999107142857143
Leuconostocaceae	0.0364	0	0.9636	0.9636	10000	1	0.000892857142857143	0.999107142857143
Oscillospiraceae	0.9381	0	0.3817	0.3817	10000	6	0.000892857142857143	0.999107142857143
Oxalobacteraceae	0.0698	0	0.9316	0.9316	10000	2	0.000892857142857143	0.999107142857143
Pasteurellaceae	1.0177	0	0.3502	0.3502	10000	6	0.000892857142857143	0.999107142857143
Peptostreptococcaceae	0.4193	0	0.6524	0.6524	10000	4	0.000892857142857143	0.999107142857143
Porphyromonadaceae	2.5532	0	0.0687	0.0687	10000	9	0.000892857142857143	0.999107142857143
Prevotellaceae	0.7557	3	0.994	0.0384	10000	6	0.000892857142857143	0.999107142857143
Rikenellaceae	1.9529	1	0.4071	0.4071	10000	8	0.000892857142857143	0.999107142857143
Ruminococcaceae	5.643	0	0.0024	0.0024	10000	15	0.000892857142857143	0.999107142857143
Streptococcaceae	1.335	3	0.9602	0.1402	10000	8	0.000892857142857143	0.999107142857143
Sutterellaceae	0.3478	0	0.7018	0.7018	10000	4	0.000892857142857143	0.999107142857143
Veillonellaceae	0.9671	7	1	0	10000	7	0.000892857142857143	0.999107142857143
Verrucomicrobiaceae	0.3786	0	0.6791	0.6791	10000	4	0.000892857142857143	0.999107142857143
