group	meanRandom	meanActual	percentile	pvalue	numCounts	maxNumSpecies	lowerThreshold	upperThreshold
	9.6965	8	0.3275	0.3275	10000	20	0.00147058823529412	0.998529411764706
Acidaminococcaceae	1.0238	1	0.73	0.73	10000	4	0.00147058823529412	0.998529411764706
Bacteroidaceae	18.0944	27	0.9978	0.0051	10000	31	0.00147058823529412	0.998529411764706
Bifidobacteriaceae	3.8156	6	0.9426	0.1504	10000	11	0.00147058823529412	0.998529411764706
Clostridiaceae	0.2507	0	0.7493	0.7493	10000	1	0.00147058823529412	0.998529411764706
Desulfovibrionaceae	0.7599	2	0.9862	0.1575	10000	3	0.00147058823529412	0.998529411764706
Erysipelotrichaceae	0.2525	1	1	0.2525	10000	1	0.00147058823529412	0.998529411764706
Eubacteriaceae	9.9314	8	0.2938	0.2938	10000	20	0.00147058823529412	0.998529411764706
Lachnospiraceae	8.6449	7	0.3236	0.3236	10000	18	0.00147058823529412	0.998529411764706
Oscillospiraceae	1.0429	0	0.2962	0.2962	10000	4	0.00147058823529412	0.998529411764706
Porphyromonadaceae	6.8402	7	0.6327	0.5496	10000	17	0.00147058823529412	0.998529411764706
Prevotellaceae	0.5166	0	0.5515	0.5515	10000	2	0.00147058823529412	0.998529411764706
Rikenellaceae	4.862	4	0.4311	0.4311	10000	12	0.00147058823529412	0.998529411764706
Ruminococcaceae	13.2424	8	0.0479	0.0479	10000	26	0.00147058823529412	0.998529411764706
Sutterellaceae	0.2507	0	0.7493	0.7493	10000	1	0.00147058823529412	0.998529411764706
Veillonellaceae	0.764	1	0.8384	0.5861	10000	3	0.00147058823529412	0.998529411764706
Verrucomicrobiaceae	1.0115	1	0.7381	0.7381	10000	4	0.00147058823529412	0.998529411764706
