subject	maxJSD	finalJSD
XAA	0.564937183443727	0.554680763231346
XAC	0.0646608560162355	0.0477422117946425
XAD	0.0511256131968707	0.0440291965087195
XBA	0.64736247271104	0.629491665550305
XBB	0.12547975898991	0.0679118434346839
XCA	0.322348198866476	0.11796250790951
XCB	0.0827757216633655	0.0827757216633655
XDA	0.589554008002214	0.551861110127921
XDB	0.0682952420874915	0.0603541441761793
XEA	0.681842361038874	0.534838369003391
XEB	0.0930147237700167	0.0930147237700167
XFA	0.404140496652906	0.156140379062415
XFB	0.055055258493872	0.0436394419916701
XGA	0.368469361810941	0.11063433721295
XGB	0.0615417195178284	0.0615417195178284
XGC	0.151558181693445	0.151558181693445
XHA	0.0892738852483558	0.0892738852483558
XHB	0.27130066916483	0.0524223095833621
XHC	0.219403192641927	0.0431777691832177
XIA	0.323830254711555	0.110990862895855
XIB	0.0428418275004048	0.0428418275004048
XIC	0.116383304816438	0.057059596472893
XJA	0.200365965997734	0.0471643884563883
XJB	0.1024740430628	0.0816731722801388
XKA	0.627000063440387	0.425457627335785
XKB	0.0774032576177187	0.0774032576177187
XLA	0.313764715611801	0.101698434722533
XLB	0.0954211400651285	0.0698456370735081
XMA	0.489789940327243	0.153812701192415
XMB	0.132704905362393	0.0780236222883932
XNA	0.472614708288024	0.234175874432558
XNB	0.116792464399976	0.0298504364448696
XOA	0.50331468481601	0.0348617351524941
XOB	0.106752315335577	0.106752315335577
XPA	0.320167936396308	0.151217715708443
XPB	0.0723780954557286	0.0723780954557286
XQA	0.485204975606458	0.111185545199865
XQB	0.132783840718038	0.132783840718038
XRA	0.25521401683359	0.0381804545766521
XRB	0.0887725520818087	0.0887725520818087
XSA	0.422210077362399	0.032888123433042
XSB	0.15375252139326	0.146825215104998
XTA	0.510295896899388	0.288811331749177
XTB	0.052789742641544	0.0455048389334222
XUA	0.47200875989386	0.132671038790572
XUB	0.0821119007932198	0.0821119007932198
XVA	0.213460890609774	0.0972442578733333
XVB	0.0599226615226775	0.047865139909772
