species_id sample subjectSharedTimepointInitial subjectSharedTimepointFinal subjectSharedTimepointLastSequenced strainTurnover timeOfStrainTurnover
Alistipes_onderdonkii_55464 XAA-010 TRUE NA FALSE TRUE 623
Alistipes_onderdonkii_55464 XAA-014 TRUE NA FALSE TRUE 623
Alistipes_onderdonkii_55464 XAA-021 TRUE NA FALSE TRUE 623
Alistipes_onderdonkii_55464 XAA-022 TRUE NA FALSE TRUE 623
Alistipes_onderdonkii_55464 XAA-023 TRUE NA FALSE TRUE 623
Alistipes_onderdonkii_55464 XAA-024 TRUE NA FALSE TRUE 623
Alistipes_onderdonkii_55464 XAA-026 TRUE NA FALSE TRUE 623
Alistipes_onderdonkii_55464 XAA-027 TRUE NA FALSE TRUE 623
Alistipes_onderdonkii_55464 XAA-028 TRUE NA FALSE TRUE 623
Alistipes_onderdonkii_55464 XAA-623 FALSE NA TRUE TRUE 623
Alistipes_onderdonkii_55464 XAA-652 FALSE NA NA TRUE 623
Anaerostipes_hadrus_55206 XAA-028 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-010 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-014 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-021 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-022 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-023 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-024 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-026 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-027 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-028 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-029 TRUE NA NA FALSE NA
Bacteroides_caccae_53434 XAA-050 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XAA-014 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XAA-021 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XAA-022 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XAA-023 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XAA-027 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XAA-028 TRUE NA NA FALSE NA
Bacteroides_faecis_58503 XAA-029 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XAA-010 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XAA-014 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XAA-021 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XAA-022 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XAA-023 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XAA-024 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XAA-026 TRUE NA NA FALSE NA
Bacteroides_finegoldii_57739 XAA-027 TRUE NA NA FALSE NA
