sample annotationSample totalSpecies speciesShared numSpeciesShared relAbundanceSpeciesShared hh1 hh2 type
XAA-002 XAA-002 30 TRUE 30 0.98727423896087 XA XA sameSubject
XAA-002 XAC-002 30 FALSE 12 0.22602055680121 XA XA sameHousehold
XAA-002 XAC-002 30 TRUE 18 0.76125368215966 XA XA sameHousehold
XAA-002 XAD-003 30 FALSE 19 0.52804276250482 XA XA sameHousehold
XAA-002 XAD-003 30 TRUE 11 0.45923147645605 XA XA sameHousehold
XAA-002 XBA-001 30 FALSE 9 0.22910884137832 XA XB diffHousehold
XAA-002 XBA-001 30 TRUE 21 0.75816539758255 XA XB diffHousehold
XAA-002 XBB-001 30 FALSE 9 0.21284942544115 XA XB diffHousehold
XAA-002 XBB-001 30 TRUE 21 0.77442481351972 XA XB diffHousehold
XAA-002 XCA-001 30 FALSE 8 0.1154243975303 XA XC diffHousehold
XAA-002 XCA-001 30 TRUE 22 0.87184984143057 XA XC diffHousehold
XAA-002 XCB-001 30 FALSE 13 0.14772896127598 XA XC diffHousehold
XAA-002 XCB-001 30 TRUE 17 0.83954527768489 XA XC diffHousehold
XAA-002 XDA-001 30 FALSE 11 0.31849214337628 XA XD diffHousehold
XAA-002 XDA-001 30 TRUE 19 0.66878209558459 XA XD diffHousehold
XAA-002 XDB-001 30 FALSE 9 0.26741164645695 XA XD diffHousehold
XAA-002 XDB-001 30 TRUE 21 0.71986259250392 XA XD diffHousehold
XAA-002 XEA-001 30 FALSE 10 0.23765706765434 XA XE diffHousehold
XAA-002 XEA-001 30 TRUE 20 0.74961717130653 XA XE diffHousehold
XAA-002 XEB-001 30 FALSE 8 0.08469786992298 XA XE diffHousehold
XAA-002 XEB-001 30 TRUE 22 0.90257636903789 XA XE diffHousehold
XAA-002 XFA-001 30 FALSE 4 0.1205768583556 XA XF diffHousehold
XAA-002 XFA-001 30 TRUE 26 0.86669738060527 XA XF diffHousehold
XAA-002 XFB-001 30 FALSE 7 0.13967077251389 XA XF diffHousehold
XAA-002 XFB-001 30 TRUE 23 0.84760346644698 XA XF diffHousehold
XAA-002 XGA-001 30 FALSE 10 0.10871169790072 XA XG diffHousehold
XAA-002 XGA-001 30 TRUE 20 0.87856254106015 XA XG diffHousehold
