sample	subject	hh	timepoint	species_id	relative_abundance	totalReads	speciesColonizedTransientlyMain	speciesColonizedTransientlyAll	timeOfRecoveryColonizationTurnover	typeOfRecoveryColonizationTurnover	r	K	tstar	closest_t_before_tstar	closest_t_after_star	inferred_tau	inferred_f0	Reason	tstarTimepoint	timepointIndex	timepointIndexTstar	lastUndetectableTimepointIndexBeforeTstar	lastUndetectableTimepointBeforeTstar	lastTimepointBeforeTstar	numTimepointsToReachK	timeIntervalToReachK
XAA-002	XAA	XA	2	Adlercreutzia_equolifaciens_60310	0	91663	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	1	26	25	454	454	1	34
XAA-010	XAA	XA	10	Adlercreutzia_equolifaciens_60310	0	16442	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	2	26	25	454	454	1	34
XAA-014	XAA	XA	14	Adlercreutzia_equolifaciens_60310	0	19768	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	3	26	25	454	454	1	34
XAA-021	XAA	XA	21	Adlercreutzia_equolifaciens_60310	0	19905	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	4	26	25	454	454	1	34
XAA-022	XAA	XA	22	Adlercreutzia_equolifaciens_60310	0	20545	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	5	26	25	454	454	1	34
XAA-023	XAA	XA	23	Adlercreutzia_equolifaciens_60310	0	19468	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	6	26	25	454	454	1	34
XAA-024	XAA	XA	24	Adlercreutzia_equolifaciens_60310	0	14804	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	7	26	25	454	454	1	34
XAA-026	XAA	XA	26	Adlercreutzia_equolifaciens_60310	0	14752	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	8	26	25	454	454	1	34
XAA-027	XAA	XA	27	Adlercreutzia_equolifaciens_60310	0	14164	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	9	26	25	454	454	1	34
XAA-028	XAA	XA	28	Adlercreutzia_equolifaciens_60310	0	96127	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	10	26	25	454	454	1	34
XAA-029	XAA	XA	29	Adlercreutzia_equolifaciens_60310	0	5790	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	11	26	25	454	454	1	34
XAA-030	XAA	XA	30	Adlercreutzia_equolifaciens_60310	0	3237	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	12	26	25	454	454	1	34
XAA-031	XAA	XA	31	Adlercreutzia_equolifaciens_60310	0	6083	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	13	26	25	454	454	1	34
XAA-034	XAA	XA	34	Adlercreutzia_equolifaciens_60310	0	8298	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	14	26	25	454	454	1	34
XAA-035	XAA	XA	35	Adlercreutzia_equolifaciens_60310	0	12344	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	15	26	25	454	454	1	34
XAA-036	XAA	XA	36	Adlercreutzia_equolifaciens_60310	0	13569	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	16	26	25	454	454	1	34
XAA-037	XAA	XA	37	Adlercreutzia_equolifaciens_60310	0	14327	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	17	26	25	454	454	1	34
XAA-039	XAA	XA	39	Adlercreutzia_equolifaciens_60310	0	69701	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	18	26	25	454	454	1	34
XAA-042	XAA	XA	42	Adlercreutzia_equolifaciens_60310	0	22791	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	19	26	25	454	454	1	34
XAA-050	XAA	XA	50	Adlercreutzia_equolifaciens_60310	0	20946	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	20	26	25	454	454	1	34
XAA-057	XAA	XA	57	Adlercreutzia_equolifaciens_60310	0	14481	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	21	26	25	454	454	1	34
XAA-064	XAA	XA	64	Adlercreutzia_equolifaciens_60310	0	99447	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	22	26	25	454	454	1	34
XAA-225	XAA	XA	225	Adlercreutzia_equolifaciens_60310	0	35380	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	23	26	25	454	454	1	34
XAA-281	XAA	XA	281	Adlercreutzia_equolifaciens_60310	0	66613	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	24	26	25	454	454	1	34
XAA-454	XAA	XA	454	Adlercreutzia_equolifaciens_60310	0	93106	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	25	26	25	454	454	1	34
XAA-488	XAA	XA	488	Adlercreutzia_equolifaciens_60310	0.00211361566854	24645	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	26	26	25	454	454	1	34
XAA-522	XAA	XA	522	Adlercreutzia_equolifaciens_60310	0	20390	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	27	26	25	454	454	1	34
XAA-555	XAA	XA	555	Adlercreutzia_equolifaciens_60310	0.000211498212203	44839	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	28	26	25	454	454	1	34
XAA-590	XAA	XA	590	Adlercreutzia_equolifaciens_60310	0.00191565896589	37390	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	29	26	25	454	454	1	34
