phylum class order family
Actinobacteria Actinobacteridae Actinomycineae Actinomycetaceae
Actinobacteria Actinobacteridae Bifidobacteriales Bifidobacteriaceae
Actinobacteria Coriobacteridae Coriobacterineae Coriobacteriaceae
Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae
Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae
Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae
Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae
delta/epsilon subdivisions Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae
Firmicutes Bacilli Lactobacillales Enterococcaceae
Firmicutes Bacilli Lactobacillales Lactobacillaceae
Firmicutes Bacilli Lactobacillales Streptococcaceae
Firmicutes Clostridia Clostridiales Clostridiaceae
Firmicutes Clostridia Clostridiales Eubacteriaceae
Firmicutes Clostridia Clostridiales Lachnospiraceae
Firmicutes Clostridia Clostridiales Oscillospiraceae
Firmicutes Clostridia Clostridiales Peptostreptococcaceae
Firmicutes Clostridia Clostridiales Ruminococcaceae
Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae
Firmicutes Negativicutes Selenomonadales Acidaminococcaceae
Firmicutes Negativicutes Selenomonadales Veillonellaceae
Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae
Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae
Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae
Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae
Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Verrucomicrobiaceae
