species numPairs numSubjects numHouseholds numWithinHouseholdPairs numSamples
Eubacterium_rectale_56927 377146 69 33 8377 869
Bacteroides_vulgatus_57955 360825 72 33 8862 850
Bacteroides_uniformis_57318 235641 65 33 6623 687
Bacteroides_ovatus_58035 200028 56 29 6566 633
Blautia_wexlerae_56130 153735 66 30 3432 555
Faecalibacterium_prausnitzii_57453 149331 63 33 3034 547
Eubacterium_eligens_61678 137550 65 33 2599 525
Faecalibacterium_cf_62236 123256 67 31 2496 497
Bifidobacterium_longum_57796 104653 56 29 4431 458
Faecalibacterium_prausnitzii_62201 104653 65 32 2219 458
Anaerostipes_hadrus_55206 90100 67 32 1454 425
Faecalibacterium_prausnitzii_61481 83028 61 31 2168 408
Clostridiales_bacterium_61057 76245 61 30 2893 391
Alistipes_putredinis_61533 75078 52 30 1819 388
Roseburia_inulinivorans_61943 58996 54 28 1382 344
Bacteroides_stercoris_56735 46971 33 19 1789 307
Bacteroides_xylanisolvens_57185 42486 45 25 990 292
Parabacteroides_distasonis_56985 41616 57 31 829 289
Bacteroides_caccae_53434 39903 45 27 616 283
Bacteroides_thetaiotaomicron_56941 36046 45 24 1129 269
Ruminococcus_sp_55468 34191 52 26 754 262
Guyana_massiliensis_60772 31878 54 29 621 253
Roseburia_intestinalis_56239 31878 48 26 492 253
Bacteroides_massiliensis_44749 30628 22 13 1229 248
Bifidobacterium_adolescentis_56815 30381 42 24 848 247
Parabacteroides_merdae_56972 30135 44 26 882 246
Ruminococcus_lactaris_55568 28441 37 21 2130 239
Bacteroides_fragilis_54507 28203 28 21 1711 238
Alistipes_onderdonkii_55464 27966 41 25 819 237
Ruminococcus_torques_62045 27495 45 25 641 235
Eubacterium_hallii_61477 26565 55 28 566 231
Ruminococcus_bicirculans_59300 25425 50 29 541 226
Roseburia_hominis_61877 24310 47 26 395 221
Odoribacter_splanchnicus_62174 23871 47 28 425 219
Oscillibacter_sp_60799 23653 42 27 634 218
Alistipes_shahii_62199 23005 38 23 439 215
Coprococcus_comes_61587 21115 42 26 360 206
Bacteroides_faecis_58503 19306 15 12 3662 197
Ruminococcus_bromii_62047 18528 35 26 390 193
Bacteroides_cellulosilyticus_58046 18336 27 19 713 192
Prevotella_copri_61740 15051 19 10 436 174
Barnesiella_intestinihominis_62208 13861 29 17 444 167
Dialister_invisus_61905 13861 31 23 196 167
Dorea_longicatena_61473 13041 34 22 370 162
Eubacterium_siraeum_57634 13041 27 18 216 162
Dorea_formicigenerans_56346 12880 45 23 429 161
Bacteroides_finegoldii_57739 11476 30 19 497 152
Alistipes_finegoldii_56071 11175 35 24 229 150
Ruminococcus_gnavus_57638 11026 24 19 284 149
Akkermansia_muciniphila_55290 10878 28 18 321 148
Burkholderiales_bacterium_56577 10878 34 22 365 148
Bilophila_wadsworthia_57364 10153 48 27 257 143
Bacteroidales_bacterium_58650 9180 31 22 306 136
Clostridiales_bacterium_56470 8911 29 21 341 134
Ruminococcus_obeum_61472 8911 31 18 216 134
Dorea_longicatena_59913 7140 34 23 135 120
Eubacterium_ventriosum_61474 6216 33 18 203 112
Paraprevotella_clara_33712 6216 15 12 137 112
Phascolarctobacterium_sp_59817 6105 26 19 88 111
Bifidobacterium_pseudocatenulatum_57754 5565 18 13 112 106
Coprococcus_sp_62244 5151 20 17 113 102
Eubacterium_ramulus_59802 4371 26 16 170 94
Bacteroides_plebeius_61623 4186 10 7 303 92
Lachnospiraceae_bacterium_51870 4186 34 20 84 92
Oscillospiraceae_bacterium_54867 4186 29 20 94 92
Ruminococcus_callidus_61479 3160 17 13 213 80
Sutterella_wadsworthensis_56828 3160 17 12 79 80
Catenibacterium_mitsuokai_61547 3081 9 6 249 79
Bacteroides_nordii_55557 2701 14 11 84 74
Sutterella_wadsworthensis_62218 2556 10 9 32 72
Clostridium_sp_61482 2346 11 8 66 69
Escherichia_coli_58110 1953 27 20 56 63
Bifidobacterium_bifidum_55065 1891 13 9 154 62
Coprococcus_eutactus_61480 1830 8 5 99 61
Bacteroides_eggerthii_54457 1770 9 6 108 60
Bacteroides_clarus_62282 1176 8 6 106 49
Clostridiales_bacterium_52743 1128 13 12 16 48
Coprobacter_fastidiosus_56550 1081 12 10 23 47
Bacteroides_coprocola_61586 990 4 4 0 45
Butyrivibrio_crossotus_61674 946 6 6 7 44
Bacteroides_intestinalis_61596 780 12 10 8 40
Desulfovibrio_piger_61475 780 6 4 74 40
Butyricimonas_virosa_58742 741 16 11 20 39
Alistipes_sp_59510 666 12 12 0 37
Clostridium_nexile_61654 561 8 7 1 34
Bacteroides_salyersiae_54873 496 12 9 12 32
Parabacteroides_johnsonii_55217 435 8 6 28 30
Alistipes_senegalensis_58364 406 10 6 18 29
Bacteroides_fragilis_56548 406 5 5 0 29
Lactobacillus_ruminis_57020 378 5 4 54 28
Alistipes_indistinctus_62207 351 12 10 12 27
Clostridium_hathewayi_55515 351 3 3 0 27
Eubacterium_biforme_61684 351 4 4 0 27
Megamonas_hypermegale_57114 325 6 4 23 26
Clostridium_bolteae_57158 300 5 5 0 25
Subdoligranulum_sp_62068 276 13 8 19 24
Streptococcus_thermophilus_54772 253 14 12 7 23
Eggerthella_lenta_56463 231 6 4 27 22
Collinsella_sp_62205 171 4 3 48 19
Bifidobacterium_catenulatum_58257 136 5 5 0 17
