sample1 sample2 subject1 subject2 hh1 hh2 species shared
XLA-001 XLB-001 XLA XLB XL XL Akkermansia_muciniphila_55290 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ Akkermansia_muciniphila_55290 FALSE
XTA-001 XTB-001 XTA XTB XT XT Akkermansia_muciniphila_55290 FALSE
YAC-001 YAD-001 YAC YAD YA YA Akkermansia_muciniphila_55290 FALSE
YBB-029 YBC-001 YBB YBC YB YB Akkermansia_muciniphila_55290 TRUE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Akkermansia_muciniphila_55290 TRUE
XCA-001 XCB-001 XCA XCB XC XC Alistipes_finegoldii_56071 TRUE
YCA-001 YCB-001 YCA YCB YC YC Alistipes_finegoldii_56071 TRUE
ZAA-002 ZAB-002 ZAA ZAB ZA ZA Alistipes_finegoldii_56071 FALSE
ZDA-001 ZDB-001 ZDA ZDB ZD ZD Alistipes_finegoldii_56071 FALSE
XFA-001 XFB-001 XFA XFB XF XF Alistipes_onderdonkii_55464 FALSE
XGA-001 XGB-001 XGA XGB XG XG Alistipes_onderdonkii_55464 TRUE
XGA-001 XGC-001 XGA XGC XG XG Alistipes_onderdonkii_55464 FALSE
XGB-001 XGC-001 XGB XGC XG XG Alistipes_onderdonkii_55464 FALSE
YBA-004 YBB-029 YBA YBB YB YB Alistipes_onderdonkii_55464 TRUE
YBA-004 YBC-001 YBA YBC YB YB Alistipes_onderdonkii_55464 FALSE
YBB-029 YBC-001 YBB YBC YB YB Alistipes_onderdonkii_55464 FALSE
ZDA-001 ZDB-001 ZDA ZDB ZD ZD Alistipes_onderdonkii_55464 FALSE
ZEA-001 ZEC-001 ZEA ZEC ZE ZE Alistipes_onderdonkii_55464 FALSE
XCA-001 XCB-001 XCA XCB XC XC Alistipes_putredinis_61533 FALSE
XDA-001 XDB-001 XDA XDB XD XD Alistipes_putredinis_61533 FALSE
XEA-001 XEB-001 XEA XEB XE XE Alistipes_putredinis_61533 FALSE
XFA-001 XFB-001 XFA XFB XF XF Alistipes_putredinis_61533 TRUE
XGA-001 XGB-001 XGA XGB XG XG Alistipes_putredinis_61533 TRUE
XGA-001 XGC-001 XGA XGC XG XG Alistipes_putredinis_61533 FALSE
XGB-001 XGC-001 XGB XGC XG XG Alistipes_putredinis_61533 FALSE
XIA-002 XIB-002 XIA XIB XI XI Alistipes_putredinis_61533 TRUE
XIA-002 XIC-008 XIA XIC XI XI Alistipes_putredinis_61533 FALSE
XIB-002 XIC-008 XIB XIC XI XI Alistipes_putredinis_61533 FALSE
XLA-001 XLB-001 XLA XLB XL XL Alistipes_putredinis_61533 FALSE
XPA-002 XPB-008 XPA XPB XP XP Alistipes_putredinis_61533 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ Alistipes_putredinis_61533 FALSE
XUA-001 XUB-001 XUA XUB XU XU Alistipes_putredinis_61533 FALSE
YBA-004 YBB-029 YBA YBB YB YB Alistipes_putredinis_61533 FALSE
YBA-004 YBC-001 YBA YBC YB YB Alistipes_putredinis_61533 FALSE
YBB-029 YBC-001 YBB YBC YB YB Alistipes_putredinis_61533 TRUE
YEA-004 YEB-001 YEA YEB YE YE Alistipes_putredinis_61533 FALSE
YEA-004 YEC-005 YEA YEC YE YE Alistipes_putredinis_61533 FALSE
YEB-001 YEC-005 YEB YEC YE YE Alistipes_putredinis_61533 FALSE
YFA-002 YFC-064 YFA YFC YF YF Alistipes_putredinis_61533 TRUE
ZAA-002 ZAC-263 ZAA ZAC ZA ZA Alistipes_putredinis_61533 TRUE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Alistipes_putredinis_61533 TRUE
ZEA-001 ZEC-001 ZEA ZEC ZE ZE Alistipes_putredinis_61533 FALSE
XCA-001 XCB-001 XCA XCB XC XC Alistipes_shahii_62199 FALSE
XDA-001 XDB-001 XDA XDB XD XD Alistipes_shahii_62199 FALSE
XFA-001 XFB-001 XFA XFB XF XF Alistipes_shahii_62199 FALSE
XIA-002 XIC-008 XIA XIC XI XI Alistipes_shahii_62199 FALSE
XNA-001 XNB-001 XNA XNB XN XN Alistipes_shahii_62199 FALSE
XTA-001 XTB-001 XTA XTB XT XT Alistipes_shahii_62199 FALSE
XUA-001 XUB-001 XUA XUB XU XU Alistipes_shahii_62199 FALSE
YAB-001 YAC-001 YAB YAC YA YA Alistipes_shahii_62199 FALSE
YAB-001 YAD-001 YAB YAD YA YA Alistipes_shahii_62199 FALSE
YAC-001 YAD-001 YAC YAD YA YA Alistipes_shahii_62199 FALSE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Alistipes_shahii_62199 TRUE
ZEA-001 ZEC-001 ZEA ZEC ZE ZE Alistipes_shahii_62199 FALSE
XBA-001 XBB-001 XBA XBB XB XB Anaerostipes_hadrus_55206 FALSE
