sample1 sample2 subject1 subject2 hh1 hh2 keyTimepoint species shared
XDA-064 XDB-064 XDA XDB XD XD final Akkermansia_muciniphila_55290 TRUE
XEA-064 XEB-064 XEA XEB XE XE final Akkermansia_muciniphila_55290 FALSE
XLA-001 XLB-001 XLA XLB XL XL initial Akkermansia_muciniphila_55290 TRUE
XLA-036 XLB-036 XLA XLB XL XL post-abx Akkermansia_muciniphila_55290 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ initial Akkermansia_muciniphila_55290 FALSE
XTA-001 XTB-001 XTA XTB XT XT initial Akkermansia_muciniphila_55290 FALSE
XTA-029 XTB-028 XTA XTB XT XT pre-abx Akkermansia_muciniphila_55290 FALSE
XTA-064 XTB-065 XTA XTB XT XT final Akkermansia_muciniphila_55290 FALSE
XVA-036 XVB-036 XVA XVB XV XV post-abx Akkermansia_muciniphila_55290 FALSE
XVA-064 XVB-064 XVA XVB XV XV final Akkermansia_muciniphila_55290 FALSE
XCA-001 XCB-001 XCA XCB XC XC initial Alistipes_finegoldii_56071 TRUE
XCA-036 XCB-036 XCA XCB XC XC post-abx Alistipes_finegoldii_56071 TRUE
XFA-029 XFB-029 XFA XFB XF XF pre-abx Alistipes_finegoldii_56071 FALSE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Alistipes_finegoldii_56071 TRUE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Alistipes_onderdonkii_55464 TRUE
XEA-064 XEB-064 XEA XEB XE XE final Alistipes_onderdonkii_55464 FALSE
XFA-001 XFB-001 XFA XFB XF XF initial Alistipes_onderdonkii_55464 FALSE
XFA-029 XFB-029 XFA XFB XF XF pre-abx Alistipes_onderdonkii_55464 TRUE
XGA-001 XGB-001 XGA XGB XG XG initial Alistipes_onderdonkii_55464 TRUE
XGA-001 XGC-001 XGA XGC XG XG initial Alistipes_onderdonkii_55464 FALSE
XGA-029 XGB-029 XGA XGB XG XG pre-abx Alistipes_onderdonkii_55464 TRUE
XGA-029 XGC-029 XGA XGC XG XG pre-abx Alistipes_onderdonkii_55464 FALSE
XGA-036 XGB-036 XGA XGB XG XG post-abx Alistipes_onderdonkii_55464 TRUE
XGA-036 XGC-037 XGA XGC XG XG post-abx Alistipes_onderdonkii_55464 FALSE
XGA-064 XGB-064 XGA XGB XG XG final Alistipes_onderdonkii_55464 TRUE
XGA-064 XGC-064 XGA XGC XG XG final Alistipes_onderdonkii_55464 FALSE
XGB-001 XGC-001 XGB XGC XG XG initial Alistipes_onderdonkii_55464 FALSE
