species bait numPrivateSNPsTotal
Acidaminococcus_intestini_54097 XNB-001 232
Acidaminococcus_intestini_54097 XNB-064 290
Acidaminococcus_intestini_54097 XQA-001 39
Acidaminococcus_intestini_54097 XQB-029 68
Acidaminococcus_intestini_54097 XUB-130 1625
Acidaminococcus_intestini_54097 ZAB-002 36
Acidaminococcus_intestini_54097 ZAB-064 209
Akkermansia_muciniphila_55290 XBB-380 778
Akkermansia_muciniphila_55290 XCA-008 896
Akkermansia_muciniphila_55290 XCA-015 1000
Akkermansia_muciniphila_55290 XCA-024 1096
Akkermansia_muciniphila_55290 XCA-025 790
Akkermansia_muciniphila_55290 XCA-029 903
Akkermansia_muciniphila_55290 XCA-037 1043
Akkermansia_muciniphila_55290 XCA-038 1063
Akkermansia_muciniphila_55290 XCA-039 985
Akkermansia_muciniphila_55290 XCA-040 984
Akkermansia_muciniphila_55290 XCA-044 1113
Akkermansia_muciniphila_55290 XCA-064 942
Akkermansia_muciniphila_55290 XCA-258 1094
Akkermansia_muciniphila_55290 XDA-039 613
Akkermansia_muciniphila_55290 XDA-050 793
Akkermansia_muciniphila_55290 XDA-064 648
Akkermansia_muciniphila_55290 XDA-268 704
Akkermansia_muciniphila_55290 XDA-330 610
Akkermansia_muciniphila_55290 XDA-706 648
Akkermansia_muciniphila_55290 XDB-064 554
Akkermansia_muciniphila_55290 XDB-267 755
Akkermansia_muciniphila_55290 XDB-330 694
Akkermansia_muciniphila_55290 XDB-417 679
Akkermansia_muciniphila_55290 XDB-458 646
Akkermansia_muciniphila_55290 XDB-591 727
Akkermansia_muciniphila_55290 XDB-816 767
Akkermansia_muciniphila_55290 XEA-023 932
Akkermansia_muciniphila_55290 XEA-024 873
Akkermansia_muciniphila_55290 XEA-025 850
Akkermansia_muciniphila_55290 XEA-029 741
Akkermansia_muciniphila_55290 XEA-037 926
Akkermansia_muciniphila_55290 XEA-038 992
Akkermansia_muciniphila_55290 XEA-039 965
Akkermansia_muciniphila_55290 XEA-040 964
Akkermansia_muciniphila_55290 XEA-043 994
Akkermansia_muciniphila_55290 XEA-050 1022
Akkermansia_muciniphila_55290 XEA-064 966
Akkermansia_muciniphila_55290 XEB-001 476
Akkermansia_muciniphila_55290 XEB-064 443
Akkermansia_muciniphila_55290 XGB-001 703
Akkermansia_muciniphila_55290 XGB-029 900
Akkermansia_muciniphila_55290 XGB-252 1257
Akkermansia_muciniphila_55290 XGB-428 1060
Akkermansia_muciniphila_55290 XHB-036 525
Akkermansia_muciniphila_55290 XLA-001 800
Akkermansia_muciniphila_55290 XLA-026 922
Akkermansia_muciniphila_55290 XLA-029 1034
Akkermansia_muciniphila_55290 XLA-030 752
Akkermansia_muciniphila_55290 XLA-032 1058
Akkermansia_muciniphila_55290 XLA-033 897
Akkermansia_muciniphila_55290 XLA-034 994
Akkermansia_muciniphila_55290 XLA-036 1031
Akkermansia_muciniphila_55290 XLA-043 911
Akkermansia_muciniphila_55290 XLB-001 952
Akkermansia_muciniphila_55290 XLB-036 1052
Akkermansia_muciniphila_55290 XLB-172 1041
Akkermansia_muciniphila_55290 XNB-001 1206
Akkermansia_muciniphila_55290 XNB-029 1247
Akkermansia_muciniphila_55290 XOA-025 571
Akkermansia_muciniphila_55290 XOA-050 457
Akkermansia_muciniphila_55290 XOA-057 540
Akkermansia_muciniphila_55290 XPB-028 583
Akkermansia_muciniphila_55290 XPB-036 561
Akkermansia_muciniphila_55290 XPB-063 580
Akkermansia_muciniphila_55290 XQA-001 527
Akkermansia_muciniphila_55290 XQA-022 471
Akkermansia_muciniphila_55290 XQA-029 574
Akkermansia_muciniphila_55290 XQA-036 556
Akkermansia_muciniphila_55290 XQA-037 562
Akkermansia_muciniphila_55290 XQA-039 508
Akkermansia_muciniphila_55290 XQA-040 551
Akkermansia_muciniphila_55290 XQA-244 501
Akkermansia_muciniphila_55290 XQA-532 563
Akkermansia_muciniphila_55290 XQB-001 631
Akkermansia_muciniphila_55290 XQB-064 621
Akkermansia_muciniphila_55290 XTA-001 505
Akkermansia_muciniphila_55290 XTA-016 593
Akkermansia_muciniphila_55290 XTA-023 467
Akkermansia_muciniphila_55290 XTA-026 600
Akkermansia_muciniphila_55290 XTA-028 632
Akkermansia_muciniphila_55290 XTA-029 567
Akkermansia_muciniphila_55290 XTA-039 566
Akkermansia_muciniphila_55290 XTA-042 651
Akkermansia_muciniphila_55290 XTA-064 553
Akkermansia_muciniphila_55290 XTB-001 621
Akkermansia_muciniphila_55290 XTB-028 691
Akkermansia_muciniphila_55290 XTB-038 597
Akkermansia_muciniphila_55290 XTB-065 570
Akkermansia_muciniphila_55290 XVA-001 586
Akkermansia_muciniphila_55290 XVA-009 609
Akkermansia_muciniphila_55290 XVA-015 595
Akkermansia_muciniphila_55290 XVA-022 591
Akkermansia_muciniphila_55290 XVA-023 590
Akkermansia_muciniphila_55290 XVA-024 629
Akkermansia_muciniphila_55290 XVA-027 620
Akkermansia_muciniphila_55290 XVA-029 592
Akkermansia_muciniphila_55290 XVA-030 652
Akkermansia_muciniphila_55290 XVA-031 671
Akkermansia_muciniphila_55290 XVA-032 693
Akkermansia_muciniphila_55290 XVA-033 571
Akkermansia_muciniphila_55290 XVA-034 642
Akkermansia_muciniphila_55290 XVA-035 559
Akkermansia_muciniphila_55290 XVA-036 633
Akkermansia_muciniphila_55290 XVA-041 705
Akkermansia_muciniphila_55290 XVA-050 685
Akkermansia_muciniphila_55290 XVA-057 621
Akkermansia_muciniphila_55290 XVA-064 563
Akkermansia_muciniphila_55290 XVA-129 563
Akkermansia_muciniphila_55290 XVA-216 615
Akkermansia_muciniphila_55290 XVA-309 710
Akkermansia_muciniphila_55290 XVA-398 695
Akkermansia_muciniphila_55290 XVA-617 611
Akkermansia_muciniphila_55290 XVB-036 773
Akkermansia_muciniphila_55290 XVB-064 786
Akkermansia_muciniphila_55290 XVB-129 755
Akkermansia_muciniphila_55290 YAC-001 481
Akkermansia_muciniphila_55290 YAC-064 553
Akkermansia_muciniphila_55290 YAD-001 719
Akkermansia_muciniphila_55290 YAD-064 767
Akkermansia_muciniphila_55290 YBB-029 523
Akkermansia_muciniphila_55290 YBB-050 574
Akkermansia_muciniphila_55290 YBC-001 600
Akkermansia_muciniphila_55290 YBC-043 587
Akkermansia_muciniphila_55290 YBC-260 598
Akkermansia_muciniphila_55290 YBC-435 660
Akkermansia_muciniphila_55290 ZCA-001 482
Akkermansia_muciniphila_55290 ZCA-064 572
Akkermansia_muciniphila_55290 ZCA-260 636
Akkermansia_muciniphila_55290 ZCA-323 605
Akkermansia_muciniphila_55290 ZCB-001 561
Akkermansia_muciniphila_55290 ZCB-064 605
Akkermansia_muciniphila_55290 ZCB-261 571
Akkermansia_muciniphila_55290 ZCB-323 586
Akkermansia_muciniphila_55290 ZDA-413 815
