,median_freq,time,25th_Percentile,75th_Percentile,diversity,median_depth,relative_abundance
HouseholdTransmission-Stool-XFA-001,0.0697,1,0.0362,0.114,0.00020195778390002836,267.0,0.18919258065400002
HouseholdTransmission-Stool-XFA-008,0.0833,8,0.0377,0.146,0.0008697625095368263,52.0,0.266673558127
HouseholdTransmission-Stool-XFA-015,0.025,15,0.0,0.0588,6.923481680467474e-05,42.0,0.270468595715
HouseholdTransmission-Stool-XFA-022,0.0541,22,0.0204,0.10599999999999993,0.00037030186921341513,42.0,0.238455913705
HouseholdTransmission-Stool-XFA-023,0.0417,23,0.0,0.0833,0.00016912966271193382,46.0,0.282592392352
HouseholdTransmission-Stool-XFA-024,0.0562,24,0.025,0.0988,0.00019859869237398822,75.0,0.259555484261
HouseholdTransmission-Stool-XFA-025,0.0556,25,0.0222,0.102,0.00024251185311298384,60.0,0.216352345224
HouseholdTransmission-Stool-XFA-026,0.071,26,0.0365,0.115,0.00020630971459632328,148.0,0.368088726466
HouseholdTransmission-Stool-XFA-027,0.0488,27,0.0217,0.087,9.514520126968402e-05,78.0,0.214572385395
HouseholdTransmission-Stool-XFA-028,0.0612,28,0.0238,0.114,0.0004244980893629799,46.0,0.122658347487
HouseholdTransmission-Stool-XFA-029,0.0444,29,0.0216,0.0774,2.927529598214365e-05,219.0,0.14996402798
HouseholdTransmission-Stool-XFA-030,0.1,30,0.04,0.1879999999999999,0.0016559435535112492,24.0,0.116985235946
HouseholdTransmission-Stool-XFA-033,1.0,33,1.0,1.0,1.9059765866659467e-05,16.0,0.09780882378039998
HouseholdTransmission-Stool-XFA-034,1.0,34,1.0,1.0,1.2098930375217583e-05,61.0,0.176268554187
HouseholdTransmission-Stool-XFA-035,1.0,35,1.0,1.0,1.0905644364954416e-05,83.0,0.297349516426
HouseholdTransmission-Stool-XFA-036,0.955,36,0.919,0.976,0.00021902925361065652,130.0,0.370649401607
HouseholdTransmission-Stool-XFA-038,0.846,38,0.737,0.915,0.0027846093747987107,25.0,0.35665544232699997
HouseholdTransmission-Stool-XFA-039,0.6829999999999999,39,0.528,0.7879999999999999,0.005689372231295229,35.0,0.251165923096
HouseholdTransmission-Stool-XFA-040,0.5670000000000001,40,0.4,0.7,0.006263069909385919,23.0,0.37438070475999996
HouseholdTransmission-Stool-XFA-044,0.33299999999999996,44,0.195,0.467,0.005458848067534947,33.0,0.2511378997
HouseholdTransmission-Stool-XFA-050,0.71,50,0.568,0.8140000000000001,0.0051101958377061845,30.0,0.25250187885200004
HouseholdTransmission-Stool-XFA-057,0.525,57,0.364,0.6559999999999999,0.006675742796563731,34.0,0.268959995206
HouseholdTransmission-Stool-XFA-064,0.42100000000000004,64,0.27425,0.5539999999999999,0.006383703861653252,297.0,0.401343109537
