subject timepoint strain species_id relative_abundance strainFreq strainRelativeAbundance
XBA 1 strain1 Bacteroides_vulgatus_57955 0.264382803512 0.4065 0.107471609627628
XBA 1 strain2 Bacteroides_vulgatus_57955 0.264382803512 0.5935 0.156911193884372
XBA 1 strain3 Bacteroides_vulgatus_57955 0.264382803512 0 0
XBA 1 strain4 Bacteroides_vulgatus_57955 0.264382803512 0 0
XBA 1 strainUnknown Bacteroides_vulgatus_57955 0.264382803512 0 0
XBA 8 strain1 Bacteroides_vulgatus_57955 0.133273895973 0.732 0.097556491852236
XBA 8 strain2 Bacteroides_vulgatus_57955 0.133273895973 0.268 0.035717404120764
XBA 8 strain3 Bacteroides_vulgatus_57955 0.133273895973 0 0
XBA 8 strain4 Bacteroides_vulgatus_57955 0.133273895973 0 0
XBA 8 strainUnknown Bacteroides_vulgatus_57955 0.133273895973 0 0
XBA 15 strain1 Bacteroides_vulgatus_57955 0.139899417511 0.577 0.080721963903847
XBA 15 strain2 Bacteroides_vulgatus_57955 0.139899417511 0.423 0.059177453607153
XBA 15 strain3 Bacteroides_vulgatus_57955 0.139899417511 0 0
XBA 15 strain4 Bacteroides_vulgatus_57955 0.139899417511 0 0
XBA 15 strainUnknown Bacteroides_vulgatus_57955 0.139899417511 0 0
XBA 22 strain1 Bacteroides_vulgatus_57955 0.0820397660872 0.8415 0.0690364631623788
XBA 22 strain2 Bacteroides_vulgatus_57955 0.0820397660872 0.1585 0.0130033029248212
XBA 22 strain3 Bacteroides_vulgatus_57955 0.0820397660872 0 0
XBA 22 strain4 Bacteroides_vulgatus_57955 0.0820397660872 0 0
XBA 22 strainUnknown Bacteroides_vulgatus_57955 0.0820397660872 0 0
XBA 23 strain1 Bacteroides_vulgatus_57955 0.117145463224 0.8465 0.099163634619116
XBA 23 strain2 Bacteroides_vulgatus_57955 0.117145463224 0.1535 0.017981828604884
XBA 23 strain3 Bacteroides_vulgatus_57955 0.117145463224 0 0
XBA 23 strain4 Bacteroides_vulgatus_57955 0.117145463224 0 0
XBA 23 strainUnknown Bacteroides_vulgatus_57955 0.117145463224 0 0
XBA 24 strain1 Bacteroides_vulgatus_57955 0.126643951168 0.6515 0.082508534185952
XBA 24 strain2 Bacteroides_vulgatus_57955 0.126643951168 0.3485 0.044135416982048
XBA 24 strain3 Bacteroides_vulgatus_57955 0.126643951168 0 0
XBA 24 strain4 Bacteroides_vulgatus_57955 0.126643951168 0 0
XBA 24 strainUnknown Bacteroides_vulgatus_57955 0.126643951168 0 0
XBA 25 strain1 Bacteroides_vulgatus_57955 0.0798335047869 0.773 0.0617112992002737
XBA 25 strain2 Bacteroides_vulgatus_57955 0.0798335047869 0.227 0.0181222055866263
XBA 25 strain3 Bacteroides_vulgatus_57955 0.0798335047869 0 0
XBA 25 strain4 Bacteroides_vulgatus_57955 0.0798335047869 0 0
XBA 25 strainUnknown Bacteroides_vulgatus_57955 0.0798335047869 0 0
XBA 26 strain1 Bacteroides_vulgatus_57955 0.109043056602 0.5175 0.056429781791535
XBA 26 strain2 Bacteroides_vulgatus_57955 0.109043056602 0.4825 0.052613274810465
XBA 26 strain3 Bacteroides_vulgatus_57955 0.109043056602 0 0
XBA 26 strain4 Bacteroides_vulgatus_57955 0.109043056602 0 0
XBA 26 strainUnknown Bacteroides_vulgatus_57955 0.109043056602 0 0
XBA 27 strain1 Bacteroides_vulgatus_57955 0.0828279251678 0.5695 0.0471705033830621
XBA 27 strain2 Bacteroides_vulgatus_57955 0.0828279251678 0.4305 0.0356574217847379
XBA 27 strain3 Bacteroides_vulgatus_57955 0.0828279251678 0 0
XBA 27 strain4 Bacteroides_vulgatus_57955 0.0828279251678 0 0
XBA 27 strainUnknown Bacteroides_vulgatus_57955 0.0828279251678 0 0
XBA 28 strain1 Bacteroides_vulgatus_57955 0.107819278769 0.4085 0.0440441753771365
XBA 28 strain2 Bacteroides_vulgatus_57955 0.107819278769 0.5915 0.0637751033918635
XBA 28 strain3 Bacteroides_vulgatus_57955 0.107819278769 0 0
XBA 28 strain4 Bacteroides_vulgatus_57955 0.107819278769 0 0
XBA 28 strainUnknown Bacteroides_vulgatus_57955 0.107819278769 0 0
XBA 29 strain1 Bacteroides_vulgatus_57955 0.190933610176 0.57 0.10883215780032
XBA 29 strain2 Bacteroides_vulgatus_57955 0.190933610176 0.43 0.08210145237568
XBA 29 strain3 Bacteroides_vulgatus_57955 0.190933610176 0 0
XBA 29 strain4 Bacteroides_vulgatus_57955 0.190933610176 0 0
XBA 29 strainUnknown Bacteroides_vulgatus_57955 0.190933610176 0 0
XBA 30 strain1 Bacteroides_vulgatus_57955 0.100151602834 0.602 0.060291264906068
XBA 30 strain2 Bacteroides_vulgatus_57955 0.100151602834 0.398 0.039860337927932
XBA 30 strain3 Bacteroides_vulgatus_57955 0.100151602834 0 0
XBA 30 strain4 Bacteroides_vulgatus_57955 0.100151602834 0 0
XBA 30 strainUnknown Bacteroides_vulgatus_57955 0.100151602834 0 0
XBA 36 strain1 Bacteroides_vulgatus_57955 3.40431422393e-05 0 0
XBA 36 strain2 Bacteroides_vulgatus_57955 3.40431422393e-05 0 0
XBA 36 strain3 Bacteroides_vulgatus_57955 3.40431422393e-05 0 0
XBA 36 strain4 Bacteroides_vulgatus_57955 3.40431422393e-05 0 0
XBA 36 strainUnknown Bacteroides_vulgatus_57955 3.40431422393e-05 0 3.40431422393e-05
XBA 37 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 37 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 37 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 37 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 37 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 39 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 39 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 39 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 39 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 39 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 40 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 40 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 40 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 40 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 40 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 41 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 41 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 41 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 41 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 41 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 42 strain1 Bacteroides_vulgatus_57955 0 0 0
XBA 42 strain2 Bacteroides_vulgatus_57955 0 0 0
XBA 42 strain3 Bacteroides_vulgatus_57955 0 0 0
XBA 42 strain4 Bacteroides_vulgatus_57955 0 0 0
XBA 42 strainUnknown Bacteroides_vulgatus_57955 0 0 0
XBA 44 strain1 Bacteroides_vulgatus_57955 0 0 0
