subject timepoint strain species_id relative_abundance strainFreq strainRelativeAbundance
XBA 1 strain1 Bifidobacterium_longum_57796 0.00356961618912 1 0.00356961618912
XBA 1 strain2 Bifidobacterium_longum_57796 0.00356961618912 0 0
XBA 1 strainUnknown Bifidobacterium_longum_57796 0.00356961618912 0 0
XBA 8 strain1 Bifidobacterium_longum_57796 0.0214919655998 1 0.0214919655998
XBA 8 strain2 Bifidobacterium_longum_57796 0.0214919655998 0 0
XBA 8 strainUnknown Bifidobacterium_longum_57796 0.0214919655998 0 0
XBA 15 strain1 Bifidobacterium_longum_57796 0.0776318412038 1 0.0776318412038
XBA 15 strain2 Bifidobacterium_longum_57796 0.0776318412038 0 0
XBA 15 strainUnknown Bifidobacterium_longum_57796 0.0776318412038 0 0
XBA 22 strain1 Bifidobacterium_longum_57796 0.0179109004814 0 0
XBA 22 strain2 Bifidobacterium_longum_57796 0.0179109004814 0 0
XBA 22 strainUnknown Bifidobacterium_longum_57796 0.0179109004814 0 0.0179109004814
XBA 23 strain1 Bifidobacterium_longum_57796 0.0457198576787 1 0.0457198576787
XBA 23 strain2 Bifidobacterium_longum_57796 0.0457198576787 0 0
XBA 23 strainUnknown Bifidobacterium_longum_57796 0.0457198576787 0 0
XBA 24 strain1 Bifidobacterium_longum_57796 0.0188671267394 1 0.0188671267394
XBA 24 strain2 Bifidobacterium_longum_57796 0.0188671267394 0 0
XBA 24 strainUnknown Bifidobacterium_longum_57796 0.0188671267394 0 0
XBA 25 strain1 Bifidobacterium_longum_57796 0.0445107073501 1 0.0445107073501
XBA 25 strain2 Bifidobacterium_longum_57796 0.0445107073501 0 0
XBA 25 strainUnknown Bifidobacterium_longum_57796 0.0445107073501 0 0
XBA 26 strain1 Bifidobacterium_longum_57796 0.0405951788467 1 0.0405951788467
XBA 26 strain2 Bifidobacterium_longum_57796 0.0405951788467 0 0
XBA 26 strainUnknown Bifidobacterium_longum_57796 0.0405951788467 0 0
XBA 27 strain1 Bifidobacterium_longum_57796 0.0199946638572 1 0.0199946638572
XBA 27 strain2 Bifidobacterium_longum_57796 0.0199946638572 0 0
XBA 27 strainUnknown Bifidobacterium_longum_57796 0.0199946638572 0 0
XBA 28 strain1 Bifidobacterium_longum_57796 0.0338121416252 1 0.0338121416252
XBA 28 strain2 Bifidobacterium_longum_57796 0.0338121416252 0 0
XBA 28 strainUnknown Bifidobacterium_longum_57796 0.0338121416252 0 0
XBA 29 strain1 Bifidobacterium_longum_57796 0.0118802436616 1 0.0118802436616
XBA 29 strain2 Bifidobacterium_longum_57796 0.0118802436616 0 0
XBA 29 strainUnknown Bifidobacterium_longum_57796 0.0118802436616 0 0
XBA 30 strain1 Bifidobacterium_longum_57796 0.0355460525102 1 0.0355460525102
XBA 30 strain2 Bifidobacterium_longum_57796 0.0355460525102 0 0
XBA 30 strainUnknown Bifidobacterium_longum_57796 0.0355460525102 0 0
XBA 36 strain1 Bifidobacterium_longum_57796 0 0 0
XBA 36 strain2 Bifidobacterium_longum_57796 0 0 0
XBA 36 strainUnknown Bifidobacterium_longum_57796 0 0 0
XBA 37 strain1 Bifidobacterium_longum_57796 0 0 0
XBA 37 strain2 Bifidobacterium_longum_57796 0 0 0
