sample annotationSample annotation numSpecies totRelAbundance
XAA-002 XAA-002 speciesNotShared 69 0.0127257610397546
XAA-002 XAA-002 strainsUnknown 30 0.98727423896087
XAA-002 XAA-029 speciesNotShared 60 0.0295092168676475
XAA-002 XAA-029 strainsUnknown 39 0.970490783132977
XAA-002 XAA-036 speciesNotShared 89 0.911082265064729
XAA-002 XAA-036 strainsUnknown 10 0.0889177349358957
XAA-002 XAA-064 speciesNotShared 78 0.775494767097082
XAA-002 XAA-064 strainsUnknown 21 0.224505232903543
XAA-002 XAA-652 speciesNotShared 66 0.229927152377875
XAA-002 XAA-652 strainsUnknown 33 0.770072847622749
XAA-002 XAC-002 speciesNotShared 66 0.233605211997446
XAA-002 XAC-002 strainsNotShared 8 0.5105337099312
XAA-002 XAC-002 strainsShared 1 0.023905773352
XAA-002 XAC-002 strainsUnknown 24 0.231955304719978
XAA-002 XAC-029 speciesNotShared 67 0.232988387638957
XAA-002 XAC-029 strainsNotShared 10 0.51620568206558
XAA-002 XAC-029 strainsShared 1 0.023905773352
XAA-002 XAC-029 strainsUnknown 21 0.226900156944087
XAA-002 XAC-036 speciesNotShared 73 0.267156727935662
XAA-002 XAC-036 strainsNotShared 7 0.50877725748929
XAA-002 XAC-036 strainsShared 1 0.023905773352
XAA-002 XAC-036 strainsUnknown 18 0.200160241223672
XAA-002 XAC-064 speciesNotShared 75 0.239872172644759
XAA-002 XAC-064 strainsNotShared 6 0.50459917409896
XAA-002 XAC-064 strainsShared 1 0.023905773352
XAA-002 XAC-064 strainsUnknown 17 0.231622879904905
XAA-002 XAC-224 speciesNotShared 66 0.230020846529863
XAA-002 XAC-224 strainsNotShared 7 0.50383851683641
XAA-002 XAC-224 strainsShared 1 0.023905773352
XAA-002 XAC-224 strainsUnknown 25 0.242234863282352
XAA-002 XAD-003 speciesNotShared 73 0.537050936763704
XAA-002 XAD-003 strainsNotShared 8 0.38059580497505
XAA-002 XAD-003 strainsUnknown 18 0.0823532582618708
XAA-002 XAD-029 speciesNotShared 70 0.39933670308803
XAA-002 XAD-029 strainsNotShared 7 0.47009690161548
XAA-002 XAD-029 strainsUnknown 22 0.130566395297115
XAA-002 XAD-036 speciesNotShared 73 0.536575651639767
XAA-002 XAD-036 strainsNotShared 7 0.379101916231
XAA-002 XAD-036 strainsUnknown 19 0.084322432129858
XAA-002 XAD-063 speciesNotShared 69 0.535354796494299
XAA-002 XAD-063 strainsNotShared 7 0.37846524630909
XAA-002 XAD-063 strainsUnknown 23 0.0861799571972353
XAA-002 XAD-225 speciesNotShared 72 0.397463879302902
XAA-002 XAD-225 strainsNotShared 7 0.37602466363731
XAA-002 XAD-225 strainsUnknown 20 0.226511457060413
XAA-029 XAA-002 speciesNotShared 65 0.0494763891831853
XAA-029 XAA-002 strainsUnknown 28 0.95052361081724
XAA-029 XAA-029 speciesNotShared 53 0.0172672315706753
XAA-029 XAA-029 strainsUnknown 40 0.98273276842975
XAA-029 XAA-036 speciesNotShared 83 0.905874712904091
XAA-029 XAA-036 strainsUnknown 10 0.094125287096334
XAA-029 XAA-064 speciesNotShared 75 0.894031752153627
XAA-029 XAA-064 strainsUnknown 18 0.105968247846798
XAA-029 XAA-652 speciesNotShared 68 0.656665875269472
XAA-029 XAA-652 strainsUnknown 25 0.343334124730954
XAA-029 XAC-002 speciesNotShared 66 0.154063760226822
XAA-029 XAC-002 strainsNotShared 2 0.2191808487619
XAA-029 XAC-002 strainsUnknown 25 0.626755391011704
XAA-029 XAC-029 speciesNotShared 64 0.147337526388174
XAA-029 XAC-029 strainsNotShared 3 0.2482373452037
XAA-029 XAC-029 strainsUnknown 26 0.604425128408552
XAA-029 XAC-036 speciesNotShared 70 0.245332626604176
XAA-029 XAC-036 strainsNotShared 3 0.2482373452037
XAA-029 XAC-036 strainsUnknown 20 0.506430028192549
XAA-029 XAC-064 speciesNotShared 72 0.166900436167994
XAA-029 XAC-064 strainsNotShared 2 0.2191808487619
XAA-029 XAC-064 strainsUnknown 19 0.613918715070531
XAA-029 XAC-224 speciesNotShared 65 0.155883285803635
XAA-029 XAC-224 strainsNotShared 3 0.2482373452037
XAA-029 XAC-224 strainsUnknown 25 0.595879368993091
XAA-029 XAD-003 speciesNotShared 72 0.736817188923202
XAA-029 XAD-003 strainsNotShared 1 0.180284273219
XAA-029 XAD-003 strainsUnknown 20 0.0828985378582236
XAA-029 XAD-029 speciesNotShared 68 0.679680247368612
XAA-029 XAD-029 strainsNotShared 2 0.2191808487619
XAA-029 XAD-029 strainsUnknown 23 0.101138903869914
XAA-029 XAD-036 speciesNotShared 70 0.735605476848683
XAA-029 XAD-036 strainsNotShared 1 0.180284273219
XAA-029 XAD-036 strainsUnknown 22 0.0841102499327426
XAA-029 XAD-063 speciesNotShared 70 0.737526132587925
XAA-029 XAD-063 strainsNotShared 1 0.180284273219
XAA-029 XAD-063 strainsUnknown 22 0.0821895941935006
XAA-029 XAD-225 speciesNotShared 68 0.676202266182185
XAA-029 XAD-225 strainsNotShared 1 0.180284273219
XAA-029 XAD-225 strainsUnknown 24 0.143513460599241
XAA-036 XAA-002 speciesNotShared 58 0.10496248388404
XAA-036 XAA-002 strainsUnknown 13 0.895037516115061
XAA-036 XAA-029 speciesNotShared 49 0.0871845870811392
XAA-036 XAA-029 strainsUnknown 22 0.912815412917962
XAA-036 XAA-036 speciesNotShared 50 0.0109644576172216
XAA-036 XAA-036 strainsUnknown 21 0.98903554238188
XAA-036 XAA-064 speciesNotShared 53 0.0363836600183839
XAA-036 XAA-064 strainsUnknown 18 0.963616339980718
XAA-036 XAA-652 speciesNotShared 58 0.10566196583032
XAA-036 XAA-652 strainsUnknown 13 0.894338034168782
XAA-036 XAC-002 speciesNotShared 59 0.106523991952658
XAA-036 XAC-002 strainsUnknown 12 0.893476008046444
XAA-036 XAC-029 speciesNotShared 58 0.111761908743601
XAA-036 XAC-029 strainsUnknown 13 0.8882380912555
XAA-036 XAC-036 speciesNotShared 60 0.106854819058789
XAA-036 XAC-036 strainsUnknown 11 0.893145180940313
XAA-036 XAC-064 speciesNotShared 60 0.106854819058789
XAA-036 XAC-064 strainsUnknown 11 0.893145180940313
XAA-036 XAC-224 speciesNotShared 59 0.111946305860647
XAA-036 XAC-224 strainsUnknown 12 0.888053694138454
XAA-036 XAD-003 speciesNotShared 57 0.0932894039496483
XAA-036 XAD-003 strainsUnknown 14 0.906710596049453
XAA-036 XAD-029 speciesNotShared 54 0.0887915321897283
XAA-036 XAD-029 strainsUnknown 17 0.911208467809373
XAA-036 XAD-036 speciesNotShared 55 0.0891534348802023
XAA-036 XAD-036 strainsUnknown 16 0.910846565118899
XAA-036 XAD-063 speciesNotShared 56 0.103539104719522
XAA-036 XAD-063 strainsUnknown 15 0.896460895279579
XAA-036 XAD-225 speciesNotShared 54 0.0878662357486516
XAA-036 XAD-225 strainsUnknown 17 0.91213376425045
XAA-064 XAA-002 speciesNotShared 126 0.232192299812423
XAA-064 XAA-002 strainsUnknown 8 0.767807700186616
XAA-064 XAA-029 speciesNotShared 121 0.536430285401876
XAA-064 XAA-029 strainsUnknown 13 0.463569714597164
XAA-064 XAA-036 speciesNotShared 115 0.518248471045519
XAA-064 XAA-036 strainsUnknown 19 0.481751528953521
XAA-064 XAA-064 speciesNotShared 101 0.00967648932440949
XAA-064 XAA-064 strainsUnknown 33 0.99032351067463
XAA-064 XAA-652 speciesNotShared 116 0.151335774689279
XAA-064 XAA-652 strainsUnknown 18 0.84866422530976
XAA-064 XAC-002 speciesNotShared 121 0.551011061299215
XAA-064 XAC-002 strainsNotShared 1 0.00224643019453
XAA-064 XAC-002 strainsUnknown 12 0.446742508505295
XAA-064 XAC-029 speciesNotShared 125 0.548760541966211
XAA-064 XAC-029 strainsNotShared 2 0.03527846494963
XAA-064 XAC-029 strainsUnknown 7 0.415960993083199
XAA-064 XAC-036 speciesNotShared 125 0.584088711205388
XAA-064 XAC-036 strainsNotShared 1 0.00224643019453
XAA-064 XAC-036 strainsUnknown 8 0.413664858599121
XAA-064 XAC-064 speciesNotShared 127 0.589723637747858
