sample annotationSample annotation numSpecies totRelAbundance
XAA-002 XAA-064 speciesNotShared 78 0.775494767097082
XAA-002 XAA-064 strainsShared 2 0.10404944466286
XAA-002 XAA-064 strainsUnknown 19 0.120455788240683
XAA-064 XAA-002 speciesNotShared 126 0.232192299812423
XAA-064 XAA-002 strainsShared 2 0.36241219654953
XAA-064 XAA-002 strainsUnknown 6 0.405395503637086
XAC-002 XAC-064 speciesNotShared 85 0.0474681753593618
XAC-002 XAC-064 strainsShared 14 0.69924031496904
XAC-002 XAC-064 strainsUnknown 16 0.253291509671908
XAC-064 XAC-002 speciesNotShared 44 0.00847731652397775
XAC-064 XAC-002 strainsShared 14 0.82499709792512
XAC-064 XAC-002 strainsUnknown 27 0.166525585551173
XAD-003 XAD-063 speciesNotShared 35 0.0120024996552772
XAD-003 XAD-063 strainsShared 14 0.90632585564234
XAD-003 XAD-063 strainsUnknown 19 0.0816716447028162
XAD-063 XAD-003 speciesNotShared 41 0.0205642840640518
XAD-063 XAD-003 strainsShared 14 0.89309970486858
XAD-063 XAD-003 strainsUnknown 16 0.0863360110683361
XBA-001 XBA-064 speciesNotShared 90 0.970785850581929
XBA-001 XBA-064 strainsNotShared 1 0.00184747105701
XBA-001 XBA-064 strainsShared 3 0.02037601003451
XBA-001 XBA-064 strainsUnknown 20 0.006990668325976
XBA-064 XBA-001 speciesNotShared 152 0.21810190119091
XBA-064 XBA-001 strainsNotShared 1 0.0661611336806
XBA-064 XBA-001 strainsShared 3 0.6887087886338
XBA-064 XBA-001 strainsUnknown 17 0.0270281764949171
XBB-001 XBB-066 speciesNotShared 97 0.0362986667189283
XBB-001 XBB-066 strainsNotShared 1 0.000885498316633
XBB-001 XBB-066 strainsShared 16 0.84539553521346
XBB-001 XBB-066 strainsUnknown 20 0.117420299750639
XBB-066 XBB-001 speciesNotShared 55 0.0131838666235013
XBB-066 XBB-001 strainsNotShared 1 0.0188915264428
XBB-066 XBB-001 strainsShared 16 0.88205246909044
XBB-066 XBB-001 strainsUnknown 27 0.0858721378433558
XCA-001 XCA-064 speciesNotShared 122 0.191123653160337
XCA-001 XCA-064 strainsShared 29 0.75892663201363
XCA-001 XCA-064 strainsUnknown 17 0.049949714825761
XCA-064 XCA-001 speciesNotShared 81 0.0218870075862966
XCA-064 XCA-001 strainsShared 29 0.92404834621149
XCA-064 XCA-001 strainsUnknown 21 0.054064646202135
XCB-001 XCB-064 speciesNotShared 68 0.0248593072348891
XCB-001 XCB-064 strainsShared 20 0.9210488917214
XCB-001 XCB-064 strainsUnknown 15 0.054091801044677
XCB-064 XCB-001 speciesNotShared 63 0.0164469779397867
XCB-064 XCB-001 strainsShared 20 0.91096288427145
XCB-064 XCB-001 strainsUnknown 19 0.072590137789097
XDA-001 XDA-064 speciesNotShared 93 0.740530041402493
XDA-001 XDA-064 strainsNotShared 2 0.00474275908272
XDA-001 XDA-064 strainsShared 10 0.15944071007789
XDA-001 XDA-064 strainsUnknown 21 0.0952864894366848
XDA-064 XDA-001 speciesNotShared 58 0.0524923076531629
XDA-064 XDA-001 strainsNotShared 2 0.01238383960654
XDA-064 XDA-001 strainsShared 10 0.75137754580355
XDA-064 XDA-001 strainsUnknown 18 0.183746306937287
XDB-001 XDB-064 speciesNotShared 74 0.0256739668689493
XDB-001 XDB-064 strainsShared 25 0.85790820167892
XDB-001 XDB-064 strainsUnknown 22 0.11641783145173
XDB-064 XDB-001 speciesNotShared 83 0.0568156063847525
XDB-064 XDB-001 strainsShared 25 0.82254849622591
XDB-064 XDB-001 strainsUnknown 24 0.120635897388828
XEA-001 XEA-064 speciesNotShared 111 0.631533526660699
XEA-001 XEA-064 strainsNotShared 1 0.00835322966433
XEA-001 XEA-064 strainsShared 3 0.24869334112461
XEA-001 XEA-064 strainsUnknown 20 0.111419902550467
XEA-064 XEA-001 speciesNotShared 60 0.443961298269854
XEA-064 XEA-001 strainsNotShared 1 0.0759271049795
XEA-064 XEA-001 strainsShared 3 0.28813470581925
XEA-064 XEA-001 strainsUnknown 19 0.191976890931011
XEB-001 XEB-064 speciesNotShared 50 0.0107603145881714
XEB-001 XEB-064 strainsShared 32 0.91768090606617
XEB-001 XEB-064 strainsUnknown 21 0.0715587793450191
XEB-064 XEB-001 speciesNotShared 68 0.0283469591831121
XEB-064 XEB-001 strainsShared 32 0.89915796823116
XEB-064 XEB-001 strainsUnknown 16 0.072495072585858
XFA-001 XFA-064 speciesNotShared 82 0.250232909451429
XFA-001 XFA-064 strainsNotShared 1 0.0140320853666
XFA-001 XFA-064 strainsShared 18 0.61869653830042
XFA-001 XFA-064 strainsUnknown 15 0.117038466882125
XFA-064 XFA-001 speciesNotShared 66 0.0112526648999314
XFA-064 XFA-001 strainsNotShared 1 0.0139370705332
XFA-064 XFA-001 strainsShared 18 0.9160331763943
XFA-064 XFA-001 strainsUnknown 22 0.0587770881733131
XFB-001 XFB-064 speciesNotShared 95 0.0397932714639971
XFB-001 XFB-064 strainsShared 28 0.86250667649342
XFB-001 XFB-064 strainsUnknown 25 0.097700052042426
XFB-064 XFB-001 speciesNotShared 65 0.0153776610852194
XFB-064 XFB-001 strainsShared 28 0.91052003422956
XFB-064 XFB-001 strainsUnknown 31 0.074102304684808
XGA-001 XGA-064 speciesNotShared 90 0.107793113108953
XGA-001 XGA-064 strainsShared 23 0.8409564231063
XGA-001 XGA-064 strainsUnknown 17 0.05125046378465
XGA-064 XGA-001 speciesNotShared 74 0.0180892939086157
XGA-064 XGA-001 strainsShared 23 0.87280262593145
XGA-064 XGA-001 strainsUnknown 16 0.109108080159927
XGB-001 XGB-064 speciesNotShared 50 0.00779296042296351
XGB-001 XGB-064 strainsShared 16 0.91461416901359
XGB-001 XGB-064 strainsUnknown 22 0.0775928705633695
XGB-064 XGB-001 speciesNotShared 88 0.0666323819898867
XGB-064 XGB-001 strainsShared 16 0.86824928635415
XGB-064 XGB-001 strainsUnknown 9 0.065118331656107
XGC-001 XGC-064 speciesNotShared 105 0.0244915869083749
XGC-001 XGC-064 strainsNotShared 2 0.00523041598559
XGC-001 XGC-064 strainsShared 30 0.88878020054458
XGC-001 XGC-064 strainsUnknown 23 0.081497796561739
XGC-064 XGC-001 speciesNotShared 67 0.0541529783861005
XGC-064 XGC-001 strainsNotShared 2 0.04033194503368
XGC-064 XGC-001 strainsShared 30 0.75077313122091
XGC-064 XGC-001 strainsUnknown 17 0.154741945359868
XHA-003 XHA-064 speciesNotShared 96 0.0522108540609737
XHA-003 XHA-064 strainsShared 20 0.89930786788736
XHA-003 XHA-064 strainsUnknown 32 0.048481278052001
XHA-064 XHA-003 speciesNotShared 103 0.0545095152750265
XHA-064 XHA-003 strainsShared 20 0.83594768298116
XHA-064 XHA-003 strainsUnknown 20 0.109542801742813
XHB-001 XHB-064 speciesNotShared 51 0.0444207700474882
XHB-001 XHB-064 strainsNotShared 1 0.01130853358
XHB-001 XHB-064 strainsShared 12 0.83916209208062
XHB-001 XHB-064 strainsUnknown 34 0.105108604292187
XHB-064 XHB-001 speciesNotShared 76 0.0757245550182544
XHB-064 XHB-001 strainsNotShared 1 0.0198697797362
XHB-064 XHB-001 strainsShared 12 0.7975831698223
XHB-064 XHB-001 strainsUnknown 33 0.106822495423997
XHC-001 XHC-064 speciesNotShared 90 0.0341908104878357
XHC-001 XHC-064 strainsShared 26 0.87866496123677
XHC-001 XHC-064 strainsUnknown 22 0.087144228275438
XHC-064 XHC-001 speciesNotShared 108 0.0186499520512503
XHC-064 XHC-001 strainsShared 26 0.90844654472079
