hh subject1 subject2 durationCohabitationMonths romanticRelationship familialRelationship
XA XAA XAB 29.5 FALSE FALSE
XA XAA XAC 0.2 FALSE TRUE
XA XAA XAD 0.67 FALSE TRUE
XA XAC XAD 376 TRUE FALSE
XB XBA XBB 90.5 TRUE FALSE
XC XCA XCB 45 TRUE FALSE
XD XDA XDB 19 TRUE FALSE
XE XEA XEB 14.5 TRUE FALSE
XF XFA XFB 33 TRUE FALSE
XG XGA XGB 396 TRUE FALSE
XG XGA XGC 219 FALSE TRUE
XG XGB XGC 219.25 FALSE TRUE
XH XHA XHB NA FALSE TRUE
XH XHA XHC 12 TRUE TRUE
XH XHB XHC NA TRUE FALSE
XI XIA XIB 91.33 TRUE FALSE
XI XIA XIC 105.33 FALSE TRUE
XI XIB XIC 6.75 FALSE FALSE
XJ XJA XJB 76.5 TRUE FALSE
XK XKA XKB 42 TRUE FALSE
XL XLA XLB 13.05 TRUE FALSE
XM XMA XMB 15 TRUE FALSE
XN XNA XNB 6.17 TRUE FALSE
XO XOA XOB 28 FALSE TRUE
XP XPA XPB 2 FALSE FALSE
XQ XQA XQB 8 TRUE FALSE
XR XRA XRB 8 FALSE FALSE
XS XSA XSB 27 TRUE FALSE
XT XTA XTB 1.33 FALSE FALSE
XU XUA XUB 100.5 TRUE FALSE
XV XVA XVB 2.33 TRUE FALSE
YA YAA YAB 0.13 FALSE FALSE
YA YAA YAC 0.3 FALSE FALSE
YA YAA YAD 0.13 FALSE FALSE
YA YAB YAC 0.33 FALSE FALSE
YA YAB YAD 0.16 FALSE FALSE
YA YAC YAD 270 TRUE FALSE
YB YBA YBB 106.6 FALSE FALSE
YB YBA YBC 109.08 FALSE FALSE
YB YBB YBC 190.2 TRUE FALSE
YC YCA YCB 0.275 FALSE FALSE
YD YDA YDB 0.1 FALSE FALSE
YE YEA YEB 0 FALSE FALSE
YE YEA YEC 0.33 FALSE FALSE
YE YEB YEC 22.5 FALSE FALSE
YF YFA YFC 0.585 FALSE FALSE
ZA ZAA ZAB 156 TRUE FALSE
ZB ZBA ZBB 57 TRUE FALSE
ZC ZCA ZCB 66 TRUE FALSE
ZD ZDA ZDB 60 TRUE FALSE
ZE ZEA ZEB 6.625 FALSE FALSE
ZE ZEA ZEC 6.875 FALSE FALSE
ZE ZEB ZEC 6.75 FALSE FALSE
