site_id XBA XBB
8991 1 0
33002 1 0
33088 1 0
37042 1 0
37047 1 0
37050 1 0
37143 0.125 1
38658 1 0
38889 0.833 0
38892 1 0
39351 1 0.0570000000000001
39716 1 0
39748 1 0
39828 1 0
39836 1 0
39926 1 0
39947 0.941 0
39967 0.952 0
40073 0.938 0
40466 0.833 0
40787 1 0
41127 1 0
41363 1 0
41366 1 0
41402 1 0
41567 0.968 0
41699 0.92 0
41859 1 0
42184 1 0
42404 0.833 0
42408 0.857 0
42467 1 0
42640 1 0
42664 1 0
43024 1 0.111
43048 1 0
49799 1 0
51798 0 1
51891 1 0
52769 0 1
53010 0 1
54811 0.071 1
54846 0.091 1
56284 0 1
56555 1 0
60130 1 0
60160 0 1
72703 1 0.195
73968 1 0
77062 0.154 0.833
77083 0.133 0.833
77378 0.2 0.9474
78253 1 0
78256 1 0
78262 1 0
78280 1 0
78361 1 0
78395 1 0.0333
78403 1 0.0645
78406 1 0.0645
78407 1 0.0645
78409 1 0.0667
78510 1 0.0571
78530 0.158 0.9444
78882 1 0.0357
79458 1 0
79539 1 0
79540 1 0
79596 1 0
79620 1 0
79626 1 0
79688 1 0.1
79704 1 0.105
80026 1 0.111
80481 0.857 0
80511 1 0
80541 1 0
80670 1 0
80706 0.833 0.0323
80715 1 0.0333
80722 1 0.0333
80727 1 0.0345
81229 1 0
81318 1 0.0294
81337 1 0.0286
81343 1 0.0278
81379 1 0
81380 1 0
81411 1 0
82010 1 0.0278
82016 0.2 0.9697
82058 1 0
85994 1 0
87903 1 0.086
88117 0 1
89566 1 0
91703 1 0.05
91706 1 0.051
91718 1 0
91805 1 0.033
91814 1 0.03
91838 1 0
92981 0.1 0.933
93122 0.176 0.889
93339 1 0.0833
93846 0 0.974
93948 0 0.939
93957 0.111 0.931
93960 0.111 0.938
93976 0.143 0.969
93981 0.13 0.971
93996 0.111 0.97
93999 0.13 0.972
94170 1 0.0620000000000001
94215 1 0
94603 1 0.121
94622 1 0.114
94824 1 0
95156 0.143 0.846
99587 1 0.147
99604 1 0.0625
99739 1 0
99742 1 0
100424 1 0
100453 1 0
100492 1 0
102088 1 0.136
102091 1 0
102112 1 0
102118 1 0
102136 1 0
102210 1 0
102215 1 0
103152 1 0
103506 0.103 1
104456 1 0
108284 1 0
108371 1 0
109688 0.955 0
113624 1 0
123498 1 0.125
123502 1 0.115
123580 1 0.118
123871 1 0.0233
125240 0 1
125246 0.125 1
127411 1 0
127550 1 0
127600 1 0
127603 1 0
127705 1 0
127732 1 0
129590 1 0
138092 1 0
138107 1 0
138356 1 0
138588 1 0
138667 1 0
139072 1 0
139084 0 1
139088 1 0
140669 1 0
143578 0.833 0.178
163403 0.167 0.884
163418 1 0
163434 1 0
163843 0.182 0.833
163856 0.143 0.955
163868 0.167 1
163939 0.154 0.955
163946 0.182 0.964
163955 0.143 0.964
163981 0.167 0.964
164101 0.16 0.9
164129 0.182 1
164131 0.182 0.882
164156 0.19 1
164197 0.13 1
164198 0.136 1
164200 0.13 1
164221 0.125 1
164242 0.167 1
164441 0.182 1
165003 0.0526 0.895
188796 1 0.05
188797 1 0.038
192441 1 0
192465 1 0
192491 1 0
192498 1 0
192531 1 0
198227 1 0
207359 1 0
207362 1 0
210062 1 0
212595 0.0556 0.85
212963 0 0.867
213433 1 0
213459 0 0.958
213494 1 0
213930 0 1
214121 0 0.9143
214187 1 0
215483 1 0
215669 1 0
216414 1 0
216620 1 0
216782 1 0
217500 0.143 1
217630 0.1 1
217878 0.125 0.822
218702 0.0333 1
218732 0.0312 0.864
219129 0 0.947
219486 1 0
219522 0 1
219525 0 0.906
219537 1 0
219570 0 1
219687 0.0833 1
219702 0 1
219714 1 0
