site_id XBA XBB
10819 0 1
10902 0 1
10903 0 1
10908 0 1
10946 0 1
10962 0 1
11010 0 1
11013 0 1
11058 0 1
11064 0 1
11094 0 1
11252 0 1
11302 0 1
11307 0 1
11313 0 1
11328 0 1
11463 0 1
11919 0 1
11937 0 1
12030 0 1
12051 0 1
12054 0 1
16810 1 0
16811 1 0
18689 1 0
20683 1 0
20767 1 0
20776 1 0
20877 0 1
22339 0 1
22434 0 1
22491 1 0
22626 1 0
22641 1 0
26855 1 0
26904 0 1
27569 1 0
28538 1 0
29429 0 1
30940 1 0
30962 1 0
31085 1 0
31183 1 0
31184 1 0
31185 1 0
31187 1 0
31189 1 0
31535 1 0
31568 1 0
31574 1 0
31580 1 0
32577 1 0
32655 1 0
32803 1 0
32875 1 0
33410 1 0
34361 1 0
34367 1 0
34445 0 1
34823 1 0
34877 1 0
34892 1 0
38746 1 0
38778 1 0
39057 0 1
39066 0 1
40252 0 1
40301 0 1
40361 0 1
40513 0 1
40708 0 1
42278 1 0
45715 1 0
53146 1 0
54668 1 0
71157 1 0
74177 0 1
74179 0 1
74188 0 1
74314 1 0
74425 1 0
74452 1 0
74470 1 0
84049 0 1
84268 1 0
84280 1 0
84283 1 0
84754 0 1
84790 0 1
84807 0 0.982
84808 0 0.988
84811 0 1
85631 0 1
88140 0 1
88166 0 1
89787 0 1
90490 0 1
90530 0 1
93153 0 1
129895 0 1
130150 0 1
134255 0 1
139922 0 1
144208 0 1
144752 1 0
145092 1 0
145104 0 1
149847 0 1
149873 1 0
155464 0 0.977
155481 0 1
156593 1 0
156767 1 0
156771 1 0
156788 1 0
156791 1 0
156806 1 0
156827 0 1
156885 0 1
157458 1 0.008
157463 1 0
175960 0 1
175975 0 1
176719 1 0
176797 0 1
176905 0 1
182290 0 1
182293 0 1
182299 0 1
182497 0 1
182518 0 1
185980 1 0
185988 0 1
186022 1 0
186043 1 0
186617 0 1
186623 0 1
186625 0 1
186671 0 1
186680 0 1
198460 1 0
198465 0 1
198474 1 0
198492 1 0
200679 1 0
201060 1 0
201483 1 0
201489 1 0
201504 1 0
201522 1 0
205055 1 0
205076 1 0
205109 0 1
205235 1 0
206771 1 0
206791 0 1
206809 1 0
206994 1 0
207002 1 0
207004 0 1
207049 1 0
207097 1 0
207127 1 0
209256 1 0
212528 1 0
212630 1 0
213206 1 0
213288 0 1
221826 1 0
221952 1 0
235055 1 0
235064 0 1
235109 1 0
235131 1 0
235144 0 1
235314 1 0
235571 1 0
235652 1 0
235860 1 0
235902 0 1
235910 0 1
236937 1 0
237036 0 1
237066 1 0
237090 1 0
242798 0 1
243071 0 1
245842 1 0.0146
245965 1 0
245983 1 0
245986 1 0.0112
245995 1 0.00498
246047 1 0
246084 1 0
246094 1 0
246184 1 0
246991 1 0
246999 1 0
247038 1 0
247083 1 0
247228 1 0
247252 1 0
247307 0 1
248569 0 1
248584 0 1
248603 0 1
248626 1 0
248656 1 0
248662 1 0
248672 0 1
248727 1 0
248746 1 0
248766 1 0
248773 1 0
248780 1 0
250519 0 1
250525 0 1
250537 0 1
250708 0 1
250784 1 0
251246 1 0
252584 1 0
253192 1 0
253252 1 0
254433 1 0
255166 0 1
255178 0 1
255196 1 0
259604 0 1
260098 0 1
260153 1 0
260428 1 0
261283 1 0
262641 0 1
262845 0 1
262863 1 0
270703 1 0
274666 0 1
275753 0 1
275913 0 1
275940 0 1
302992 1 0
308157 1 0
311809 1 0
311900 0 0.979
311998 1 0
312112 1 0
313708 1 0
340353 1 0
340372 1 0
340375 0 1
340399 1 0
351853 0 1
351884 1 0
351911 1 0
351912 0 1
351913 1 0
351991 1 0
352116 0 1
352143 0 1
367233 1 0
367239 1 0
367836 1 0
367872 1 0
372728 1 0
372959 1 0
373577 1 0
374556 1 0
374565 0 1
374664 1 0
375472 1 0
375483 0 1
375641 1 0
377303 1 0
377327 1 0
377336 1 0
377345 1 0
377381 1 0
377764 1 0
377767 1 0
377803 1 0
377808 1 0
377866 1 0
377884 1 0
377896 1 0
378548 1 0
378579 1 0
378596 1 0
378629 1 0
378632 1 0
378659 0 1
380315 0 1
382321 1 0
388090 0 1
388159 1 0
388237 1 0
388246 1 0
388249 1 0
390682 1 0.00382
390685 1 0
390706 1 0
390721 0 1
392082 1 0
392097 1 0
392127 1 0
392139 1 0
392142 1 0
392187 1 0
392202 1 0
392223 1 0
392247 1 0
392316 1 0
395238 1 0
395517 1 0
395870 0 1
400137 1 0
400239 1 0
407924 1 0
411081 0 1
413424 0 1
413703 0 1
428962 1 0
428999 0 1
429004 1 0
429037 0 1
429209 0 1
429249 0 1
429272 0 1
429273 0 1
429280 0 1
429314 0 1
429609 1 0
429627 0 1
434507 1 0
434787 1 0
436558 0 1
439160 1 0
439190 1 0
454144 0 1
454230 1 0
454415 0 1
454443 0 1
468276 0 1
480396 0 1
480405 0 1
480420 0 1
480429 0 1
480444 0 1
480459 1 0
480462 1 0
483457 0 1
484930 0 1
485111 0 1
485177 0 1
485186 0 1
487608 1 0
488057 1 0
488298 1 0
488388 1 0
489345 1 0
489857 1 0
494913 0 1
495072 0 1
495136 0 1
496501 0 1
496523 0 1
497571 1 0
497613 1 0
497618 1 0
497630 1 0
497635 1 0
497648 1 0
497659 1 0
497717 1 0
502510 1 0
502511 1 0
502540 1 0
502546 1 0
502572 1 0
502585 0 1
502588 0 1
502603 0 1
502612 0 1
502908 1 0
506114 1 0
506117 1 0
506120 1 0
506124 1 0
506153 1 0
508622 1 0
508638 0 1
508640 0 1
508643 0 1
514947 0 1
514973 0 1
514982 1 0
514991 0 1
515009 1 0
515012 1 0
515055 0 1
515090 1 0
520881 0 1
520918 0 1
521260 0 1
521262 0 1
521289 1 0.00339
521307 0 1
521446 1 0
521472 1 0
538766 0 1
538786 1 0
538896 1 0
539539 1 0
540419 0 1
540792 1 0
542312 1 0
542353 1 0
542376 0 1
542377 0 1
543166 0 1
551631 1 0
552690 1 0
600249 0 1
600252 0 1
600363 0 1
606064 1 0
606369 1 0
617239 1 0
617705 1 0
617920 1 0
618019 1 0
618046 1 0
623197 1 0
637538 1 0
646614 1 0
647909 0 1
647920 1 0
648561 1 0
648974 0 1
658223 1 0
660842 1 0
664715 1 0
671608 1 0
671611 1 0
671794 1 0
671797 1 0
671803 1 0
671806 1 0
671830 1 0
672880 1 0
672887 0 1
672892 0 1
672895 0 1
673147 1 0
682567 1 0
682737 0 1
683802 0 1
686756 1 0
686758 1 0
686760 1 0
686810 1 0
686817 1 0
686818 1 0
686819 1 0
686831 1 0
687022 1 0
687023 1 0
687058 1 0
689973 0 0.9761
690009 1 0
692801 1 0
694181 0 1
695616 0 1
695678 1 0
695685 1 0
695696 1 0
695700 0 1
723622 0 1
723649 1 0
723661 1 0
723718 1 0
724274 0 1
727483 0 1
727503 0 1
727679 1 0
727700 1 0
727701 1 0
731022 1 0
731073 1 0
734197 1 0
734575 1 0
734884 1 0
736444 1 0
736531 0 1
736597 0 1
737446 1 0
738348 1 0
739612 1 0
741058 1 0
742216 1 0
744888 1 0
744957 0 1
745017 1 0
746013 1 0
746014 0 1
746021 1 0
748517 1 0
748880 1 0
749270 1 0
750156 0 1
755558 1 0
755627 1 0
765737 1 0
765765 1 0
765768 1 0
765811 1 0
765844 1 0
765861 1 0
765901 1 0
765927 1 0.09
765998 1 0
766179 1 0.003
774031 1 0
774836 1 0
778216 1 0
781608 1 0
782310 1 0
782390 0 1
782394 0 1
784622 1 0
784675 1 0
784765 1 0
784801 0 1
784804 0 1
784819 0 1
784822 0 1
786479 0 1
788044 1 0
792426 0 1
797003 1 0
797004 1 0
797754 0 1
799153 0 1
799432 0 1
799442 0 1
799443 0 1
799445 0 1
808279 1 0
809704 1 0
812617 0 1
814670 1 0
816535 0 1
