genome_id	genome_name	rep_genome	length	contigs	species_id
1000562.3	Streptococcus phocae C-4	1	1659203	105	Streptococcus_phocae_58301
1000565.3	Methyloversatilis universalis FAM5	1	4216295	32	Methyloversatilis_universalis_45347
1000568.3	Megasphaera sp. UPII 199-6	0	1628067	35	Megasphaera_genomosp_55017
1000569.4	Megasphaera sp. UPII 135-E	1	1643756	44	Megasphaera_sp_58302
1000570.3	Streptococcus anginosus SK52 = DSM 20563	1	1878370	101	Streptococcus_anginosus_58303
1000588.3	Streptococcus mitis bv. 2 str. SK95	1	2007525	57	Streptococcus_mitis_58304
1000589.3	Streptococcus dysgalactiae subsp. equisimilis SK1249	1	2140445	215	Streptococcus_dysgalactiae_58236
1000590.6	Staphylococcus epidermidis 14.1.R1.SE	0	2553148	128	Staphylococcus_epidermidis_57523
1000935.3	Anaplasma marginale str. Florida Relapse	0	1149741	54	Anaplasma_marginale_55765
1000936.3	Anaplasma marginale str. Okeechobee	0	1206776	122	Anaplasma_marginale_55765
1000937.3	Anaplasma marginale str. Washington Okanogan	0	1230844	135	Anaplasma_marginale_55765
1000938.3	Anaplasma marginale str. Oklahoma	0	1151365	50	Anaplasma_marginale_55765
1000939.3	Anaplasma marginale str. South Idaho	0	1242515	147	Anaplasma_marginale_55765
1000951.3	Vibrio cholerae HC-81A2	0	3999799	173	Vibrio_cholerae_57327
1000952.3	Vibrio cholerae HC-17A2	0	4010183	105	Vibrio_cholerae_57327
1000953.4	Vibrio cholerae HC-72A2	0	4011980	97	Vibrio_cholerae_57327
1001240.4	Cryobacterium roopkundense RuG17	1	4356826	226	Cryobacterium_roopkundense_58305
1001530.3	Photobacterium leiognathi subsp. mandapamensis svers.1.1.	0	4563258	30	Photobacterium_leiognathi_57430
1001534.3	Francisella tularensis subsp. tularensis TI0902	0	1892744	0	Francisella_tularensis_57093
1001542.3	Francisella tularensis subsp. tularensis TIGB03	0	1968651	0	Francisella_tularensis_57093
1001582.3	Bacillus amyloliquefaciens LL3	0	4001985	0	Bacillus_amyloliquefaciens_53752
1001583.3	Lactobacillus brevis KB290	0	2587877	0	Lactobacillus_brevis_56823
1001585.3	Pseudomonas mendocina NK-01	0	5434353	0	Pseudomonas_mendocina_57420
1001586.3	Leptospira interrogans serovar Bulgarica str. Mallika	0	4521686	309	Leptospira_interrogans_56645
1001587.6	Leptospira interrogans serovar Pomona str. Pomona	0	4579329	114	Leptospira_interrogans_56645
1001588.3	Leptospira interrogans str. 2002000621	0	4898286	212	Leptospira_interrogans_56645
1001589.3	Leptospira weilii str. 2006001853	0	4367736	101	Leptospira_weilii_58090
1001590.3	Leptospira interrogans str. 2006001854	0	4934214	232	Leptospira_interrogans_56645
1001591.3	Leptospira interrogans str. C10069	0	4762878	54	Leptospira_interrogans_56645
1001592.3	Leptospira santarosai str. 2000027870	0	3935917	28	Leptospira_santarosai_55151
1001593.3	Leptospira noguchii str. 2006001870	0	4841900	53	Leptospira_noguchii_57887
1001595.3	Leptospira noguchii serovar Panama str. CZ214	0	4742350	82	Leptospira_noguchii_57887
1001597.3	Leptospira interrogans serovar Canicola str. LT1962	0	4706808	21	Leptospira_interrogans_56645
1001598.3	Leptospira interrogans serovar Copenhageni str. LT2050	0	4439683	562	Leptospira_interrogans_56645
1001599.3	Leptospira interrogans serovar Grippotyphosa str. LT2186	0	4825870	420	Leptospira_interrogans_56645
1001601.3	Leptospira interrogans serovar Zanoni str. LT2156	0	4886384	43	Leptospira_interrogans_56645
1001602.3	Leptospira interrogans serovar Copenhageni str. Fiocruz LV2756C6	0	4537295	275	Leptospira_interrogans_56645
1001603.3	Leptospira interrogans serovar Copenhageni str. Fiocruz R154	0	4511286	425	Leptospira_interrogans_56645
1001704.3	Mycobacterium massiliense 1S-151-0930	0	4895233	5	Mycobacterium_abscessus_57844
1001705.3	Mycobacterium massiliense 1S-152-0914	0	4897666	2	Mycobacterium_abscessus_57844
1001706.3	Mycobacterium massiliense 1S-153-0915	0	4894488	13	Mycobacterium_abscessus_57844
1001707.3	Mycobacterium massiliense 1S-154-0310	0	4895947	5	Mycobacterium_abscessus_57844
1001708.3	Mycobacterium massiliense 2B-0626	0	4810868	6	Mycobacterium_abscessus_57844
1001709.3	Mycobacterium massiliense 2B-1231	0	4811264	9	Mycobacterium_abscessus_57844
1001710.3	Mycobacterium massiliense 2B-0107	0	4811369	7	Mycobacterium_abscessus_57844
1001711.3	Mycobacterium massiliense 2B-0912-R	0	4809994	9	Mycobacterium_abscessus_57844
1001712.3	Mycobacterium massiliense 2B-0912-S	0	4809311	12	Mycobacterium_abscessus_57844
1001713.3	Mycobacterium massiliense 2B-0307	0	4809972	9	Mycobacterium_abscessus_57844
1001714.3	Mycobacterium massiliense CCUG 48898 = JCM 15300	0	4969787	18	Mycobacterium_abscessus_57844
1001714.4	Mycobacterium massiliense CCUG 48898 = JCM 15300 [PRJDB747]	0	5041822	57	Mycobacterium_abscessus_57844
1001714.6	Mycobacterium massiliense CCUG 48898 = JCM 15300 [PRJNA65215]	0	5195205	5	Mycobacterium_abscessus_57844
1001715.3	Mycobacterium abscessus 3A-0122-R	1	5231383	33	Mycobacterium_abscessus_57844
1001716.3	Mycobacterium abscessus 3A-0122-S	0	5233249	17	Mycobacterium_abscessus_57844
1001717.3	Mycobacterium abscessus 3A-0810-R	0	5287644	20	Mycobacterium_abscessus_57844
1001718.3	Mycobacterium abscessus 3A-0731	0	5386957	12	Mycobacterium_abscessus_57844
