species_id btwnThreshold genome_id length pctGenomeLength
Acidaminococcus_intestini_54097 86 568816.4 2487765 3.45691815746262e-05
Adlercreutzia_equolifaciens_60310 3541 1384484.3 2862526 0.00123701933187681
Akkermansia_muciniphila_55290 1238 349741.6 2664102 0.000464696922264988
Alistipes_finegoldii_56071 2548 908612.3 3453555 0.000737790479665157
Alistipes_indistinctus_62207 454 742725.3 2848557 0.000159378941688722
Alistipes_onderdonkii_55464 1703 1120974.3 3861988 0.000440964601650756
Alistipes_putredinis_61533 743 445970.5 2547410 0.00029166879300937
Alistipes_senegalensis_58364 3846 1033732.3 3980436 0.000966225810438856
Alistipes_shahii_62199 530 717959.3 3763317 0.000140833206450586
Alistipes_sp_60764 2541 1501391.3 2304821 0.00110247173207811
Anaerostipes_hadrus_55206 883 245018.3 3114788 0.00028348638815868
Bacteroidales_bacterium_58650 1147 1118061.3 3129735 0.000366484702378955
Bacteroides_caccae_53434 82 411901.7 4563384 1.7969121160963e-05
Bacteroides_cellulosilyticus_58046 1069 537012.5 6852214 0.000156007970562507
Bacteroides_clarus_62282 2696 762984.3 3740852 0.000720691436068575
Bacteroides_eggerthii_54457 4220 665953.3 4584709 0.000920451003542428
Bacteroides_faecis_58503 3449 1077285.3 6114510 0.00056406809376385
Bacteroides_finegoldii_57739 657 483215.6 4891355 0.000134318609056182
Bacteroides_fragilis_54507 600 1339327.3 5689781 0.000105452213362869
Bacteroides_intestinalis_61596 1309 471870.8 6052596 0.000216270836513787
Bacteroides_massiliensis_44749 93 1121098.7 4443000 2.09318028359217e-05
Bacteroides_nordii_55557 11201 1235818.3 5591550 0.00200320125904266
Bacteroides_ovatus_58035 85 997885.3 7877545 1.07901636867831e-05
Bacteroides_plebeius_61623 4995 484018.6 4421921 0.00112959955639189
Bacteroides_salyersiae_54873 42 1121101.3 5309166 7.91084701438983e-06
Bacteroides_stercoris_56735 36 449673.7 4009829 8.97793895949179e-06
Bacteroides_thetaiotaomicron_56941 1382 469586.3 6824687 0.00020250012930996
Bacteroides_uniformis_57318 190 411479.1 4719097 4.02619399431713e-05
Bacteroides_vulgatus_57955 278 435590.9 5163189 5.38426929558457e-05
Bacteroides_xylanisolvens_57185 638 556258.5 5973191 0.000106810580810157
Barnesiella_intestinihominis_62208 1973 742726.3 3433207 0.000574681340216305
Bifidobacterium_adolescentis_56815 991 592977.3 2304610 0.000430007680258265
Bifidobacterium_bifidum_55065 16 500634.3 2189124 7.30885961690612e-06
Bifidobacterium_longum_57796 1334 565040.3 2408831 0.000553795596287162
Bifidobacterium_pseudocatenulatum_57754 700 547043.6 2291605 0.000305462765179863
Bilophila_wadsworthia_57364 2625 1408428.3 4630440 0.000566900769689274
Blautia_wexlerae_56130 397 1121115.4 4500736 8.82077953472499e-05
Burkholderiales_bacterium_56577 613 469610.4 2643265 0.00023191015656773
Butyricimonas_virosa_58742 1800 1121130.3 4713390 0.000381890741058983
Butyrivibrio_crossotus_61674 5309 511680.4 2480451 0.00214033657588882
Catenibacterium_mitsuokai_61547 1421 451640.5 2486994 0.000571372508337374
Clostridiales_bacterium_52743 459 665941.3 3939280 0.00011651875469629
Clostridiales_bacterium_56470 739 1232439.3 4473679 0.000165188427690051
Clostridiales_bacterium_61057 1387 245014.3 3601020 0.000385168646661224
Clostridium_leptum_61499 195 428125.8 3270209 5.96292163589544e-05
Clostridium_sp_61482 2520 411489.7 2952341 0.000853559937690125
Collinsella_sp_62205 NA 742722.3 2247396 NA
Coprobacter_fastidiosus_56550 5240 665949.3 3829562 0.00136830269362397
Coprococcus_catus_62200 5740 717962.3 3522704 0.00162943011958995
Coprococcus_comes_61587 960 470146.3 3241037 0.000296201493534323
Coprococcus_eutactus_61480 2716 411474.6 3090271 0.00087888732088545
Coprococcus_sp_62244 1481 751585.3 3123007 0.0004742224401034
Desulfovibrio_piger_61475 1781 411464.8 2837501 0.000627664977034369
Dialister_invisus_61905 1689 592028.3 1895960 0.000890841578936264
Dorea_formicigenerans_56346 1452 742765.5 3812547 0.000380847763975106
Dorea_longicatena_59913 383 1280698.3 3576940 0.000107074762226931
Dorea_longicatena_61473 1048 411462.6 2900985 0.000361256607669464
Eggerthella_lenta_56463 2262 910311.3 3351310 0.000674959941037982
Escherichia_coli_58110 281 1137135.3 4127430 6.80811061604921e-05
Eubacterium_eligens_61678 3308 515620.4 2831389 0.00116833116184318
Eubacterium_hallii_61477 1849 411469.3 3279153 0.000563865120047768
Eubacterium_ramulus_59802 3997 1256908.3 3407123 0.00117313052684039
Eubacterium_rectale_56927 1766 657318.4 3344951 0.000527959901355805
Eubacterium_siraeum_57634 5482 428128.7 2695314 0.00203390031736562
Eubacterium_ventriosum_61474 3288 411463.4 2868883 0.00114609065618919
Faecalibacterium_cf_62236 190 748224.3 2907000 6.5359477124183e-05
Faecalibacterium_prausnitzii_57453 1566 411485.1 3125761 0.000500997996967778
Faecalibacterium_prausnitzii_61481 2082 411483.3 3085926 0.000674675931956891
Faecalibacterium_prausnitzii_62201 352 718252.3 3321367 0.000105980459250664
Guyana_massiliensis_60772 1508 1504823.3 2931140 0.000514475596525584
Haemophilus_parainfluenzae_62468 1230 888828.3 2116174 0.000581237648699965
Lachnospiraceae_bacterium_51870 86 665951.3 2920214 2.94498964801895e-05
Lactobacillus_ruminis_57020 5779 525362.3 2143752 0.00269574092525628
Megamonas_hypermegale_57114 6046 742816.3 2532454 0.00238740762912179
Odoribacter_splanchnicus_62174 1835 709991.3 4392288 0.00041777770492281
Oscillibacter_sp_60799 777 1519439.3 2729704 0.000284646247358688
Oscillospiraceae_bacterium_54867 336 1226322.3 3551511 9.46076191232408e-05
Parabacteroides_distasonis_56985 553 658663.3 4887870 0.000113137215187802
Parabacteroides_johnsonii_55217 5616 999419.3 4612169 0.0012176483559037
Parabacteroides_merdae_56972 349 411477.4 4415677 7.90365780830437e-05
Paraprevotella_clara_33712 889 762968.3 4153224 0.000214050578538504
Phascolarctobacterium_sp_59817 474 1262914.3 2355465 0.000201234151218549
Phascolarctobacterium_sp_59818 14014 1262915.3 1792432 0.00781842770046507
Prevotella_copri_61740 2156 537011.5 3509320 0.000614364036337524
Roseburia_hominis_61877 5427 585394.18 3592125 0.00151080488568744
Roseburia_intestinalis_56239 3984 657315.3 4143550 0.000961494370769027
Roseburia_inulinivorans_61943 2408 622312.4 4023692 0.000598455348968062
Ruminococcus_bicirculans_59300 6688 1160721.7 2968500 0.00225298972545056
Ruminococcus_bromii_62047 3773 657321.5 2249085 0.00167757110113668
Ruminococcus_callidus_61479 5961 411473.3 3026626 0.00196951985478219
Ruminococcus_gnavus_57638 242 658082.3 3432182 7.05090813948678e-05
Ruminococcus_lactaris_55568 2951 471875.6 2731235 0.00108046359980009
Ruminococcus_obeum_61472 765 411459.7 3617310 0.000211483118671057
Ruminococcus_sp_55468 2806 1226324.3 3535996 0.000793552933883409
Ruminococcus_torques_62045 1382 657313.3 3341681 0.000413564310896223
Streptococcus_thermophilus_54772 5 767463.3 1831949 2.72933362227879e-06
Subdoligranulum_sp_62068 383 665956.3 4199861 9.11934942608815e-05
Sutterella_wadsworthensis_56828 5078 1203554.3 2949098 0.00172188241964153
Sutterella_wadsworthensis_62218 2607 742823.3 2663970 0.000978614624038559
