site_id after before
8991 0 1
29952 0 1
33002 0 1
33088 0 1
36627 1 0
36951 1 0.2
37042 0 1
37047 0 1
37050 0 1
37143 1 0.125
38658 0 1
38889 0 0.833
38892 0 1
39225 0 1
39269 0 1
39351 0 1
39716 0 1
39748 0 1
39828 0 1
39836 0 1
39926 0 1
39947 0 0.941
39967 0 0.952
40073 0 0.938
40466 0 0.833
40787 0 1
40886 0 1
40952 0 1
41127 0 1
41363 0 1
41366 0 1
41402 0 1
41472 0 1
41567 0 0.968
41590 0 1
41699 0 0.92
41859 0.0233 1
42184 0 1
42304 0 1
42307 0 1
42332 0 0.833
42337 0 0.857
42404 0 0.833
42408 0.008 0.857
42467 0.0278 1
42640 0.0323 1
42664 0 1
42727 0 1
42728 0 1
43024 0 1
43048 0.0127 1
49799 0 1
51798 1 0
51891 0 1
52527 1 0
52561 1 0
52769 1 0
53010 1 0
54811 1 0.071
54846 1 0.091
54896 1 0
56284 1 0
56555 0 1
56985 1 0
59159 1 0.167
60124 0 1
60127 0 1
60130 0 1
60145 0 1
60160 1 0
71736 0.00649 1
71981 0 1
72071 0 0.812
72703 0 1
72717 0 1
72736 0 0.952
73229 1 0
73232 1 0.0385
73236 1 0.0385
73239 1 0.037
73240 1 0.0833
73264 1 0.148
73968 0 1
77062 1 0.154
77083 1 0.133
77378 1 0.2
77474 1 0.158
77515 1 0.111
77836 0 1
78253 0 1
78256 0 1
78262 0 1
78280 0 1
78361 0 1
78395 0 1
78403 0 1
78406 0 1
78407 0 1
78409 0 1
78510 0 1
78530 1 0.158
78882 0 1
79458 0 1
79539 0.027 1
79540 0 1
79596 0 1
79620 0 1
79626 0 1
79688 0 1
79704 0 1
79815 0 1
79827 1 0.172
80026 0 1
80481 0 0.857
80511 0 1
80541 0 1
80670 0 1
80706 0.00769 0.833
80715 0 1
80722 0 1
80727 0 1
81229 0 1
81318 0 1
81337 0 1
81343 0 1
81379 0 1
81380 0 1
81395 0 1
81411 0 1
82010 0 1
82016 1 0.2
82058 0 1
85994 0 1
87903 0 1
88117 1 0
88122 0 1
89566 0 1
89602 0 1
91703 0 1
91706 0.019 1
91718 0 1
91805 0 1
91814 0 1
91838 0 1
91970 0 1
92728 1 0
92981 1 0.1
93122 1 0.176
93198 1 0.182
93339 0 1
93459 0.028 1
93588 0 1
93846 1 0
93948 1 0
93957 1 0.111
93960 1 0.111
93976 1 0.143
93981 1 0.13
93996 1 0.111
93999 1 0.13
94170 0 1
94215 0 1
94399 0 1
94431 0 1
94446 0 1
94603 0 1
94622 0 1
94690 0 1
94824 0 1
95117 1 0.167
95151 1 0.167
95156 1 0.143
95786 1 0.0556
99494 1 0
99503 0 1
99587 0 1
99604 0 1
99670 0 1
99679 0.0225 1
99739 0 1
99742 0 1
99787 0 1
99793 0 1
100424 0 1
100453 0.167 1
100492 0.0087 1
100531 0 1
100633 1 0.136
100657 0 1
100675 0 1
100681 0 1
100684 0 1
100685 0 1
101590 1 0
101611 1 0
101620 1 0
102088 0 1
102091 0 1
102112 0 1
102118 0 1
102136 0 1
102210 0.0278 1
102215 0 1
103152 0 1
103506 1 0.103
104456 0 1
104607 1 0.154
108284 0 1
108371 0 1
109688 0 0.955
113624 0 1
123498 0 1
123502 0 1
123580 0 1
123871 0 1
124345 0 1
124509 0 1
124777 1 0.125
125111 1 0.111
125240 1 0
125246 1 0.125
127411 0 1
127550 0.111 1
127600 0 1
127603 0 1
127705 0 1
127732 0 1
129590 0 1
129611 0 1
129770 0 1
138092 0 1
138107 0.05 1
138356 0 1
138588 0 1
138667 0.016 1
139072 0 1
139084 1 0
139088 0 1
140669 0 1
140954 0 0.857
143431 0 1
143578 0 0.833
143583 0 0.833
163381 1 0.0323
163403 1 0.167
163418 0 1
163434 0 1
163561 1 0.0526
163672 1 0
163674 1 0
